profile,symbol,period,start,cagr,mdd,rec,uw,worst_year,calmar,expo,bh_cagr,bh_mdd
balanced,SOXL,full,2002-05-03,0.17253058685985012,-0.2779604822604512,401,896,-0.1040841469810957,0.6207018546549634,0.15509501610090606,0.06901909596759359,-0.9965004686803808
balanced,SOXL,real,2010-03-11,0.208330878747633,-0.2779604822604512,401,770,-0.1040841469810957,0.7494981914458807,0.16440941923483213,0.38043775095318844,-0.9046051582487771
balanced,SOXL,oos18,2018-01-02,0.24298458359073805,-0.23075867153066332,150,565,-0.08256556242053825,1.052981376513299,0.14995151535895118,0.34275269970094735,-0.9046051582487771
balanced,TQQQ,full,1999-12-22,0.10724493841411564,-0.33992399470452983,424,1055,-0.17069177275980185,0.31549681718507555,0.18727622367657387,-0.010841399610638569,-0.9997198631697571
balanced,TQQQ,real,2010-02-11,0.12045559729223165,-0.33992399470452983,424,920,-0.16039929767680317,0.3543603839938824,0.2135665831016359,0.42399762245582595,-0.8165984869549401
balanced,TQQQ,oos18,2018-01-02,0.14283166520712243,-0.2662491952875683,422,570,-0.16039929767680317,0.5364585799136555,0.20037941354079802,0.33730159089429423,-0.8165984869549401
balanced,TECL,full,1999-10-11,0.11189763473143488,-0.2824352876644539,375,1162,-0.221295925914344,0.3961885770604359,0.19348875048321035,0.024485459487014527,-0.9995442599332196
balanced,TECL,real,2008-12-30,0.13995498094641357,-0.2824352876644539,375,689,-0.221295925914344,0.4955293727768412,0.2171233816414565,0.4664759517080126,-0.7795580349454072
balanced,TECL,oos18,2018-01-02,0.1741760865866857,-0.26380253194556436,317,554,-0.221295925914344,0.6602517621878888,0.19881593982690243,0.41038993154356285,-0.7795580349454072
balanced,UPRO,full,1993-11-19,0.10179782134087523,-0.4015809879627389,632,1269,-0.14012769796190505,0.2534926313551493,0.229263315732005,0.1662853027314226,-0.9767328677657855
balanced,UPRO,real,2009-06-25,0.08267647326531291,-0.4015809879627389,632,1168,-0.14012769796190505,0.20587745870325946,0.2572294320752411,0.32656424899577563,-0.7681682365490614
balanced,UPRO,oos18,2018-01-02,0.047872972573188344,-0.4015809879627389,632,1168,-0.14012769796190505,0.11921125254473025,0.24440268387174235,0.2398749849572681,-0.7681682365490614
defensive,SOXL,full,2002-05-03,0.11426899670809942,-0.19368727577058953,389,880,-0.05942143332466954,0.5899664614181672,0.08793614339854591,0.06901909596759359,-0.9965004686803808
defensive,SOXL,real,2010-03-11,0.12785391691268133,-0.19368727577058953,389,758,-0.05942143332466954,0.6601048850731749,0.09279067197817574,0.38043775095318844,-0.9046051582487771
defensive,SOXL,oos18,2018-01-02,0.1471281495320882,-0.18218823498587866,155,571,-0.04780099851481401,0.8075611992371079,0.08470110694712592,0.34275269970094735,-0.9046051582487771
defensive,TQQQ,full,1999-12-22,0.0791508561239247,-0.20838833011108993,357,1037,-0.10757759678024725,0.37982384177525724,0.10596519434150455,-0.010841399610638569,-0.9997198631697571
defensive,TQQQ,real,2010-02-11,0.08674649759798858,-0.20838833011108993,357,801,-0.10757759678024725,0.4162732987578758,0.11822473042932215,0.42399762245582595,-0.8165984869549401
defensive,TQQQ,oos18,2018-01-02,0.11044363531614021,-0.16353217835797862,182,603,-0.10757759678024725,0.6753633225283319,0.11284435588805945,0.33730159089429423,-0.8165984869549401
defensive,TECL,full,1999-10-11,0.08160252079807928,-0.1841940520713624,300,1308,-0.1159149035894318,0.4430247333201833,0.1117633432273417,0.024485459487014527,-0.9995442599332196
defensive,TECL,real,2008-12-30,0.09821782594556727,-0.1841940520713624,300,616,-0.09983203104383165,0.5332301713386199,0.12518085301621096,0.4664759517080126,-0.7795580349454072
defensive,TECL,oos18,2018-01-02,0.12026323609746403,-0.164580390793456,123,491,-0.09983203104383165,0.7307263977054909,0.12081160342650395,0.41038993154356285,-0.7795580349454072
defensive,UPRO,full,1993-11-19,0.07745669339074368,-0.18401457672584431,368,1205,-0.07195930761889324,0.4209269437721947,0.13135693244421867,0.1662853027314226,-0.9767328677657855
defensive,UPRO,real,2009-06-25,0.06908406371810272,-0.18401457672584431,368,904,-0.07195930761889324,0.3754271261946177,0.14630536533043376,0.32656424899577563,-0.7681682365490614
defensive,UPRO,oos18,2018-01-02,0.049063364380551144,-0.18401457672584431,368,904,-0.07195930761889324,0.26662759686504955,0.14087372425554248,0.2398749849572681,-0.7681682365490614
