profile,parking,cagr,mdd,rec,oos_cagr,oos_mdd,cagr_2023,mdd_2023
defensive,파킹 없음,0.10138653083247884,-0.26352701089043484,378,0.1728619517650576,-0.15298346283224562,0.2531690473510355,-0.11167667805025805
defensive,TBILL 100%,0.11692720722422312,-0.26348727555457185,375,0.19915078570053524,-0.14801584598975193,0.302720898820257,-0.10424995750639066
defensive,TBILL 80%,0.11375807916033365,-0.26349522278921056,375,0.19366437889023191,-0.14901189709362395,0.2928003272185189,-0.10533159566161854
defensive,고정 4% 80%,0.1313588520976816,-0.24648741309044198,335,0.20484631056968516,-0.14440541727137512,0.28750836756086207,-0.10674077250393521
balanced,파킹 없음,0.15697781452765858,-0.35937505048764895,411,0.28666468182772054,-0.18643342463149493,0.3853204450971328,-0.15265886998050282
balanced,TBILL 100%,0.17204148102121297,-0.3593450851762885,409,0.3135409974550434,-0.1860697985093377,0.4366709240732829,-0.14905289948381095
balanced,TBILL 80%,0.1690110911531968,-0.35935107836387326,409,0.3081194198766981,-0.18614261020362954,0.42625174175716674,-0.14981837029948675
balanced,고정 4% 80%,0.1863094596041066,-0.34886550818154594,375,0.31925507985108426,-0.18580707150997933,0.4209243199903512,-0.15044979514840962
aggressive,파킹 없음,0.2005506106577224,-0.4313247963486623,441,0.3643910094973539,-0.3661152857476112,0.5706203371477561,-0.2002341969486393
aggressive,TBILL 100%,0.21490766478603995,-0.43132479634866183,441,0.39035312814525125,-0.36352064479587454,0.6234121318476236,-0.19913051334641885
aggressive,TBILL 80%,0.2117688692954871,-0.43132479634866383,441,0.38457336915654183,-0.36404044443138284,0.6127536067417736,-0.1993516727026471
aggressive,고정 4% 80%,0.2248164631167484,-0.5284187575829065,523,0.3954403016061707,-0.361915373992984,0.6073384854117858,-0.19952954286590796
