date,close,ref_close,vol,bull,cash,invested,equity,n_active,exposure
1999-10-18,144.07517278600707,2689.1499,0.06504606334831314,True,100000.0,0.0,100000.0,0,0.0
1999-10-19,143.8441925001544,2688.1799,0.06253156201227361,True,97840.02602276561,2158.4630530972267,99998.48907586283,1,0.02158495666329249
1999-10-20,164.67435741612172,2788.1299,0.06944269555978008,True,100309.32770008882,0.0,100309.32770008882,1,0.0
1999-10-21,167.82539273968294,2801.95,0.05944257067621165,True,100309.32770008882,0.0,100309.32770008882,1,0.0
1999-10-22,171.19589329912228,2816.52,0.059444519482606206,True,100309.32770008882,0.0,100309.32770008882,2,0.0
1999-10-25,171.02714543196976,2815.95,0.0591378482596384,True,97937.03855460894,2370.6297046865943,100307.66825929553,2,0.023633584010332206
1999-10-26,169.93238627462327,2811.47,0.05912440032950793,True,97937.03855460894,2355.4551043544175,100292.49365896336,2,0.023485856402812706
1999-10-27,167.78925986064698,2802.52,0.058493609454736445,True,95580.05754596555,4681.081223963511,100261.13876992906,3,0.04668888944803696
1999-10-28,184.73148389461718,2875.22,0.06196305838178678,True,98171.4001263086,2560.587338374364,100731.98746468296,3,0.02541980360778761
1999-10-29,207.54994470263833,2966.4299,0.06632006363199301,True,101046.26333022513,0.0,101046.26333022513,3,0.0
1999-11-01,207.84207533081553,2967.6499,0.06445891954819331,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-02,211.61974735152603,2981.6299,0.06447217597226491,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-03,224.5546200856781,3028.51,0.06363367411310712,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-04,232.4454155089799,3055.95,0.06385920022670949,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-05,246.14635917099685,3102.29,0.06449709246251034,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-08,258.99544378371996,3143.97,0.06481528555071543,True,101046.26333022513,0.0,101046.26333022513,4,0.0
1999-11-09,252.86281424584,3125.04,0.06314977094464262,True,92462.36621433249,8577.892591078884,101040.25880541137,4,0.08489578998009734
1999-11-10,262.5705306041004,3155.96,0.05700166655542299,True,92462.36621433249,8907.208502847776,101369.57471718026,4,0.08786865810277657
1999-11-11,275.9294398442685,3197.29,0.05722695062610191,True,101816.19817094735,0.0,101816.19817094735,4,0.0
1999-11-12,283.90586237827466,3221.1499,0.04773716137487714,True,101816.19817094735,0.0,101816.19817094735,4,0.0
1999-11-15,283.2967107298926,3219.54,0.04315818191391265,True,101816.19817094735,0.0,101816.19817094735,4,0.0
1999-11-16,309.3152998281018,3295.52,0.043924551407485926,True,101816.19817094735,0.0,101816.19817094735,4,0.0
1999-11-17,299.6895820988135,3269.3899,0.040229957073041424,True,89562.15139290292,12245.4749455825,101807.62633848542,4,0.12028052697024184
1999-11-18,327.4152695377145,3347.1101,0.04218722612918173,True,102931.14774916678,0.0,102931.14774916678,4,0.0
1999-11-19,335.79730814797466,3369.25,0.0421133477412748,True,102931.14774916678,0.0,102931.14774916678,4,0.0
1999-11-22,344.79185948500253,3392.5601,0.04136490721256254,True,102931.14774916678,0.0,102931.14774916678,4,0.0
1999-11-23,325.0288117896316,3342.8701,0.04559715768519426,True,91016.1688935699,11906.644204653618,102922.81309822353,4,0.11568518043993425
1999-11-24,354.40213259306404,3420.5,0.04582645601430515,True,103989.74578009099,0.0,103989.74578009099,4,0.0
1999-11-26,365.36808431358605,3447.8101,0.043694283621255055,True,103989.74578009099,0.0,103989.74578009099,4,0.0
1999-11-29,354.3690039590273,3421.3701,0.041416270599473615,True,91723.57145723015,12257.594007055906,103981.16546428605,4,0.11788282957134162
1999-11-30,319.87931667289615,3336.1599,0.050308464162745516,True,80314.12553672466,22466.063523135515,102780.18905986017,4,0.21858359795437876
1999-12-01,326.37919762555424,3353.71,0.05030285948438166,True,80314.12553672466,22922.56924502487,103236.69478174954,4,0.2220389687357289
1999-12-02,363.91646313357387,3452.78,0.053380404317648844,True,93276.12756842599,12587.839815953073,105863.96738437907,4,0.11890580078345422
1999-12-03,391.73485754371023,3520.6299,0.054486868671574124,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-06,402.6715218331213,3546.01,0.053994921131801155,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-07,420.7101640557923,3586.9199,0.05383693228045061,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-08,420.2433737050852,3586.0801,0.0529955706945032,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-09,423.8581138920539,3594.1699,0.05304044444410423,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-10,435.76513266773446,3620.24,0.052707266946960964,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-13,453.4853330282401,3658.1699,0.05283244891845403,True,106816.71825154327,0.0,106816.71825154327,4,0.0
1999-12-14,411.5718003716477,3571.6599,0.059127865156497574,True,97017.70091831448,9792.162819255278,106809.86373756976,4,0.0916784506280663
1999-12-15,434.09169381753895,3621.95,0.057480265804927766,True,97017.70091831448,10327.958670903325,107345.6595892178,4,0.09621216833941466
1999-12-16,477.5275820839574,3715.0601,0.05883134401369116,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-17,496.48316097263046,3753.0601,0.056954981835537564,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-20,512.2811783465155,3783.8701,0.05699594079465128,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-21,579.3847295208292,3911.1499,0.06139846540049911,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-22,594.378698063981,3937.3,0.05805933006489809,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-23,613.1842422328642,3969.4399,0.056531537004469494,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-27,616.6423924384188,3975.3799,0.05673342216229424,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-28,614.543201352845,3972.1101,0.05561808477176917,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-29,656.2672962127963,4041.46,0.046981549812031086,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-30,653.2316189800325,4036.8701,0.047739994316245114,True,108371.13818186802,0.0,108371.13818186802,4,0.0
1999-12-31,673.5756640276506,4069.3101,0.04443338495559984,True,108371.13818186802,0.0,108371.13818186802,4,0.0
2000-01-03,713.3640671163528,4131.1499,0.04375077917134822,True,108371.13818186802,0.0,108371.13818186802,4,0.0
