,baseline,v5,v5(compound),defensive,defensive(fixed),balanced,balanced(fixed),aggressive,aggressive(fixed),SOXL 보유
2001-10-04,75782656.46992917,85393058.89148614,85509325.94001624,,,,,,,24095102.82038056
2001-10-05,76140680.25469519,85393058.89148614,85509325.94001624,,,,,,,24533639.296657234
2001-10-08,78083628.74314699,85393058.89148614,85509325.94001624,,,,,,,27487675.30978929
2001-10-09,76717364.04545408,85393058.89148614,85509325.94001624,,,,,,,23752955.977513857
2001-10-10,81525434.22046655,85393058.89148614,85509325.94001624,,,,,,,27809427.86305708
2001-10-11,84639752.3319852,85393058.89148614,85509325.94001624,,,,,,,35208620.794098444
2001-10-12,84632259.8432897,85393058.89148614,85509325.94001624,,,,,,,33397125.725728326
2001-10-15,84148349.55356117,85393058.89148614,85509325.94001624,,,,,,,31295799.106246065
2001-10-16,85932462.35240813,85393058.89148614,85509325.94001624,,,,,,,34192078.31680229
2001-10-17,85924969.86986311,85393058.89148614,85509325.94001624,,,,,,,30013950.74446788
2001-10-18,85094402.88170163,85393058.89148614,85509325.94001624,,,,,,,26736826.44832115
2001-10-19,85539278.11945477,85393058.89148614,85509325.94001624,,,,,,,27371601.437582694
2001-10-22,86940413.75889081,85393058.89148614,85509325.94001624,,,,,,,31415833.71577169
2001-10-23,86932921.27202328,85393058.89148614,85509325.94001624,,,,,,,31015119.53169637
2001-10-24,87631104.29926573,85393058.89148614,85509325.94001624,,,,,,,33939184.575383455
2001-10-25,87631104.29926573,85393058.89148614,85509325.94001624,,,,,,,38339612.08474234
2001-10-26,87631104.29926573,85393058.89148614,85509325.94001624,,,,,,,38777781.685637854
2001-10-29,87623611.79220483,85393058.89148614,85509325.94001624,,,,,,,32357762.082926918
2001-10-30,86256827.70354857,85393058.89148614,85509325.94001624,,,,,,,26508984.512644924
2001-10-31,88305966.45346689,85393058.89148614,85509325.94001624,,,,,,,29440779.535293084
2001-11-01,90118987.82385884,85393058.89148614,85509325.94001624,,,,,,,34871810.234230496
2001-11-02,90118987.82385884,85393058.89148614,85509325.94001624,,,,,,,35887482.4489946
2001-11-05,90118987.82385884,85393058.89148614,85509325.94001624,,,,,,,40183649.094220705
2001-11-06,90118987.82385884,85393058.89148614,85509325.94001624,,,,,,,43546270.52215088
2001-11-07,90118987.82385884,85393058.89148614,85509325.94001624,,,,,,,44486391.05635556
2001-11-08,90111495.35655807,85393058.89148614,85509325.94001624,,,,,,,40870756.43920804
2001-11-09,90286088.95396024,85393058.89148614,85509325.94001624,,,,,,,41865014.318093844
2001-11-12,90286088.95396024,85393058.89148614,85509325.94001624,,,,,,,44304846.51858489
2001-11-13,90286088.95396024,85393058.89148614,85509325.94001624,,,,,,,50201578.58797724
2001-11-14,90286088.95396024,85393058.89148614,85509325.94001624,,,,,,,50953003.83247313
2001-11-15,90278596.47486809,85393058.89148614,85509325.94001624,,,,,,,49435260.28860295
2001-11-16,90190599.20765296,85393058.89148614,85509325.94001624,,,,,,,48904091.09657914
2001-11-19,89996657.89142437,85393058.89148614,85509325.94001624,,,,,,,48292321.18451263
2001-11-20,86193356.82205577,85393058.89148614,85509325.94001624,,,,,,,40071682.89908528
