date,close,ref_close,vol,bull,cash,invested,equity,n_active,exposure
1999-10-18,143.24861412222316,2689.1499,0.049649317678258816,True,100000.0,0.0,100000.0,0,0.0
1999-10-19,143.06546289983243,2688.1799,0.04772262648261692,True,97169.27572658821,2828.7441525050363,99998.01987909325,1,0.028288001661685366
1999-10-20,158.99543671986126,2788.1299,0.05321742615880795,True,100310.79271187657,0.0,100310.79271187657,1,0.0
1999-10-21,161.32851371633103,2801.95,0.04576055150845227,True,100310.79271187657,0.0,100310.79271187657,1,0.0
1999-10-22,163.81352481839008,2816.52,0.04575396005427655,True,100310.79271187657,0.0,100310.79271187657,2,0.0
1999-10-25,163.6818906950827,2815.95,0.045524463329060724,True,97228.05658125793,3080.5797248112676,100308.6363060692,2,0.030711011915380577
1999-10-26,162.86851600020756,2811.47,0.04551373738602758,True,97228.05658125793,3065.271583006047,100293.32816426398,2,0.03056306575035217
1999-10-27,161.28110290777235,2802.52,0.045026741651057835,True,94157.32138155002,6103.982817984808,100261.30419953483,3,0.060880744238444966
1999-10-28,173.80077238504273,2875.22,0.04773623844301242,True,97461.79715668783,3271.02242827395,100732.81958496178,3,0.032472261193036984
1999-10-29,190.306950978052,2966.4299,0.05114605386619348,True,101040.96741902747,0.0,101040.96741902747,3,0.0
1999-11-01,190.50437117706014,2967.6499,0.04971013232409574,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-02,193.15923365921725,2981.6299,0.04971668314836138,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-03,202.23240655395446,3028.51,0.04906235127787706,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-04,207.68969957982654,3055.95,0.04922887204537049,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-05,217.0970363869519,3102.29,0.049720622386040345,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-08,225.8046424414139,3143.97,0.0499655358357892,True,101040.96741902747,0.0,101040.96741902747,4,0.0
1999-11-09,221.68154495345317,3125.04,0.04869467899359347,True,89875.89401027752,11157.263324422844,101033.15733470037,4,0.11043170003547759
1999-11-10,228.2181337737206,3155.96,0.044040406191495685,True,89875.89401027752,11486.250758746775,101362.1447690243,4,0.11331893957966949
1999-11-11,237.13944115977802,3197.29,0.0442060505510061,True,101802.80074104998,0.0,101802.80074104998,4,0.0
1999-11-12,242.40184688884545,3221.1499,0.037062317478140934,True,101802.80074104998,0.0,101802.80074104998,4,0.0
1999-11-15,241.99078184646402,3219.54,0.03359730286025761,True,101802.80074104998,0.0,101802.80074104998,4,0.0
1999-11-16,259.0759373376711,3295.52,0.034192769848293066,True,101802.80074104998,0.0,101802.80074104998,4,0.0
1999-11-17,252.86242651463758,3269.3899,0.031224994592998198,True,89488.7897255137,12305.397237470064,101794.18696298377,4,0.12088506824014197
1999-11-18,270.84595501085073,3347.1101,0.0327468549491882,True,102660.1181254295,0.0,102660.1181254295,4,0.0
1999-11-19,276.1673917077471,3369.25,0.03268889623375401,True,102660.1181254295,0.0,102660.1181254295,4,0.0
1999-11-22,281.8451230389115,3392.5601,0.03210917860721729,True,102660.1181254295,0.0,102660.1181254295,4,0.0
1999-11-23,269.40541036321497,3342.8701,0.035320744599188277,True,90606.70807222924,12044.978568202494,102651.68664043174,4,0.11733834058074114
1999-11-24,288.1213168301854,3420.5,0.03550344107665685,True,103479.44804811134,0.0,103479.44804811134,4,0.0
