date,close,shares,invested,cash,equity,n_active,halted,ref_close,vol,bull,interest,exposure
2001-08-21,64.244885,116,7452.962085042793,92547.03791495721,100000.0,1,False,18.490765,,True,0.0,0.07452962085042793
2001-08-22,70.232283,0,0.0,100686.44237964963,100686.44237964963,0,False,19.065187,,True,0.0,0.0
2001-08-23,71.290213,0,0.0,100686.44237964963,100686.44237964963,0,False,19.160921,,True,0.0,0.0
2001-08-24,80.510637,0,0.0,100686.44237964963,100686.44237964963,0,False,19.98699,,True,0.0,0.0
2001-08-27,85.898685,0,0.0,100686.44237964963,100686.44237964963,0,False,20.432844,,True,0.0,0.0
2001-08-28,79.861532,93,7427.676016622146,93251.33868701085,100679.014703633,1,False,19.954166,,True,0.0,0.07377581155801793
2001-08-29,71.486849,267,19088.411229029723,80799.26026976357,99887.6714987933,2,False,19.256664,,True,0.0,0.19109877067522116
2001-08-30,65.698777,457,30026.57879175765,68303.07860585903,98329.65739761667,3,False,18.736952,,True,0.0,0.3053664538902933
2001-08-31,66.677003,367,24472.283875113364,74298.45474539972,98770.73862051309,3,False,18.829947,,True,0.0,0.2477685619942389
2001-09-04,61.330488,669,41033.15442953352,55756.743758319244,96789.89818785276,4,False,18.326649,,True,0.0,0.42394046483957587
2001-09-05,55.014396,895,49241.55410085729,43310.1294365086,92551.6835373659,5,False,17.697529,,True,0.0,0.5320438507310027
2001-09-06,47.361612,1158,54848.834254176894,30840.64009949877,85689.47435367566,6,False,16.87693,,True,0.0,0.6400883500322714
2001-09-07,48.397831,802,38817.95333373951,48054.32114117517,86872.27447491468,5,False,17.000021,,True,0.0,0.4468393807848167
2001-09-10,48.257793,1156,55790.166418077766,30952.704678448903,86742.87109652667,6,False,16.98361,,True,0.0,0.6431671642041337
2001-09-17,34.990572,1513,52944.68108893959,18447.64691248713,71392.32800142672,7,False,15.427209,,True,0.0,0.7416018299316635
2001-09-18,35.586116,0,0.0,72239.60742262672,72239.60742262672,0,True,15.514744,,True,0.0,0.0
2001-09-19,26.608074,0,0.0,72239.60742262672,72239.60742262672,0,True,14.209991,,True,0.0,0.0
2001-09-20,21.46059,0,0.0,72239.60742262672,72239.60742262672,0,True,13.293661,,True,0.0,0.0
2001-09-21,18.347488,0,0.0,72239.60742262672,72239.60742262672,0,True,12.650859,,True,0.0,0.0
2001-09-24,23.82199,0,0.0,72239.60742262672,72239.60742262672,0,True,13.909103,,True,0.0,0.0
2001-09-25,21.92464,0,0.0,72239.60742262672,72239.60742262672,0,True,13.539836,0.13955251783290154,True,0.0,0.0
2001-09-26,20.064378,0,0.0,72239.60742262672,72239.60742262672,0,True,13.156892,0.13557920423446462,True,0.0,0.0
2001-09-27,18.249814,0,0.0,72239.60742262672,72239.60742262672,0,True,12.760275,0.13448990941990205,True,0.0,0.0
2001-09-28,19.775528,0,0.0,72239.60742262672,72239.60742262672,0,True,13.115863,0.13170887937469009,True,0.0,0.0
2001-10-01,17.795907,0,0.0,72239.60742262672,72239.60742262672,0,True,12.678212,0.12797491687754603,True,0.0,0.0
2001-10-02,16.816855,0,0.0,72239.60742262672,72239.60742262672,0,True,12.445712,0.12806579769259002,True,0.0,0.0
2001-10-03,21.640146,0,0.0,72239.60742262672,72239.60742262672,0,True,13.635572,0.1474146386249077,True,0.0,0.0
2001-10-04,25.416818,0,0.0,72239.60742262672,72239.60742262672,0,True,14.428807,0.15524869338000177,True,0.0,0.0
2001-10-05,25.87941,0,0.0,72239.60742262672,72239.60742262672,0,True,14.516344,0.15531913026104321,True,0.0,0.0
2001-10-08,28.995487,0,0.0,72239.60742262672,72239.60742262672,0,True,15.098969,0.1591128366592945,True,0.0,0.0
2001-10-09,25.055903,0,0.0,72239.60742262672,72239.60742262672,0,True,14.41514,0.16020817041852448,True,0.0,0.0
2001-10-10,29.334889,0,0.0,72239.60742262672,72239.60742262672,0,True,15.235743,0.16376251922915086,True,0.0,0.0
