date,close,ref_close,vol,bull,halted,interest,cash,invested,equity,n_active,exposure
2003-05-14,44.783615,11.529377,0.003300528325991833,True,False,2.7301587301587302,100002.73015873016,0.0,100002.73015873016,0,0.0
2003-05-15,44.737938,11.657937,0.0033536947316499996,True,False,5.7249918590504904e-05,2.0970019424777817,99900.73248155604,99902.82948349851,1,0.9999790095840797
2003-05-16,44.97654,11.507495,0.003384287844602629,True,False,5.7251481604155317e-05,2.0970591939593857,100433.53563782947,100435.63269702342,1,0.9999791203665707
2003-05-19,44.966408,10.985044,0.0033073805539722075,True,False,5.725304466047847e-05,2.097116447004046,100410.9106741688,100413.00779061581,1,0.9999791150918277
2003-05-21,45.12381,11.042491,0.0032977740633832408,True,False,5.725460775947555e-05,2.0971737016118053,100762.39256620553,100764.48973990713,1,0.9999791873733791
2003-05-22,45.336975,11.165583,0.0032862979169320954,True,False,5.72561709011477e-05,2.0972309577827066,101238.39438013425,101240.49161109203,1,0.9999792846624468
2003-05-23,45.286224,11.242167,0.0032706620479452946,True,False,5.7257734085496116e-05,2.0972882155167922,101125.06635696582,101127.16364518134,1,0.9999792608816472
2003-05-27,45.118683,11.830261,0.003514651519976527,True,False,5.725929731252195e-05,2.0973454748141047,100750.94387012496,100753.04121559978,1,0.9999791833035558
2003-05-28,45.128819,11.876762,0.0034721901873591573,True,False,5.7260860582226355e-05,2.097402735674687,100773.57776586761,100775.67516860328,1,0.9999791874107302
2003-05-29,45.367462,12.243299,0.003445473867145804,True,False,5.726242389461051e-05,2.0974599980985817,101306.47247598135,101308.56993597945,1,0.9999792963221233
2003-05-30,45.342072,12.418355,0.0033728085156500423,True,False,5.726398724967556e-05,2.0975172620858316,101249.77608559995,101251.87360286203,1,0.9999792841634684
2003-06-02,45.165951,12.166705,0.0036060125318542993,True,False,5.726555064742271e-05,2.097574527636479,100856.49428290747,100858.59185743511,1,0.999979202817638
2003-06-03,45.466286,12.328091,0.003359232369255729,True,False,5.7267114087853076e-05,2.0976317947505665,101527.14849343116,101529.24612522591,1,0.9999793396299608
2003-06-04,45.598656,12.782154,0.0033562100026747286,True,False,5.726867757096785e-05,2.0976890634281373,101822.7334164239,101824.83110548733,1,0.9999793990420542
2003-06-05,45.435749,12.924391,0.0034596006797894836,True,False,5.727024109676819e-05,2.097746333669234,101458.9587465593,101461.05649289298,1,0.9999793246157079
2003-06-06,45.384792,12.7083,0.0032880924303720065,True,False,5.727180466525528e-05,2.0978036054738993,101345.17072116879,101347.26852477426,1,0.9999793008372498
2003-06-09,45.634289,12.363648,0.003415097753930174,True,False,5.7273368276430265e-05,2.0978608788421758,101902.30263574097,101904.40049661981,1,0.9999794134417295
2003-06-10,45.888859,12.473063,0.003531095501320898,True,False,5.727493193029433e-05,2.097918153774106,102470.76266328692,102472.86058144069,1,0.9999795270851046
2003-06-11,45.792084,12.473063,0.003580896745714278,True,False,5.727649562684861e-05,2.0979754302697327,102254.66210483245,102256.76008026271,1,0.999979483259311
2003-06-12,45.970299,12.308944,0.003619650363483984,True,False,5.7278059366094285e-05,2.098032708329099,102652.61985244254,102654.71788515087,1,0.999979562237844
2003-06-13,46.138283,11.91232,0.003539388465918781,True,False,5.7279623148032535e-05,2.098089987952247,103027.73156736292,103029.82965735087,1,0.999979636091849
2003-06-16,45.898975,12.120207,0.003808591006853163,True,False,5.728118697266452e-05,2.09814726913922,102493.35189861967,102495.4500458888,1,0.9999795293618575
2003-06-17,45.649559,12.194059,0.003965572213018962,True,False,5.72827508399914e-05,2.09820455189006,101936.40085870765,101938.49906325954,1,0.9999794169565849
2003-06-18,45.374668,12.453918,0.004243669919857909,True,False,5.728431475001434e-05,2.0982618362048098,101322.5636216721,101324.6618835083,1,0.9999792916966393
2003-06-19,45.440796,12.336295,0.004190910248581402,True,False,5.728587870273449e-05,2.0983191220835127,101470.22880100022,101472.32712012231,1,0.9999793212673678
2003-06-20,45.369587,12.158501,0.004080657195362354,True,False,5.728744269815305e-05,2.0983764095262107,101311.21764453434,101313.31602094386,1,0.9999792882466793
2003-06-23,45.542698,11.832997,0.004155297379470091,True,False,5.7289006736271154e-05,2.098433698532947,101697.77805553528,101699.87648923381,1,0.9999793664085841
2003-06-24,45.756439,11.734528,0.0041548501730609795,True,False,5.729057081708998e-05,2.098490989103764,102175.06608926943,102177.16458025853,1,0.9999794622311382
2003-06-25,45.410309,11.80291,0.0045509922747592755,True,False,5.729213494061071e-05,2.098548281238705,101402.15070515312,101404.24925343436,1,0.9999793051248178
2003-06-26,44.962307,12.084651,0.004930637047354848,True,False,5.7293699106834484e-05,2.0986055749378116,100401.75305711666,100403.8516626916,1,0.9999790983558879
2003-06-27,44.921577,12.005322,0.004931657142647565,True,False,5.7295263315762484e-05,2.098662870201127,100310.80213233388,100312.90079520407,1,0.9999790788337934
2003-06-30,45.028454,11.926001,0.004901556958986355,True,False,5.729682756739586e-05,2.0987201670286946,100549.4606638342,100551.55938400123,1,0.9999791279202441
2003-07-01,45.148018,12.147559,0.004688084384755535,True,False,5.729839186173579e-05,2.0987774654205564,100816.4495263612,100818.54830382662,1,0.9999791826256108
2003-07-02,45.194157,12.552388,0.004637795792883173,True,False,5.729995619878345e-05,2.0988347653767554,100919.47885900426,100921.57769376964,1,0.9999792033100023
2003-07-03,44.906902,12.415621,0.004777347723648126,True,False,5.730152057853999e-05,2.098892066897334,100278.03255656204,100280.13144862895,1,0.999979069711651
2003-07-07,44.665836,13.1651,0.0048960534302414675,True,False,5.730308500100658e-05,2.098949369982335,99739.72723778765,99741.82618715764,1,0.999978956176659
2003-07-08,44.681221,13.321015,0.0046791476647806566,True,False,5.7304649466184384e-05,2.0990066746318012,99774.08225811132,99776.18126478595,1,0.9999789628481666
2003-07-09,44.763313,13.455042,0.004471282657233406,True,False,5.730621397407457e-05,2.0990639808457754,99957.39537663001,99959.49444061086,1,0.9999790008543702
2003-07-10,44.865868,13.006449,0.004534040128810775,True,False,5.730777852467832e-05,2.0991212886243003,100186.40279354864,100188.50191483727,1,0.9999790482815043
2003-07-11,45.024857,13.129539,0.004514908289660214,True,False,5.730934311799677e-05,2.0991785979674185,100541.42848911177,100543.52766770974,1,0.9999791216933932
2003-07-14,44.763313,13.471461,0.004494240025268893,True,False,5.7310907754031114e-05,2.0992359088751726,99957.39537663001,99959.49461253888,1,0.9999789991344293
2003-07-15,44.152912,13.493338,0.005210275610997201,True,False,5.731247243278249e-05,2.0992932213476054,98594.35743314066,98596.456726362,1,0.9999787082285607
2003-07-16,44.168285,13.471461,0.005165810801078051,True,False,5.731403715425208e-05,2.0993505353847595,98628.68565721836,98630.78500775374,1,0.9999787150580296
2003-07-17,44.075989,12.88883,0.005063622849514783,True,False,5.731560191844105e-05,2.099407850986678,98422.58679756333,98424.68620541431,1,0.9999786699055703
2003-07-18,43.963127,12.924391,0.00502171943220992,True,False,5.7317166725350574e-05,2.099465168153403,98170.56363839732,98172.66310356547,1,0.9999786145643625
2003-07-21,43.388641,12.689151,0.00564139789043335,True,False,5.7318731574981796e-05,2.099522486884978,96887.72462600477,96889.82414849165,1,0.9999783308257051
2003-07-22,43.542526,13.110393,0.005626597773373143,True,False,5.732029646733591e-05,2.0995798071814455,97231.35298495874,97233.45256476592,1,0.9999784068162572
2003-07-23,43.675892,13.359307,0.005532284315328447,True,False,5.732186140241407e-05,2.099637129042848,97529.161996365,97531.26163349404,1,0.9999784721627315
2003-07-24,43.506603,12.995512,0.005407187545324906,True,False,5.732342638021744e-05,2.0996944524692283,97151.13618969797,97153.23588415043,1,0.9999783878073297
2003-07-25,43.450214,13.260837,0.005089158947211335,True,False,5.732499140074719e-05,2.099751777460629,97025.21839697578,97027.31814875324,1,0.999978359169175
2003-07-28,43.132179,13.419486,0.005237191787511925,True,False,5.732655646400448e-05,2.099809104017093,96315.03972368127,96317.1395327853,1,0.9999781990088762
2003-07-29,42.711578,13.102188,0.005402774451010556,True,False,5.732812156999048e-05,2.099866432138663,95375.82907024269,95377.92893667483,1,0.9999779837279384
2003-07-30,43.055237,13.020125,0.005797851067660414,True,False,5.7329686718706354e-05,2.099923761825382,96143.22666071453,96145.32658447635,1,0.9999781588576749
2003-07-31,42.768009,13.211599,0.005816732332404479,True,False,5.7331251910153284e-05,2.099981093077292,95501.8406498257,95503.94063091878,1,0.999978011576494
2003-08-01,42.942337,13.375718,0.005942342951518257,True,False,5.733281714433242e-05,2.1000384258944367,95891.1186467697,95893.21868519559,1,0.9999781002405104
2003-08-04,43.257931,13.424954,0.0062589934202767605,True,False,5.733438242124494e-05,2.100095760276858,96595.8465170346,96597.94661279488,1,0.9999782594161272
2003-08-05,42.968216,12.992771,0.006342183807969378,True,False,5.7335947740892e-05,2.1001530962245987,95948.90698417339,95951.00713726961,1,0.9999781122349949
2003-08-06,43.408016,12.883356,0.006858438334118684,True,False,5.733751310327476e-05,2.100210433737702,96930.98939810558,96933.08960853932,1,0.9999783334004702
2003-08-07,43.563198,12.773949,0.006901857591040372,True,False,5.733907850839441e-05,2.1002677728162102,97277.51398464224,97279.61425241505,1,0.9999784099907371
2003-08-08,43.558018,12.442976,0.006809963962238636,True,False,5.734064395625209e-05,2.1003251134601664,97265.9469384754,97268.04726358886,1,0.9999784068337697
2003-08-11,43.376945,12.670006,0.006766442884198398,True,False,5.734220944684899e-05,2.1003824556696133,96861.6072182891,96863.70760074476,1,0.9999783161050956
2003-08-12,43.299358,12.910715,0.006134619239703653,True,False,5.7343774980186276e-05,2.1004397994445934,96688.35385710275,96690.45429690219,1,0.9999782766580764
2003-08-13,42.818176,13.148687,0.00653196933828011,True,False,5.734534055626509e-05,2.1004971447851495,95613.86458902473,95615.96508616951,1,0.9999780319411837
2003-08-14,42.906151,13.299128,0.00657951338662242,True,False,5.7346906175086624e-05,2.1005544916913244,95810.31456711859,95812.41512161028,1,0.9999780763851008
2003-08-15,42.890667,13.334682,0.00657647282430596,True,False,5.734847183665203e-05,2.100611840163161,95775.73847776587,95777.83908960603,1,0.9999780678718572
2003-08-18,43.019955,13.950134,0.006002842606398823,True,False,5.73500375409625e-05,2.100669190200702,96064.44123159141,96066.54190078161,1,0.999978133186137
2003-08-19,43.361469,14.223668,0.006229851891691426,True,False,5.735160328801917e-05,2.1007265418039904,96827.04899310034,96829.14971964214,1,0.9999783048126738
2003-08-20,43.154499,14.086904,0.006260174862060126,True,False,5.735316907782323e-05,2.1007838949730684,96364.8807411414,96366.98152503638,1,0.9999782001691686
2003-08-21,42.994083,14.551906,0.00625587548203565,True,False,5.735473491037584e-05,2.1008412497079787,96006.66852533116,96008.76936658086,1,0.9999781182358282
2003-08-22,43.025135,14.825437,0.006260197736105539,True,False,5.735630078567815e-05,2.1008986060087644,96076.00827775821,96078.10917636422,1,0.999978133430976
2003-08-25,42.838924,14.644908,0.0061214007057813925,True,False,5.7357866703731346e-05,2.1009559638754682,95660.19529826588,95662.29625422976,1,0.9999780377845175
2003-08-26,42.994083,14.702352,0.005754440460171811,True,False,5.7359432664536594e-05,2.1010133233081327,96006.66852533116,96008.76953865447,1,0.9999781164435978
2003-08-27,42.890667,15.148211,0.005487669746829331,True,False,5.736099866809505e-05,2.101070684306801,95775.73847776587,95777.83954845018,1,0.9999780630812491
2003-08-28,43.190701,15.279503,0.005486175754551938,True,False,5.73625647144079e-05,2.101128046871515,96445.72054912041,96447.82167716727,1,0.9999782148729714
2003-08-29,43.071701,15.3725,0.005464300549387382,True,False,5.7364130803476294e-05,2.1011854110023185,96179.99111015286,96182.09229556385,1,0.9999781540891777
2003-09-02,42.896255,15.399852,0.005267994368257167,True,False,5.73656969353014e-05,2.101242776699254,95788.21659629486,95790.31783907156,1,0.9999780641423466
2003-09-03,43.005913,15.098969,0.005089363650054404,True,False,5.736726310988439e-05,2.1013001439623635,96033.08515779322,96035.18645793718,1,0.9999781194766059
2003-09-04,43.282696,15.320529,0.004752865809544349,True,False,5.736882932722644e-05,2.1013575127916906,96651.1472696063,96653.24862711909,1,0.999978258800996
2003-09-05,43.830936,15.522948,0.005493738782042286,True,False,5.73703955873287e-05,2.101414883187278,97875.3784260733,97877.47984095648,1,0.999978530149258
2003-09-08,43.6273,16.048128,0.005604811414731381,True,False,5.737196189019235e-05,2.1014722551491682,97420.65506444642,97422.75653670156,1,0.9999784293492624
2003-09-09,43.836159,15.864861,0.005604987455314318,True,False,5.737352823581856e-05,2.101529628677404,97887.04149212143,97889.1430217501,1,0.9999785315351243
2003-09-10,44.133793,14.948525,0.00574370641513907,True,False,5.73750946242085e-05,2.1015870037720283,98551.6643142867,98553.76590129046,1,0.9999786757311144
2003-09-11,43.977154,15.159147,0.005115117224510525,True,False,5.7376661055363316e-05,2.1016443804330835,98201.88621688806,98203.9878612685,1,0.9999785991951425
2003-09-12,44.154663,15.238471,0.00514866485559596,True,False,5.737822752928418e-05,2.101701758660613,98598.26745202832,98600.36915378697,1,0.9999786846461459
2003-09-15,44.233009,14.998838,0.005131588631377586,True,False,5.7379794045972286e-05,2.101759138454659,98773.21567577079,98775.31743490924,1,0.9999787218184356
2003-09-16,44.196457,15.57878,0.00514547466395439,True,False,5.7381360605428776e-05,2.101816519815264,98691.59431061833,98693.69612713814,1,0.9999787036396214
2003-09-17,44.44186,15.483024,0.005012054307375797,True,False,5.7382927207654826e-05,2.1018739027424718,99239.5842392818,99241.68611318455,1,0.9999788206550587
2003-09-18,44.436642,15.581504,0.0048223145914481165,True,False,5.738449385265161e-05,2.1019312872363245,99227.93233833615,99230.03426962339,1,0.9999788175898284
2003-09-19,44.436642,15.52133,0.004681279377470541,True,False,5.738606054042029e-05,2.101988673296865,99227.93233833615,99230.03432700945,1,0.9999788170115272
2003-09-22,44.243473,15.160242,0.0048682746803813915,True,False,5.738762727096203e-05,2.102046060924136,98796.58200223595,98798.68404829688,1,0.9999787239467693
2003-09-23,44.347881,15.384545,0.0046798064724886505,True,False,5.7389194044277996e-05,2.10210345011818,99029.7272061328,99031.82930958291,1,0.9999787734563244
2003-09-24,44.57243,14.700666,0.004721046072725484,True,False,5.739076086036936e-05,2.1021608408790406,99531.14972538258,99533.25188622346,1,0.9999788798135192
2003-09-25,44.635098,14.703407,0.004617909286292234,True,False,5.7392327719237295e-05,2.10221823320676,99671.08865379619,99673.1908720294,1,0.9999789088899952
2003-09-26,44.97448,14.432588,0.004653993438795447,True,False,5.739389462088297e-05,2.1022756271013807,100428.93561560867,100431.03789123577,1,0.9999790674708612
2003-09-29,44.781254,14.676058,0.004749508841311891,True,False,5.739546156530754e-05,2.102333022562946,99997.45799734023,99999.56033036279,1,0.9999789765773408
2003-09-30,45.21468,14.334108,0.004822837900520372,True,False,5.7397028552512174e-05,2.1023904195914986,100965.30713863394,100967.40952905353,1,0.9999791775343213
2003-10-01,45.415359,14.547476,0.004839429676319108,True,False,5.7398595582498055e-05,2.102447818187081,101413.42745865554,101415.52990647373,1,0.9999792689756674
2003-10-02,45.252064,14.738968,0.004954478678188641,True,False,5.740016265526634e-05,2.1025052183497364,101048.78637683866,101050.88888205701,1,0.9999791935999612
2003-10-03,44.625404,15.346246,0.005550151610324023,True,False,5.7401729770818206e-05,2.102562620079507,99649.44175311257,99651.54431573265,1,0.9999789008526208
2003-10-06,44.757088,15.461144,0.005408216893570354,True,False,5.74032969291548e-05,2.1026200233764363,99943.49482404537,99945.59744406874,1,0.9999789623547495
2003-10-07,44.498966,15.78394,0.005562059294248032,True,False,5.740486413027731e-05,2.1026774282405665,99367.1031076993,99369.20578512753,1,0.9999788397480727
2003-10-08,44.578011,15.696395,0.005387118808791157,True,False,5.74064313741869e-05,2.1027348346719408,99543.61221276812,99545.71494760278,1,0.9999788766916208
2003-10-09,44.435822,15.805818,0.005373409703362599,True,False,5.740799866088474e-05,2.102792242670602,99226.10126152982,99228.2040537725,1,0.9999788085226098
2003-10-10,44.567474,16.002769,0.005341865201110596,True,False,5.740956599037199e-05,2.1028496522365923,99520.08287580675,99522.18572545898,1,0.9999788705439204
2003-10-13,44.498966,16.1122,0.005350513159049659,True,False,5.741113336264982e-05,2.1029070633699547,99367.1031076993,99369.20601476266,1,0.9999788374371931
2003-10-14,44.319973,16.248972,0.005433332066642718,True,False,5.7412700777719394e-05,2.1029644760707322,98967.40807014366,98969.51103461973,1,0.9999787513906648
2003-10-15,44.161926,16.281796,0.005338024508082233,True,False,5.7414268235581895e-05,2.103021890338968,98614.48587988733,98616.58890177766,1,0.999978674765435
2003-10-16,43.919754,16.432249,0.005461686923124074,True,False,5.741583573623849e-05,2.103079306174704,98073.71084044488,98075.81391975106,1,0.9999785565959421
2003-10-17,44.15667,16.010986,0.005622136771837723,True,False,5.741740327969033e-05,2.1031367235779834,98602.74912416284,98604.85226088643,1,0.9999786710625759
2003-10-20,44.188328,16.188789,0.00554414727576335,True,False,5.74189708659386e-05,2.1031941425488494,98673.44208701019,98675.54528115274,1,0.999978685761132
2003-10-21,44.267326,16.618263,0.005532492063398527,True,False,5.7420538494984466e-05,2.1032515630873445,98849.84624011572,98851.94949167881,1,0.9999787232161439
2003-10-22,44.588562,16.22982,0.0056591416156543265,True,False,5.742210616682909e-05,2.1033089851935114,99567.17281201642,99569.27612100162,1,0.9999788759237072
2003-10-23,44.446404,15.865994,0.0056931361673819595,True,False,5.742367388147365e-05,2.1033664088673927,99249.73108441348,99251.83445082234,1,0.999978807783045
2003-10-24,44.757088,15.844111,0.005650771704382367,True,False,5.7425241638919296e-05,2.1034238341090314,99943.49482404537,99945.59824787948,1,0.9999789543124361
2003-10-27,44.635925,15.994572,0.0056014517038065256,True,False,5.742680943916721e-05,2.1034812609184708,99672.93536174599,99675.0388430069,1,0.9999788966095692
2003-10-28,44.846622,16.908228,0.00524522152596323,True,False,5.742837728221857e-05,2.103538689295753,100143.42608109176,100145.52961978105,1,0.9999789951813398
2003-10-29,44.556988,17.096981,0.005282737712126991,True,False,5.7429945168074525e-05,2.1035961192409207,99496.66742289068,99498.77101900992,1,0.999978858069324
2003-10-30,44.3937,17.233757,0.005284590059302176,True,False,5.743151309673625e-05,2.1036535507540175,99132.0419722173,99134.14562576805,1,0.9999787797278377
2003-10-31,44.551697,17.042274,0.004394797247032767,True,False,5.743308106820493e-05,2.103710983835086,99484.85251144884,99486.95622243268,1,0.9999788544039971
2003-11-03,44.382099,17.616734,0.004409514874619353,True,False,5.743464908248171e-05,2.1037684184841683,99106.13670144869,99108.24046986717,1,0.9999787730222178
2003-11-04,44.540596,17.693325,0.004305340568298238,True,False,5.743621713956778e-05,2.103825854701308,99460.06375092802,99462.16757678273,1,0.999978847979026
2003-11-05,44.382099,17.805483,0.004357783008769789,True,False,5.743778523946428e-05,2.1038832924865476,99106.13670144869,99108.24058474117,1,0.9999787718631663
