profile,price_mode,capital_usd,capital_krw_m,cagr,cagr_frac,cagr_gap,mdd,mdd_frac,expo,expo_frac,skipped_ratio,fills
defensive,scaled,2000,3,0.028565091536894238,0.17498547134525744,-0.1464203798083632,-0.15356586646715864,-0.16093081964298117,0.049064229932710826,0.11702696259820064,0.8165487207403375,674
defensive,scaled,3000,4,0.13276195461892448,0.17498547134525744,-0.042223516726332955,-0.12614815542102265,-0.16093081964298117,0.08267446389595684,0.11702696259820064,0.5245635403978888,2342
defensive,scaled,5000,7,0.18093959439124285,0.17498547134525744,0.0059541230459854155,-0.14065766415945302,-0.16093081964298117,0.11864824248532374,0.11702696259820064,0.3398157625383828,3870
defensive,scaled,7000,10,0.16696682993065015,0.17498547134525744,-0.008018641414607286,-0.12856510047383052,-0.16093081964298117,0.11936494851280623,0.11702696259820064,0.2599283854166667,4547
defensive,scaled,10000,14,0.1593684235334738,0.17498547134525744,-0.015617047811783635,-0.1469656323504539,-0.16093081964298117,0.12126929697445739,0.11702696259820064,0.1934136546184739,5021
defensive,scaled,15000,21,0.16377048530099048,0.17498547134525744,-0.011214986044266961,-0.15150851059822923,-0.16093081964298117,0.1173933368175913,0.11702696259820064,0.1140562248995984,5515
defensive,scaled,20000,28,0.16841619802697205,0.17498547134525744,-0.006569273318285385,-0.14807354016660013,-0.16093081964298117,0.11728598475590178,0.11702696259820064,0.09009297851875601,5676
defensive,scaled,30000,42,0.16838575726156146,0.17498547134525744,-0.006599714083695973,-0.15295900421533137,-0.16093081964298117,0.11694931396223208,0.11702696259820064,0.05364600064246707,5892
defensive,scaled,50000,70,0.17297026810804672,0.17498547134525744,-0.0020152032372107165,-0.15226096646444942,-0.16093081964298117,0.11747331283329239,0.11702696259820064,0.030695443645083934,6063
defensive,scaled,100000,140,0.17526414362401077,0.17498547134525744,0.00027867227875333356,-0.15910244317666467,-0.16093081964298117,0.11683900936007202,0.11702696259820064,0.01233381387153612,6166
defensive,scaled,300000,420,0.17480426636637403,0.17498547134525744,-0.00018120497888340914,-0.16048152977751906,-0.16093081964298117,0.1171314058757293,0.11702696259820064,0.0019261637239165329,6218
defensive,raw,2000,3,0.1581069672483535,0.17450484517870346,-0.01639787793034997,-0.13837786419865106,-0.16093091891404698,0.1178339960053159,0.1169827453017939,0.1327974276527331,5394
defensive,raw,3000,4,0.16771908529272772,0.17450484517870346,-0.0067857598859757395,-0.14738248615534355,-0.16093091891404698,0.1171425149146355,0.1169827453017939,0.09013768812039706,5683
defensive,raw,5000,7,0.16531725704304212,0.17450484517870346,-0.00918758813566134,-0.15937019518668294,-0.16093091891404698,0.1170311033244129,0.1169827453017939,0.05110188438198659,5942
defensive,raw,7000,10,0.16946109966950829,0.17450484517870346,-0.005043745509195174,-0.1589827636795733,-0.16093091891404698,0.11717581071224431,0.1169827453017939,0.03414711983405138,6053
