date,close,ref_close,vol,bull,halted,interest,cash,invested,equity,n_active,exposure
1999-10-18,143.24861412222316,2689.1499,0.049649317678258816,True,False,10.285714285714286,100010.28571428571,0.0,100010.28571428571,0,0.0
1999-10-19,143.06546289983243,2688.1799,0.04772262648261692,True,False,9.898402305128066,96244.36525771687,3772.046812061915,100016.41206977879,1,0.03771427842692716
1999-10-20,158.99543671986126,2788.1299,0.05321742615880795,True,False,10.330172001429249,100442.55796367467,0.0,100442.55796367467,1,0.0
1999-10-21,161.32851371633103,2801.95,0.04576055150845227,True,False,10.331234533406539,100452.88919820808,0.0,100452.88919820808,1,0.0
1999-10-22,163.81352481839008,2816.52,0.04575396005427655,True,False,10.332297174672831,100463.22149538275,0.0,100463.22149538275,2,0.0
1999-10-25,163.6818906950827,2815.95,0.045524463329060724,True,False,9.909858873613093,96355.7600190009,4113.2580771782905,100469.01809617919,2,0.04094056212673105
1999-10-26,162.86851600020756,2811.47,0.04551373738602758,True,False,9.910878173382951,96365.67089717428,4092.8183081894285,100458.4892053637,2,0.040741388214814045
1999-10-27,161.28110290777235,2802.52,0.045026741651057835,True,False,9.489948213380151,92272.87535607595,8151.114577070478,100423.98993314643,3,0.08116700583691987
1999-10-28,173.80077238504273,2875.22,0.04773623844301242,True,False,10.393503187893508,101058.34116326364,0.0,101058.34116326364,3,0.0
1999-10-29,190.306950978052,2966.4299,0.05114605386619348,True,False,10.39457223393569,101068.73573549758,0.0,101068.73573549758,3,0.0
1999-11-01,190.50437117706014,2967.6499,0.04971013232409574,True,False,10.395641389936895,101079.13137688753,0.0,101079.13137688753,4,0.0
1999-11-02,193.15923365921725,2981.6299,0.04971668314836138,True,False,10.396710655908432,101089.52808754344,0.0,101089.52808754344,4,0.0
1999-11-03,202.23240655395446,3028.51,0.04906235127787706,True,False,10.397780031861613,101099.92586757531,0.0,101099.92586757531,4,0.0
1999-11-04,207.68969957982654,3055.95,0.04922887204537049,True,False,10.398849517807747,101110.32471709311,0.0,101110.32471709311,4,0.0
1999-11-05,217.0970363869519,3102.29,0.049720622386040345,True,False,10.39991911375815,101120.72463620687,0.0,101120.72463620687,4,0.0
1999-11-08,225.8046424414139,3143.97,0.0499655358357892,True,False,10.400988819724136,101131.12562502659,0.0,101131.12562502659,4,0.0
1999-11-09,221.68154495345317,3125.04,0.04869467899359347,True,False,8.868837675811424,86233.6795747313,14891.423464506574,101125.10303923787,4,0.1472574367487023
1999-11-10,228.2181337737206,3155.96,0.044040406191495685,True,False,9.02727753979997,87774.22558115062,13797.466025941507,101571.69160709213,4,0.13583967941888755
1999-11-11,237.13944115977802,3197.29,0.0442060505510061,True,False,10.501376243728297,102107.21485693549,0.0,102107.21485693549,4,0.0
1999-11-12,242.40184688884545,3221.1499,0.037062317478140934,True,False,10.502456385284795,102117.71731332077,0.0,102117.71731332077,4,0.0
1999-11-15,241.99078184646402,3219.54,0.03359730286025761,True,False,10.503536637941565,102128.22084995871,0.0,102128.22084995871,4,0.0
1999-11-16,259.0759373376711,3295.52,0.034192769848293066,True,False,10.50461700171004,102138.72546696043,0.0,102138.72546696043,4,0.0
1999-11-17,252.86242651463758,3269.3899,0.031224994592998198,True,False,8.814701693818803,85707.30339159883,16423.81296409133,102131.11635569016,4,0.16081105886371022
1999-11-18,270.84595501085073,3347.1101,0.0327468549491882,True,False,10.62324853626614,103292.20624001262,0.0,103292.20624001262,4,0.0
1999-11-19,276.1673917077471,3369.25,0.03268889623375401,True,False,10.624341213258441,103302.83058122588,0.0,103302.83058122588,4,0.0
1999-11-22,281.8451230389115,3392.5601,0.03210917860721729,True,False,10.625434002640377,103313.45601522851,0.0,103313.45601522851,4,0.0
1999-11-23,269.40541036321497,3342.8701,0.035320744599188277,True,False,8.97131760321384,87230.11468218222,16076.236414235267,103306.3510964175,4,0.15561711592379307
1999-11-24,288.1213168301854,3420.5,0.03550344107665685,True,False,10.73890211896078,104416.73172534877,0.0,104416.73172534877,4,0.0
1999-11-26,294.96601258871044,3447.8101,0.03383825712854777,True,False,10.74000669175016,104427.47173204052,0.0,104427.47173204052,4,0.0
1999-11-29,288.12211205535345,3421.3701,0.03200630193865533,True,False,9.048913583735665,87984.59764434714,16435.48751376336,104420.08515811051,4,0.157397760104075
1999-11-30,266.5382260448328,3336.1599,0.038721013363315626,True,False,7.447968671378192,72418.25449595935,30762.50045964964,103180.754955609,4,0.29814184314588954
1999-12-01,270.69229866563546,3353.71,0.038716196199510625,True,False,7.769759097903041,75547.09432204414,28117.748351233153,103664.8426732773,4,0.2712370715677683
1999-12-02,294.6282190699926,3452.78,0.04114581155932845,True,False,9.675469047409894,94076.73565219915,12065.551094615788,106142.28674681493,4,0.11367336680239598
1999-12-03,311.9393890502915,3520.6299,0.04200530606018926,True,False,10.989096229109377,106849.42465701471,0.0,106849.42465701471,4,0.0
1999-12-06,318.62439625925447,3546.01,0.041627682422471605,True,False,10.990226536150086,106860.41488355085,0.0,106860.41488355085,4,0.0
1999-12-07,329.5896057956833,3586.9199,0.04150578288958569,True,False,10.991356959450947,106871.4062405103,0.0,106871.4062405103,4,0.0
1999-12-08,329.29336606866065,3586.0801,0.040855843223313315,True,False,10.992487499023918,106882.39872800933,0.0,106882.39872800933,4,0.0
1999-12-09,331.4572316617423,3594.1699,0.040896933967069046,True,False,10.993618154880961,106893.39234616421,0.0,106893.39234616421,4,0.0
1999-12-10,338.6047406027766,3620.24,0.04064204987054247,True,False,10.994748927034035,106904.38709509124,0.0,106904.38709509124,4,0.0
1999-12-13,349.18109568761935,3658.1699,0.04073688645034064,True,False,10.995879815495101,106915.38297490674,0.0,106915.38297490674,4,0.0
1999-12-14,324.3397452339107,3571.6599,0.045506248583437346,True,False,9.3850595006299,91253.01909340244,15656.092848156777,106909.11194155923,4,0.1464430165383379
1999-12-15,337.9764539439044,3621.95,0.044214124378663816,True,False,9.5536617154548,92892.37589530378,14682.911172845637,107575.28706814941,4,0.13648963040687914
1999-12-16,363.9753245567249,3715.0601,0.04527473841692519,True,False,11.179435782875117,108700.13843595762,0.0,108700.13843595762,4,0.0
1999-12-17,375.0727434676793,3753.0601,0.04380682286976937,True,False,11.1805856676985,108711.31902162531,0.0,108711.31902162531,4,0.0
1999-12-20,384.23632359897294,3783.8701,0.043837191330865145,True,False,11.181735670795748,108722.5007572961,0.0,108722.5007572961,4,0.0
1999-12-21,422.93505686024383,3911.1499,0.04730847615092602,True,False,11.182885792179029,108733.68364308828,0.0,108733.68364308828,4,0.0
1999-12-22,431.3352609365464,3937.3,0.044740542816633755,True,False,11.18403603186051,108744.86767912014,0.0,108744.86767912014,4,0.0
1999-12-23,441.81341158251104,3969.4399,0.043550348956064196,True,False,11.185186389852358,108756.05286550999,0.0,108756.05286550999,4,0.0
1999-12-27,443.7100590255851,3975.3799,0.0437127603242062,True,False,11.186336866166743,108767.23920237616,0.0,108767.23920237616,4,0.0
1999-12-28,442.5280303689421,3972.1101,0.04285227718055611,True,False,11.187487460815836,108778.42668983698,0.0,108778.42668983698,4,0.0
1999-12-29,465.6196731958284,4041.46,0.036318295029044746,True,False,11.188638173811805,108789.6153280108,0.0,108789.6153280108,4,0.0
1999-12-30,463.9417946033633,4036.8701,0.03690751737704606,True,False,11.189789005166826,108800.80511701596,0.0,108800.80511701596,4,0.0
1999-12-31,475.0352726249439,4069.3101,0.034309283307691084,True,False,11.190939954893071,108811.99605697085,0.0,108811.99605697085,4,0.0
2000-01-03,496.5987679693296,4131.1499,0.033775595714464174,True,False,11.192091023002718,108823.18814799385,0.0,108823.18814799385,4,0.0
2000-01-04,413.75218866374615,3901.6899,0.057093889239829235,True,False,9.749883396066927,94800.28290071341,14018.63649418231,108818.91939489573,4,0.12882536026028457
