profile,period,cagr,mdd,rec,worst_year,calmar,expo,bh_cagr,bh_mdd
balanced,full 2011~2026-09,0.03351319974439537,-0.32185447253809574,1771.0,-0.09924618512995687,0.10412531937218503,0.22520367374336217,0.1379846459988303,-0.6837029288702929
balanced,~2025 (2026 제외),0.015278029033997553,-0.32185447253809574,1771.0,-0.09924618512995687,0.047468748572972515,0.23146268245988957,0.08383903556429795,-0.6622152395915162
balanced,IS ~2017,-0.01225720158394783,-0.32185447253809574,,-0.09924618512995687,-0.038083055013308935,0.2840737840692596,0.031191260217329653,-0.5515477792732169
balanced,OOS 2018~,0.07166032136263856,-0.20480636992668466,267.0,-0.09852697120941645,0.3498930301254355,0.1766567581191624,0.23164925835141315,-0.6837029288702929
balanced,2026,0.5088942263964973,-0.0967451617867785,1.0,0.33871321953642153,5.260151691286379,0.09454686678585267,1.957597694761661,-0.6837029288702929
defensive,full 2011~2026-09,0.03112252018539241,-0.15340332532243794,482.0,-0.05419017919248437,0.20288034904051844,0.1330707357917966,0.1379846459988303,-0.6837029288702929
defensive,~2025 (2026 제외),0.021272643807220826,-0.15340332532243794,482.0,-0.05419017919248437,0.13867133429153458,0.1365667370039995,0.08383903556429795,-0.6622152395915162
defensive,IS ~2017,0.007013837031155656,-0.15340332532243794,482.0,-0.05419017919248437,0.045721544930093894,0.16712901904602234,0.031191260217329653,-0.5515477792732169
defensive,OOS 2018~,0.050917751545626055,-0.14300157514171175,265.0,-0.03893427954274531,0.35606427058700274,0.10498475813191384,0.23164925835141315,-0.6837029288702929
defensive,2026,0.2646287499286357,-0.07608451388842852,27.0,0.18114262147125437,3.4780895139409225,0.06009171048706186,1.957597694761661,-0.6837029288702929
