date,close,ref_close,vol,bull,cash,invested,equity,n_active,exposure
2002-05-22,27.720046,17.647516,0.11674857360167903,False,100000.0,0.0,100000.0,0,0.0
2002-05-23,29.48415,17.517509,0.11758443930652011,False,100000.0,0.0,100000.0,1,0.0
2002-05-24,26.367355,17.167145,0.11610982907453726,False,100000.0,0.0,100000.0,1,0.0
2002-05-28,26.051972,17.065875,0.11608334109625464,False,100000.0,0.0,100000.0,1,0.0
2002-05-29,23.686622,16.647093,0.11655250074207561,False,100000.0,0.0,100000.0,1,0.0
2002-05-30,22.900508,16.24475,0.11647852474410549,False,100000.0,0.0,100000.0,1,0.0
2002-05-31,22.797229,16.580038,0.11333052664568054,False,100000.0,0.0,100000.0,1,0.0
2002-06-03,19.480573,15.854702,0.11489065827367266,False,100000.0,0.0,100000.0,1,0.0
2002-06-04,20.75417,15.765746,0.11538721782134954,False,100000.0,0.0,100000.0,1,0.0
2002-06-05,21.129038,15.834186,0.11544921657205971,False,100000.0,0.0,100000.0,1,0.0
2002-06-06,18.853175,15.457823,0.09298667002230737,False,100000.0,0.0,100000.0,1,0.0
2002-06-07,17.097902,14.595631,0.09431327700649565,False,100000.0,0.0,100000.0,1,0.0
2002-06-10,16.572194,14.94598,0.08664392570749774,False,100000.0,0.0,100000.0,1,0.0
2002-06-11,14.430199,14.525836,0.0811168693290393,False,98585.34465106277,1413.2421068303995,99998.58675789316,1,0.014132620796451889
2002-06-12,15.760303,14.304135,0.07093169958612824,False,100127.30888122962,0.0,100127.30888122962,1,0.0
2002-06-13,15.113208,14.599738,0.07087631263760878,False,98189.9079397229,1935.4654760306883,100125.3734157536,1,0.019330419553033742
2002-06-14,15.018414,14.068741,0.06873157372536925,False,98189.9079397229,1923.325729503356,100113.23366922626,1,0.01921150340481476
2002-06-17,17.292632,14.985672,0.07945085031170197,False,100402.26569550036,0.0,100402.26569550036,1,0.0
2002-06-18,16.681205,15.218328,0.07944555207774644,False,98658.54758358707,1741.976135777515,100400.52371936459,1,0.017350269413400822
2002-06-19,13.329668,14.232972,0.08962282299996893,False,97214.00197796983,2835.086089062332,100049.08806703216,1,0.02833695082920541
2002-06-20,11.560233,13.685545,0.09218598119191183,False,95820.63075732022,3850.724332780267,99671.3550901005,1,0.038634212701325325
2002-06-21,10.61829,13.162759,0.08914180250310402,False,95820.63075732022,3536.962245961425,99357.59300328164,1,0.03559830848402904
2002-06-24,12.046634,13.186022,0.09621615953222838,False,95820.63075732022,4012.744956948366,99833.3757142686,1,0.040194423240111354
2002-06-25,10.071371,13.165492,0.10087506859011117,False,95820.63075732022,3354.7830198714446,99175.41377719167,1,0.03382676100962209
2002-06-26,9.948454,12.467534,0.10051610163255982,False,95820.63075732022,3313.8392531833206,99134.47001050354,1,0.033427719468639025
2002-06-27,11.353761,13.191494,0.1079230542754081,False,95820.63075732022,3781.9483181067044,99602.57907542693,1,0.03797038543793846
2002-06-28,10.801235,13.40636,0.10772351382698106,False,95820.63075732022,3597.901395117025,99418.53215243724,1,0.036189443931845686
2002-07-01,9.340333,12.919157,0.10705722351773252,False,95820.63075732022,3111.273584137146,98931.90434145737,1,0.031448637371810584
2002-07-02,8.323621,12.186983,0.10570899344659726,False,95820.63075732022,2772.6058740806366,98593.23663140085,1,0.02812166400872159
2002-07-03,9.178818,12.166451,0.1096738921379486,False,95820.63075732022,3057.4727878548388,98878.10354517506,1,0.030921636623602432
2002-07-05,11.443318,13.295503,0.12278932389330162,False,95820.63075732022,3811.7798378581488,99632.41059517837,1,0.03825843232224893
2002-07-08,10.156392,13.268138,0.12355468048674245,False,95820.63075732022,3383.1035938163914,99203.7343511366,1,0.03410258309270623
2002-07-09,9.065913,12.679657,0.12509922688011613,False,95820.63075732022,3019.864027651428,98840.49478497166,1,0.03055290277756266
2002-07-10,8.228597,12.378572,0.12354392034904507,False,95820.63075732022,2740.953291559323,98561.58404887955,1,0.02780954991754196
2002-07-11,9.468727,12.284143,0.12664232100351852,False,95820.63075732022,3154.041744604412,98974.67250192464,1,0.03186716020245563
2002-07-12,10.023206,12.895889,0.1278887880494732,False,95820.63075732022,3338.739213705223,99159.36997102544,1,0.03367043593238651
2002-07-15,10.099126,12.828831,0.1280072678832883,False,95820.63075732022,3364.02823611028,99184.6589934305,1,0.0339168201035313
2002-07-16,10.722237,13.521318,0.1238601098951313,False,95820.63075732022,3571.5870880575585,99392.21784537777,1,0.03593427297913601
2002-07-17,10.867764,13.595222,0.12409962029797836,False,95820.63075732022,3620.062266713258,99440.69302403348,1,0.03640423408793358
2002-07-18,10.133623,13.248984,0.11530775250402593,False,95820.63075732022,3375.5192188013657,99196.14997612158,1,0.034028732159604155
2002-07-19,9.274109,12.899997,0.1127464418651784,False,95820.63075732022,3089.214308323757,98909.84506564398,1,0.031232627108793095
2002-07-22,8.644507,12.615338,0.11228604680630462,False,95820.63075732022,2879.493298256995,98700.12405557721,1,0.029174160881860457
2002-07-23,7.300649,12.154133,0.11279884151622596,False,95820.63075732022,2431.8529522188633,98252.48370953908,1,0.0247510582980078
2002-07-24,8.222575,11.825683,0.1110480700805651,False,95820.63075732022,2738.9473577747704,98559.57811509499,1,0.027789763411693057
2002-07-25,5.893969,11.231726,0.13245931790378276,False,95820.63075732022,1963.2865397222167,97783.91729704244,1,0.020077806187271636
2002-07-26,5.488747,10.885485,0.12737537820010017,False,95820.63075732022,1828.306715736153,97648.93747305637,1,0.01872326277222039
2002-07-29,6.630787,11.349422,0.13688597259250213,False,95820.63075732022,2208.7212988166475,98029.35205613686,1,0.02253122409247197
2002-07-30,7.170327,11.735357,0.1356133666018923,False,95820.63075732022,2388.4425731636497,98209.07333048386,1,0.02431997871649078
2002-07-31,6.108354,11.44522,0.13775436215001216,False,95820.63075732022,2034.6983820339674,97855.32913935419,1,0.020792923593730767
2002-08-01,5.099149,11.060657,0.13975640415727145,False,95820.63075732022,1698.531260639138,97519.16201795936,1,0.017417410337532767
2002-08-02,4.469575,10.396907,0.1283363154969512,False,95820.63075732022,1488.8195773983416,97309.45033471857,1,0.015299845721840984
2002-08-05,3.711738,9.938442,0.13113834205108374,False,95820.63075732022,1236.3833699117624,97057.01412723199,1,0.012738732805966895
2002-08-06,4.375634,10.286054,0.13861217539310022,False,95820.63075732022,1457.5277431813572,97278.15850050158,1,0.014983093488286397
2002-08-07,4.652176,10.421543,0.1394898074205129,False,95820.63075732022,1549.64413983493,97370.27489715515,1,0.01591496112619279
2002-08-08,5.16976,10.558398,0.13747007853321352,False,95820.63075732022,1722.0518502208488,97542.68260754106,1,0.017654341711612065
2002-08-09,5.087744,10.685676,0.13599577519515058,False,95820.63075732022,1694.7322445626146,97515.36300188284,1,0.017379130758400526
2002-08-12,4.720648,10.51734,0.13592260213228471,False,95820.63075732022,1572.4522265330206,97393.08298385324,1,0.016145419965745585
2002-08-13,4.210012,10.533764,0.13490074210788738,False,95820.63075732022,1402.3589013903888,97222.9896587106,1,0.014424149126798074
2002-08-14,4.981544,10.42291,0.14274994418562678,False,95820.63075732022,1659.3569260771426,97479.98768339737,1,0.017022539348963844
2002-08-15,5.292342,10.929278,0.14423485350465196,False,95820.63075732022,1762.8840280983077,97583.51478541853,1,0.018065387703802276
2002-08-16,6.278486,11.386371,0.15045552127473794,False,95820.63075732022,2091.3695090073224,97912.00026632754,1,0.021359685261445483
2002-08-19,7.164092,12.035071,0.15362531228297252,False,95820.63075732022,2386.3656888815694,98206.9964462018,1,0.02429934500836537
2002-08-20,6.246973,11.858528,0.15203539379782177,False,95820.63075732022,2080.8724994834743,97901.5032568037,1,0.02125475534349227
2002-08-21,7.034215,12.051489,0.15202526493291893,False,95820.63075732022,2343.10353973903,98163.73429705926,1,0.023869339899482856
2002-08-22,7.152368,12.299195,0.13136672632060248,False,95820.63075732022,2382.4604136092184,98203.09117092945,1,0.024260543993084464
2002-08-23,5.881196,11.751777,0.1381721556395339,False,95820.63075732022,1959.0318415770666,97779.66259889728,1,0.02003516671573338
2002-08-26,5.90208,11.44522,0.13110518617977177,False,95820.63075732022,1965.9883213440212,97786.61907866424,1,0.02010488080953577
2002-08-27,5.110765,11.297418,0.133008031295293,False,95820.63075732022,1702.4005610113345,97523.03131833156,1,0.017456395048410803
2002-08-28,4.317586,10.673358,0.13349445990195521,False,95820.63075732022,1438.1919005500515,97258.82265787027,1,0.014787264139616558
2002-08-29,4.361542,10.414704,0.12791551541534843,False,95820.63075732022,1452.8336849130214,97273.46444223325,1,0.014935560208979709
2002-08-30,4.211765,10.468073,0.12477018967026444,False,95820.63075732022,1402.9428273160481,97223.57358463627,1,0.01443006850694231
2002-09-03,3.579997,10.009605,0.12307233974582117,False,95820.63075732022,1192.500320640627,97013.13107796085,1,0.012292153725894284
2002-09-04,3.639497,9.798846,0.11683378524615759,False,95820.63075732022,1212.3198258184575,97032.95058313868,1,0.012493898397737903
2002-09-05,3.176297,9.618205,0.11888583849823622,False,95820.63075732022,1058.0274762660029,96878.65823358622,1,0.010921161539159327
2002-09-06,3.738268,10.067088,0.12268473534492347,False,95820.63075732022,1245.2205375145834,97065.8512948348,1,0.012828616046772833
2002-09-09,3.70475,9.886435,0.12269533203447643,False,95820.63075732022,1234.0556606313814,97054.6864179516,1,0.012715054843586883
2002-09-10,3.959142,10.249106,0.12318470916797976,False,95820.63075732022,1318.7938717439633,97139.42462906419,1,0.013576298982415212
2002-09-11,4.152141,10.580295,0.12118112131793264,False,95820.63075732022,1383.0820176232255,97203.71277494344,1,0.014228695367073958
2002-09-12,3.358714,9.943915,0.12309789259092124,False,95820.63075732022,1118.7907481319573,96939.42150545218,1,0.011541132913290937
2002-09-13,3.212035,9.705794,0.12172899287488109,False,95820.63075732022,1069.9318372079408,96890.56259452816,1,0.011042683709923722
2002-09-16,2.787717,9.306173,0.11514912800197122,False,95820.63075732022,928.5911179130393,96749.22187523326,1,0.00959791820455714
2002-09-17,2.611255,9.287011,0.1078063617594871,False,95820.63075732022,869.8114620695046,96690.44221938972,1,0.008995837045567652
2002-09-18,2.470944,8.869604,0.10588587581777578,False,95820.63075732022,823.0737378509069,96643.70449517113,1,0.00851657893445126
2002-09-19,2.28992,8.706745,0.09861254393355369,False,95820.63075732022,762.7744755767629,96583.40523289698,1,0.007897572815303436
2002-09-20,2.18761,8.619155,0.09716574749635283,False,95820.63075732022,728.6949196987154,96549.32567701893,1,0.007547384868708227
2002-09-23,1.892084,8.178482,0.09403646661097886,False,95820.63075732022,630.2549350401691,96450.88569236039,1,0.006534464982005758
2002-09-24,1.911202,8.220906,0.0942669293608827,False,95820.63075732022,636.6231585694088,96457.25391588963,1,0.006600054767519526
2002-09-25,2.307684,8.554833,0.10652743186506632,False,95820.63075732022,768.6916804503593,96589.32243777058,1,0.007958350478600808
2002-09-26,2.166398,8.635579,0.10233887189544706,False,95820.63075732022,721.6291828275871,96542.25994014781,1,0.007474749226659571
2002-09-27,2.01225,8.523357,0.10213410619789065,False,95820.63075732022,670.2823410771299,96490.91309839734,1,0.006946585119301383
2002-09-30,1.827938,8.042995,0.10292782120032083,False,95820.63075732022,608.8878429538312,96429.51860027405,1,0.0063143304228016825
2002-10-01,2.138062,8.260595,0.10784611122262594,False,95820.63075732022,712.1904349499569,96532.82119227017,1,0.007377702486612763
2002-10-02,2.016769,8.58905,0.10760150234790894,False,95820.63075732022,671.787624167863,96492.41838148808,1,0.006962076766610965
2002-10-03,1.836897,8.159318,0.10578271295925254,False,95820.63075732022,611.8720941620359,96432.50285148226,1,0.006345081544802306
2002-10-04,1.549307,7.854138,0.10033279403602306,False,95820.63075732022,516.0755984630065,96336.70635578323,1,0.0053569985728708245
2002-10-07,1.341264,7.495574,0.10238124506237527,False,95820.63075732022,446.77628223256335,96267.40703955278,1,0.004640992169333066
2002-10-08,1.297867,7.273867,0.09874091563564757,False,95820.63075732022,432.3207012879868,96252.95145860821,1,0.004491505919939486
2002-10-09,1.202722,7.267023,0.09575498744823378,False,95820.63075732022,400.6278135544629,96221.25857087468,1,0.004163610199084731
2002-10-10,1.491933,7.481888,0.10748523525015842,False,95820.63075732022,496.96426585674027,96317.59502317697,1,0.005159641556012226
2002-10-11,1.894323,8.297546,0.12429138508925293,False,95820.63075732022,631.0007480165248,96451.63150533674,1,0.006542146961833518
2002-10-14,1.912924,8.293437,0.121480098222867,False,95820.63075732022,637.1967583663202,96457.82751568654,1,0.00660596215753144
2002-10-15,2.482122,9.102256,0.13590388085194624,False,95820.63075732022,826.7971400169203,96647.42789733714,1,0.008554776448838121
2002-10-16,1.666538,8.348185,0.16205013155343323,False,95820.63075732022,555.1253532781702,96375.75611059839,1,0.005760010356143119
2002-10-17,2.044843,8.838128,0.16891623913332907,False,95820.63075732022,681.1390996025253,96501.76985692275,1,0.007058306812532127
2002-10-18,2.151297,8.794332,0.1690895552340255,False,95820.63075732022,716.5990257235464,96537.22978304377,1,0.007423032827169576
2002-10-21,2.548401,9.143316,0.16958870004417503,False,95820.63075732022,848.8747363813139,96669.50549370154,1,0.008781204910959454
2002-10-22,2.032869,8.992773,0.17795219699657025,False,95820.63075732022,677.1505490983346,96497.78130641856,1,0.0070172654741989795
2002-10-23,2.501992,9.239111,0.17904918087660507,False,95820.63075732022,833.4158554435336,96654.04661276375,1,0.008622669041292639
2002-10-24,2.287533,9.601776,0.1796680198946006,False,95820.63075732022,761.9793636631582,96582.61012098337,1,0.007889405377517457
2002-10-25,2.618553,9.567561,0.18105362863777644,False,95820.63075732022,872.242432637367,96692.8731899576,1,0.00902075203540396
2002-10-28,2.673662,9.953501,0.179219279573353,False,95820.63075732022,890.5992916431663,96711.23004896339,1,0.009208850835546914
2002-10-29,2.405476,9.507352,0.17821059216907806,False,95820.63075732022,801.2662863386012,96621.89704365883,1,0.008292802261753846
2002-10-30,2.806963,9.833063,0.18050591300102056,False,95820.63075732022,935.001978360981,96755.6327356812,1,0.00966354052911045
2002-10-31,2.779369,10.083508,0.17878610780000792,False,95820.63075732022,925.8103913714506,96746.44114869167,1,0.009569451655059362
2002-11-01,3.185998,10.229947,0.17465207045003595,False,95820.63075732022,1061.2588883623077,96881.88964568253,1,0.010954151413061356
