profile,period,cagr,mdd,rec,uw,worst_year,worst_month,dd20,ulcer,expo,bh_cagr,bh_mdd
defensive,full 2002~2026-09,0.11456249398218787,-0.19368727577058953,389,880,-0.05942143332467087,-0.13880126166879625,0.0,0.05691561715982869,0.08805859785764457,0.06340532530490828,-0.9959772951846454
defensive,IS ~2017,0.09466563432213237,-0.19368727577058953,389,880,-0.05942143332467087,-0.13880126166879625,0.0,0.061271042445138243,0.08992909012272617,-0.07107261192100411,-0.9959772951846454
defensive,OOS 2018~,0.14712814953208286,-0.18218823498588543,155,571,-0.04780099851481778,-0.11450042857975296,0.0,0.048118783200889144,0.08470110694712596,0.34275269970094735,-0.9046051582487771
defensive,real 2010-03~,0.12785391691267867,-0.19368727577058953,389,758,-0.05942143332467087,-0.13880126166879625,0.0,0.05526281420632865,0.09279067197817575,0.38043775095318844,-0.9046051582487771
balanced,full 2002~2026-09,0.1740054703334899,-0.27796048226044967,401,896,-0.1040841469810947,-0.2191330712297509,0.01519359581767685,0.09539883493444834,0.15532245469459874,0.06340532530490828,-0.9959772951846454
balanced,IS ~2017,0.1343650124051443,-0.27796048226044967,401,896,-0.1040841469810947,-0.2191330712297509,0.022894937674891886,0.10709474603228124,0.15831465951400042,-0.07107261192100411,-0.9959772951846454
balanced,OOS 2018~,0.24298458359073183,-0.23075867153066643,150,565,-0.0825655624205559,-0.18250013773314244,0.0013698630136986301,0.06964057047252212,0.14995151535895127,0.34275269970094735,-0.9046051582487771
balanced,real 2010-03~,0.2083308787476299,-0.27796048226044967,401,770,-0.1040841469810947,-0.2191330712297509,0.019966321866730814,0.08827043064868792,0.16440941923483215,0.38043775095318844,-0.9046051582487771
aggressive,full 2002~2026-09,0.209088245490759,-0.4121823471920172,447,987,-0.3033906368602084,-0.27478905947179455,0.2811632086260415,0.16366530425139267,0.21284275641751804,0.06340532530490828,-0.9959772951846454
aggressive,IS ~2017,0.13255013147969086,-0.4121823471920172,447,987,-0.3033906368602084,-0.27478905947179455,0.40574917323836174,0.1894256293306208,0.20974856276134096,-0.07107261192100411,-0.9959772951846454
aggressive,OOS 2018~,0.35018472648602694,-0.36594253897817897,183,434,-0.13735787329165927,-0.2191466156139248,0.057534246575342465,0.10227263148179498,0.21839676338666508,0.34275269970094735,-0.9046051582487771
aggressive,real 2010-03~,0.2641296252584473,-0.4121823471920172,447,958,-0.3033906368602084,-0.27478905947179455,0.1849891748857349,0.1480875797591364,0.23301660286893103,0.38043775095318844,-0.9046051582487771
