param,value,cagr,mdd,oos_cagr,oos_mdd,rec
baskets.slices,4.0,0.2001757421973407,-0.4692172818149025,0.37767324933090496,-0.34933856556905296,777
baskets.slices,6.0,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
baskets.slices,8.0,0.12166816140003078,-0.2829475147931725,0.21129986009945956,-0.14652584943797664,409
exit.upday_sell_frac,0.0,0.22867189213399652,-0.5243895143211383,0.4062966037850919,-0.3103636231646941,539
exit.upday_sell_frac,0.1,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
exit.upday_sell_frac,0.2,0.11939372650800051,-0.3073481307442357,0.21915070385198065,-0.16082649235379687,440
exit.lot_tp_vol_mult,0.5,0.13144113570499694,-0.34570803621046753,0.2335319846481676,-0.18774163870504412,430
exit.lot_tp_vol_mult,1.0,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
exit.lot_tp_vol_mult,1.5,0.15905257565734687,-0.46174331814627934,0.3154665526354923,-0.24575550702717142,531
regime.ma_band,0.0,0.14345573923614863,-0.30686660816659395,0.21944084010151288,-0.2365562859921484,420
regime.ma_band,0.02,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
regime.ma_band,0.04,0.1657153272799019,-0.4108787536253483,0.27108696580464753,-0.19895257723525517,754
regime.bear_max_baskets,0.0,0.13787382988036812,-0.3878891602904325,0.27449148516730326,-0.18713201899870002,448
regime.bear_max_baskets,1.0,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
regime.bear_max_baskets,2.0,0.16456807486969915,-0.34463808515673855,0.2801112311250211,-0.2034491717632817,340
exit.max_hold_days,40.0,0.13957117203819092,-0.39006268881044326,0.2607332202670356,-0.2652889242897055,523
exit.max_hold_days,60.0,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
exit.max_hold_days,90.0,0.14826439734341945,-0.3754144409406832,0.2793086600547354,-0.2480285524857615,432
exit.basket_tp_pct,0.1,0.14880895268653438,-0.37428985004357074,0.27546303369271885,-0.2700900082843122,472
exit.basket_tp_pct,0.2,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
exit.basket_tp_pct,0.3,0.1572332236468028,-0.35937465878288466,0.28746774769443717,-0.18643346290190943,411
baskets.count,3.0,0.15709778255872564,-0.3593586099359196,0.2787220990149868,-0.1867397988043169,375
baskets.count,4.0,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
baskets.count,5.0,0.15367780832744726,-0.35047469115931895,0.2772674789552101,-0.1867613010358119,399
entry.dip_vol_mult,0.0,0.18215669174371985,-0.4310018904879842,0.3009221334395191,-0.23054678028086673,510
entry.dip_vol_mult,0.25,0.15697769385606497,-0.35937465878288466,0.2866647191623226,-0.18643346290190943,411
entry.dip_vol_mult,0.5,0.124892800989711,-0.27528511790823074,0.2059598501873121,-0.17347165806715326,441
