config,mode,period,simple,cagr,mdd,rec,uw,worst,expo,pnl_yr_cap,mdd_cap
soxl_hybrid,equity,full,1.2393852889098924,0.15258483258157773,-0.3300628225508987,587,951,-0.2147501395007544,0.17335229034779442,1.2393852889098924,-2.298042937715896
soxl_hybrid,equity,IS~2017,0.18452661112891222,0.09076047821756528,-0.3300628225508987,587,951,-0.2147501395007544,0.18058041612792222,0.18452661112891222,-0.9122936154461195
soxl_hybrid,equity,OOS2018~,0.7782222785297491,0.26863708289792876,-0.18395310143804366,35,412,-0.04706864348023576,0.1601427308677004,3.1459979101927003,-2.298042937715896
soxl_hybrid,equity,real2010~,1.0096202820070004,0.19117824720081988,-0.3289310725855492,418,951,-0.1603950879203545,0.18280589360323155,1.7833454450579787,-2.298042937715896
soxl_hybrid,fixed,full,0.15891713515641548,0.0674238099910851,-0.26153147567768265,320,909,-0.15664261204955154,0.08860125833326024,0.15891713515641548,-0.36687566498321217
soxl_hybrid,fixed,IS~2017,0.10423205128539115,0.06383561740757071,-0.26153147567768265,320,909,-0.15664261204955154,0.11082869975011458,0.10423205128539113,-0.36687566498321217
soxl_hybrid,fixed,OOS2018~,0.09517427753369696,0.07210582296156587,-0.06749779426787128,35,412,-0.012277005868152613,0.04798011830087789,0.2539719150998333,-0.1900663584548747
soxl_hybrid,fixed,real2010~,0.11536900476500012,0.06694577056486217,-0.19189335145044584,376,909,-0.08963728369153201,0.07521282097255887,0.19336722207902782,-0.36687566498321217
soxl_hybrid_aggressive,equity,full,7.153318899576911,0.23788737458675802,-0.4850049740338104,271,987,-0.3005216890677739,0.27431049635626215,7.153318899576911,-15.515995558710863
soxl_hybrid_aggressive,equity,IS~2017,0.4506476775304293,0.14283243403274426,-0.4850049740338104,271,987,-0.3005216890677739,0.2853080127948558,0.4506476775304292,-1.870630483913633
soxl_hybrid_aggressive,equity,OOS2018~,2.225739836045354,0.4196238055236512,-0.35527473199353166,336,584,-0.18181860377474401,0.25421229220930175,19.3128362457746,-15.515995558710863
soxl_hybrid_aggressive,equity,real2010~,5.234190492263178,0.31336569450356344,-0.47718197284218034,449,982,-0.3005216890677739,0.29552372126087184,10.50160299060275,-15.515995558710863
soxl_hybrid_aggressive,fixed,full,0.2547041822362083,0.08482390841821541,-0.3155053321581257,251,970,-0.17871639963984098,0.11147230488054402,0.2547041822362083,-0.6276944832965554
soxl_hybrid_aggressive,fixed,IS~2017,0.17110642449016936,0.08688865888402475,-0.3155053321581257,251,970,-0.17871639963984098,0.14235885239319807,0.17110642449016936,-0.6276944832965554
soxl_hybrid_aggressive,fixed,OOS2018~,0.10625037521549748,0.07850475809152391,-0.10629002143715227,305,555,-0.04576266588393196,0.05502645724119339,0.3983206832649742,-0.42113802947552176
soxl_hybrid_aggressive,fixed,real2010~,0.1610417857312607,0.08205476267472922,-0.24010610429945023,400,933,-0.14443557798176987,0.09237649065374577,0.3169660476283998,-0.5894236594332755
