year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2002,-0.004097424655810977,1221.4191780821918,-0.0270549851052454,-0.031041553998023552,-1406924.6653187426,0.0,0.0,-0.03209362085542233
2003,0.7070715405333132,1168.5,-0.04332597607095279,0.6331109998167623,85129677.531478,18178529.05692516,0.0,0.48193306159586413
2004,-0.22660116736994285,1084.3342465753424,-0.07202888611438396,-0.2823082238064507,-51181534.62269618,0.0,18178529.05692516,-0.3075706825900296
2005,0.20323548826956972,989.5945205479452,-0.08737133068204206,0.09810720253560112,31157591.253755096,6304670.0758261215,0.0,0.044576133633418946
2006,0.05792804093897197,942.1068493150685,-0.04798699896456826,0.0071612491338457485,-6281156.513513094,0.0,6304670.0758261215,0.007032015771883282
2007,0.12569957333279658,1015.5,0.07790321314221393,0.21339518712824068,18989605.030776728,3627713.10677088,0.0,0.18097728126816182
2008,-0.08931281448750283,1189.2383561643835,0.17108651517910745,0.06649348250009957,-20458083.339350536,0.0,3627713.10677088,0.06571041167448421
2009,0.2588239330336255,1215.8356164383563,0.022364953279640387,0.28697747148321584,52518376.94326232,11004042.92751771,0.0,0.2202520250826907
2010,0.30014461071926135,1131.9342465753425,-0.06900716571274057,0.2104253161168308,70533105.45703606,14967283.200547934,11004042.92751771,0.1430514588786651
2011,-0.0005253778391401953,1117.448087431694,-0.012797703742488897,-0.013316357951690838,-1501453.685347164,0.0,14967283.200547934,-0.005697537316201706
2012,-0.30339063686020873,1110.9561643835616,-0.005809596992602306,-0.30743765652132427,-95695612.65083767,0.0,0.0,-0.3074376565213244
2013,0.5990443422606955,1073.9424657534246,-0.033316974887731,0.5457690220652278,124643276.33484344,26871520.793665558,0.0,0.37612492616766735
2014,0.07590362807015327,1092.1068493150685,0.01691373992637568,0.0941011822211757,32384937.67371928,6574686.288218241,26871520.793665558,0.09445265080382192
2015,-0.030909804338701496,1145.5,0.04889004287301901,0.016469056875001886,-12632117.56895201,0.0,6574686.288218241,0.023732769538996612
2016,0.4813443903596706,1145.5397260273974,3.4680076296256246e-05,0.4813957634961492,185060662.51449415,40163345.753188714,0.0,0.31670656974646394
2017,0.44545703792294566,1115.627397260274,-0.026111996020300454,0.40771326950118647,254476137.03141487,55434750.14691127,40163345.753188714,0.2675740122878003
2018,-0.010478901100145155,1133.0904109589042,0.01565308788715236,0.005010159627125921,-37658131.92296976,0.0,55434750.14691127,0.02227902720681918
2019,0.18873560780459675,1173.0,0.035221892847298486,0.23060512600645833,145189375.15351984,31391662.533774365,0.0,0.1531377774355549
2020,0.47948876927605144,1161.9506849315069,-0.009419705940744372,0.4655524201268373,448807093.01503533,98187560.46330777,31391662.533774365,0.26166457743457827
2021,0.6859725383152906,1218.2027397260274,0.04841174029501638,0.7675934029847402,1032777496.5929223,226661049.25044292,98187560.46330777,0.4484350715857688
2022,-0.13735787329164295,1298.9808219178083,0.06630922715700649,-0.08015674055653532,-350800659.8703343,0.0,226661049.25044292,-0.10026864653562706
2023,0.5129764284032301,1334.6830601092897,0.027484807773197728,0.5545602947032726,1106834794.399082,242953654.76779804,0.0,0.24097752453615828
2024,0.5919084836362529,1382.0493150684931,0.03548876611599816,0.6484033514900933,2060950984.1243854,452859216.5073648,242953654.76779804,0.2817325008276921
2025,0.4405699229522606,1400.0,0.012988454706927222,0.4592807001486876,2489776480.371272,547200825.6816798,452859216.5073648,-0.001902716422726769
2026,0.6544840806096655,1400.0,0.0,0.6528295965290558,5271413995.911611,1159161079.1005542,547200825.6816798,-0.06905302011458814
