year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2002,-0.0003544302845959191,1221.4191780821918,-0.0270549851052454,-0.0273998262837708,-937228.0623183188,0.0,0.0,-0.028457565233765525
2003,0.4508664009460861,1168.5,-0.04332597607095279,0.3880061979765468,54821310.55082228,11510688.321180902,0.0,0.29224331541982274
2004,-0.0493657204207919,1084.3342465753424,-0.07202888611438396,-0.11783884868103212,-13925223.358360523,0.0,11510688.321180902,-0.12470798405748762
2005,0.18972903782228534,989.5945205479452,-0.08737133068204206,0.08578082863668679,28109421.74854124,5634072.784679073,0.0,0.04166848482431318
2006,0.0891512747258636,942.1068493150685,-0.04798699896456826,0.03688617363333524,1584015.777639892,0.0,5634072.784679073,0.03431767470082381
2007,0.13159378464535187,1015.5,0.07790321314221393,0.21974857644098345,19536629.37613066,3748058.462748745,0.0,0.18928034820099415
2008,-0.08369913422604625,1189.2383561643835,0.17108651517910745,0.07306758775481836,-20716867.04238315,0.0,3748058.462748745,0.07255523207626813
2009,0.22291424460276876,1215.8356164383563,0.022364953279640387,0.2502646645483164,49722297.21419191,10388905.387122221,0.0,0.1954162468178886
2010,0.16445682222274294,1131.9342465753425,-0.06900716571274057,0.08410095732628675,39409156.048718065,8120014.330717974,10388905.387122221,0.04978949961844403
2011,0.038197337689727995,1117.448087431694,-0.012797703742488897,0.02491079573573396,10278004.76403182,1711161.0480870004,8120014.330717974,0.021564440580309485
2012,-0.1040841469810948,1110.9561643835616,-0.005809596992602306,-0.10928905702641822,-32128882.150482554,0.0,1711161.0480870004,-0.11063942856921904
2013,0.4140736828590026,1073.9424657534246,-0.033316974887731,0.3669610254777884,108290647.8488097,23273942.526738133,0.0,0.25919068559631864
2014,0.15348690922847785,1092.1068493150685,0.01691373992637568,0.17299668681964708,62705314.570732504,13245169.205561152,23273942.526738133,0.14005958916225048
2015,-0.013994173081131822,1145.5,0.04889004287301901,0.03421169406997815,-7045327.306592106,0.0,13245169.205561152,0.04306979888302709
2016,0.34705598691187034,1145.5397260273974,3.4680076296256246e-05,0.3471027029162721,160684369.17289898,34800561.21803778,0.0,0.23924590017084402
2017,0.34552143131778057,1115.627397260274,-0.026111996020300454,0.3103871810579817,212284307.51523405,46152547.65335149,34800561.21803778,0.2096072258310797
2018,-0.018802764554408657,1133.0904109589042,0.01565308788715236,-0.003443997993347714,-38087970.90492351,0.0,46152547.65335149,0.003917127704473389
2019,0.16334301961153175,1173.0,0.035221892847298486,0.2043181627929418,125626474.25301231,27087824.335662708,0.0,0.14633538380482447
2020,0.32967790151667997,1161.9506849315069,-0.009419705940744372,0.31715272668848704,307368225.4802696,67071009.60565931,27087824.335662708,0.19655239644901812
2021,0.4865953728916885,1218.2027397260274,0.04841174029501638,0.5585640420078939,654848287.7803725,143516623.31168196,67071009.60565931,0.3642760386848243
2022,-0.08256556242053659,1298.9808219178083,0.06630922715700649,-0.021731193897419288,-178378080.0236768,0.0,143516623.31168196,-0.028249201798750567
2023,0.3767778806376356,1334.6830601092897,0.027484807773197728,0.4146183560333516,658790990.948809,144384018.00873798,0.0,0.24507995397903892
2024,0.3773398338064715,1382.0493150684931,0.03548876611599816,0.4262199250306775,958323472.2394667,210281163.89268267,144384018.00873798,0.26499968738216495
2025,0.2772984715160096,1400.0,0.012988454706927222,0.2938886048605227,981203393.2725029,215314746.51995063,210281163.89268267,0.13029797031681434
2026,0.3808519720706518,1400.0,0.0,0.3794711200985812,1750127132.3854434,384477969.1247976,215314746.51995063,0.16985993955854117
