year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2011,0.015704870763985745,1117.448087431694,-0.01245350761583619,0.003055782420484432,1353390.4214068113,0.0,0.0,0.003055782420484432
2012,-0.10408414698109447,1110.9561643835616,-0.005809596992602306,-0.10928905702641789,-11914943.841497794,0.0,0.0,-0.10928905702641789
2013,0.41407368285899904,1073.9424657534246,-0.033316974887731,0.36696102547778486,40159411.13776354,8285070.450307978,0.0,0.28492613481294704
2014,0.1534869092284752,1092.1068493150685,0.01691373992637568,0.17299668681964397,23254164.218175545,4565916.12799862,8285070.450307978,0.14957609084057166
2015,-0.013994173081130379,1145.5,0.04889004287301901,0.03421169406998015,-2612748.2061107373,0.0,4565916.12799862,0.04055751051237211
2016,0.3470559869118717,1145.5397260273974,3.4680076296256246e-05,0.347102702916273,59589537.722924866,12559698.299043471,0.0,0.2659539329996916
2017,0.34552143131778124,1115.627397260274,-0.026111996020300454,0.3103871810579826,78725291.17659546,16769564.058851002,12559698.299043471,0.23538658578056748
2018,-0.018802764554407658,1133.0904109589042,0.01565308788715236,-0.0034439979933469367,-14124862.242116587,0.0,16769564.058851002,0.0014097145333475947
2019,0.16334301961153108,1173.0,0.035221892847298486,0.20431816279294113,46588374.2459284,9699442.334104247,0.0,0.16210249841791136
2020,0.3296779015166802,1161.9506849315069,-0.009419705940744372,0.3171527266884868,113987007.95456222,24527141.750003688,9699442.334104247,0.22998783343546503
2021,0.48659537289169097,1218.2027397260274,0.04841174029501638,0.5585640420078968,242849425.54364386,52876873.61960165,24527141.750003688,0.4209560217333763
2022,-0.08256556242053925,1298.9808219178083,0.06630922715700649,-0.021731193897422285,-66151221.69771443,0.0,52876873.61960165,-0.026846209828200518
2023,0.3767778806376314,1334.6830601092897,0.027484807773197728,0.4146183560333474,244311570.6197027,53198545.5363346,0.0,0.2975323895617048
2024,0.3773398338064704,1382.0493150684931,0.03548876611599816,0.4262199250306762,355392705.54891884,77636395.22076215,53198545.5363346,0.31845123969144695
2025,0.2772984715160116,1400.0,0.012988454706927222,0.2938886048605245,363877687.1592249,79503091.17502949,77636395.22076215,0.18928545793170914
2026,0.3808519720706529,1400.0,0.0,0.3794711200985823,649031808.8312597,142236997.94287714,79503091.17502949,0.25286534809048766
