year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2002,0.005699869781636169,1221.4191780821918,-0.0270549851052454,-0.021509325215653186,-180657.72301122814,0.0,0.0,-0.022575099138414823
2003,0.2881629043214058,1168.5,-0.04332597607095279,0.23235198915328747,34337396.614653476,7004227.255223765,0.0,0.1740047868444834
2004,0.0073344635043472994,1084.3342465753424,-0.07202888611438396,-0.06522271584650141,-2143263.3037285153,0.0,7004227.255223765,-0.06707159916758565
2005,0.13340980077181874,989.5945205479452,-0.08737133068204206,0.034382278270316924,15959962.701244617,2961191.7942738156,0.0,0.00899364232618538
2006,0.07894358588392514,942.1068493150685,-0.04798699896456826,0.027168321145285557,3164354.367572643,146157.96086598144,2961191.7942738156,0.021220550686513517
2007,0.0748342537880522,1015.5,0.07790321314221393,0.15856729575345518,7752128.926833238,1155468.3639033125,146157.96086598144,0.14487269505367917
2008,-0.04660903573689901,1189.2383561643835,0.17108651517910745,0.11650330194212377,-10577297.275051069,0.0,1155468.3639033125,0.11528577856239686
2009,0.14448724293532011,1215.8356164383563,0.022364953279640387,0.17008364665271292,28361487.94209454,5689527.347260798,0.0,0.13787562880336846
2010,0.15939578717824698,1131.9342465753425,-0.06900716571274057,0.07938916996578449,33543074.754182015,6829476.445920044,5689527.347260798,0.0471785568827876
2011,0.03736882341997072,1117.448087431694,-0.012797703742488897,0.024092884546147664,8498169.700819787,1319597.334180353,6829476.445920044,0.020747553734183022
2012,-0.05942143332467098,1110.9561643835616,-0.005809596992602306,-0.06488581573693408,-15092611.424515525,0.0,1319597.334180353,-0.06559223610335396
2013,0.24685539731499584,1073.9424657534246,-0.033316974887731,0.20531394735402042,56261228.41606588,11827470.251534494,0.0,0.14640118985856287
2014,0.08565138254393134,1092.1068493150685,0.01691373992637568,0.1040138076789896,25293423.192835707,5014553.102423856,11827470.251534494,0.08721202852313859
2015,0.04228415503718175,1145.5,0.04889004287301901,0.09324147206281785,14696638.166924804,2683260.396723457,5014553.102423856,0.08555542208596933
2016,0.18328969232098236,1145.5397260273974,3.4680076296256246e-05,0.18333072889779278,64277740.16818504,13591102.837000709,2683260.396723457,0.1333986258033626
2017,0.16051632660109938,1115.627397260274,-0.026111996020300454,0.13021292889939806,66316743.07047509,14039683.47550452,13591102.837000709,0.08766320122541327
2018,-0.01735372938056967,1133.0904109589042,0.01565308788715236,-0.0019722809445812395,-19894625.896980703,0.0,14039683.47550452,-0.001370269032237359
2019,0.09955385401850325,1173.0,0.035221892847298486,0.13828222204457719,40462149.712397136,8351672.93672737,0.0,0.1109065181998996
2020,0.2109892649253653,1161.9506849315069,-0.009419705940744372,0.19958210215237027,108209470.04548971,23256083.410007738,8351672.93672737,0.13666811079582653
2021,0.30461538163073065,1218.2027397260274,0.04841174029501638,0.3677740826711211,197437206.31424972,42886185.389134936,23256083.410007738,0.2725251517398559
2022,-0.047251587590799726,1298.9808219178083,0.06630922715700649,0.015924423311119318,-47220088.818495974,0.0,42886185.389134936,0.01401535586752356
2023,0.2617307744756312,1334.6830601092897,0.027484807773197728,0.2964092022736218,192240016.3105815,41742803.58832793,0.0,0.21301274764709088
2024,0.16641149281827738,1382.0493150684931,0.03548876611599816,0.20780599748191775,152433768.57477722,32985429.086450987,41742803.58832793,0.16097936400324797
2025,0.16612113158971664,1400.0,0.012988454706927222,0.1812672430901603,185411258.78677157,40240476.93308975,32985429.086450987,0.12305470846224997
2026,0.22196599757833058,1400.0,0.0,0.2207440315807523,312400571.60838246,68178125.75384414,40240476.93308975,0.14570842646280302
