year,usd_ret,fx_end,fx_chg,krw_ret,realized_gain_krw,tax_assessed_krw,tax_paid_krw,krw_after_ret
2011,0.03660350409667701,1117.448087431694,-0.01245350761583619,0.023694154463806294,3841902.3686821656,295218.52111007646,0.0,0.02108254717478375
2012,-0.059421433324669426,1110.9561643835616,-0.005809596992602306,-0.06488581573693253,-6949764.692397688,0.0,295218.52111007646,-0.06517999691054022
2013,0.24685539731499695,1073.9424657534246,-0.033316974887731,0.2053139473540213,25906868.453644548,5149511.0598018,0.0,0.15758944405268394
2014,0.08565138254393134,1092.1068493150685,0.01691373992637568,0.1040138076789896,11646979.738039957,2012335.5423687906,5149511.0598018,0.09190291782098137
2015,0.04228415503717975,1145.5,0.04889004287301901,0.09324147206281586,6767429.052306459,938834.391507421,2012335.5423687906,0.08859397076883369
2016,0.18328969232098014,1145.5397260273974,3.4680076296256246e-05,0.18333072889779056,29598268.753036812,5961619.125668098,938834.391507421,0.14315858994570063
2017,0.1605163266011007,1115.627397260274,-0.026111996020300454,0.13021292889939917,30537177.864220463,6168179.130128502,5961619.125668098,0.09610712699835844
2018,-0.017353729380571337,1133.0904109589042,0.01565308788715236,-0.001972280944583016,-9160970.539711332,0.0,6168179.130128502,-0.0019012695288411763
2019,0.09955385401850525,1173.0,0.035221892847298486,0.13828222204457918,18631793.50082243,3548994.5701809344,0.0,0.11676794095041076
2020,0.21098926492536463,1161.9506849315069,-0.009419705940744372,0.1995821021523696,49827715.903667666,10412097.498806886,3548994.5701809344,0.1490593342925941
2021,0.30461538163073,1218.2027397260274,0.04841174029501638,0.36777408267112066,90914824.93079907,19451261.484775797,10412097.498806886,0.29114885146246294
2022,-0.04725158759079873,1298.9808219178083,0.06630922715700649,0.015924423311120428,-21743653.02412864,0.0,19451261.484775797,0.013941234261270141
2023,0.2617307744756341,1334.6830601092897,0.027484807773197728,0.2964092022736249,88521650.77615908,18924763.170755,0.0,0.22895400729465054
2024,0.16641149281827494,1382.0493150684931,0.03548876611599816,0.20780599748191508,70191883.49667016,14892214.369267434,18924763.170755,0.16994610169777036
2025,0.16612113158971553,1400.0,0.012988454706927222,0.18126724309015918,85377181.1680149,18232979.856963277,14892214.369267434,0.13489947657409562
2026,0.22196599757833058,1400.0,0.0,0.2207440315807525,143852538.26399907,31097558.418079797,18232979.856963277,0.16193082085930266
