Date,Open,High,Low,Close,Volume
1999-03-10,43.079726,43.106059,42.368753,43.027061,5232000.000000
1999-03-11,43.343046,43.593203,42.395082,43.237717,9688600.000000
1999-03-12,43.079725,43.106058,41.842105,42.184425,8743600.000000
1999-03-15,42.500391,43.448356,42.052742,43.395691,6369000.000000
1999-03-16,43.580017,43.948670,43.106035,43.764343,4905800.000000
1999-03-17,43.764360,43.817025,43.316710,43.448372,3965000.000000
1999-03-18,43.395716,44.317348,43.382549,44.291016,4848400.000000
1999-03-19,44.870325,44.870325,43.132390,43.158722,7160400.000000
1999-03-22,43.343050,43.448379,42.553079,42.632076,5024800.000000
1999-03-23,42.395095,42.553089,41.052145,41.131142,10962400.000000
1999-03-24,41.499783,42.553077,40.867807,42.526745,8447000.000000
1999-03-25,43.185057,44.080357,42.901984,44.080357,8133800.000000
1999-03-26,43.711698,44.212013,43.422043,43.606369,8256200.000000
1999-03-29,44.133027,45.212654,43.869704,45.186321,5113800.000000
1999-03-30,45.133639,45.502292,44.685989,44.870316,4940600.000000
1999-03-31,45.607624,45.660288,44.080348,44.212009,8256600.000000
1999-04-01,45.502293,45.554958,44.396335,45.133640,8715800.000000
1999-04-05,45.864371,46.832085,45.581299,46.766254,5697200.000000
1999-04-06,46.713590,47.371898,46.318604,46.858418,7522400.000000
1999-04-07,47.292890,47.398219,45.370629,46.371258,11923600.000000
1999-04-08,46.292275,46.963750,45.344311,46.739925,7952400.000000
1999-04-09,46.660922,47.134905,46.529261,47.029575,4946800.000000
1999-04-12,45.923618,47.029577,45.870954,46.713589,10934000.000000
1999-04-13,47.003248,47.108577,45.712963,46.081615,9962200.000000
1999-04-14,46.660940,46.713604,44.244946,44.501686,21253800.000000
1999-04-15,44.659669,45.179733,43.079728,45.107319,17650600.000000
1999-04-16,45.001971,45.001971,43.553693,43.790684,17274000.000000
1999-04-19,44.080346,44.448998,41.295700,41.736767,19460600.000000
1999-04-20,41.552451,43.027063,41.157466,42.684742,17413600.000000
1999-04-21,43.079726,44.817661,42.500414,44.791328,10940400.000000
1999-04-22,45.212658,46.134290,44.916419,46.002628,13630600.000000
1999-04-23,45.765615,46.950570,45.291632,46.608250,7064400.000000
1999-04-26,46.924242,48.030201,46.772831,47.681297,5421000.000000
1999-04-27,48.030219,48.267210,46.351531,46.950592,16482800.000000
1999-04-28,46.555603,46.713597,45.140239,45.344315,7676800.000000
1999-04-29,45.133626,45.396949,44.027668,44.975632,19148200.000000
1999-04-30,45.607625,45.844616,43.659031,45.265305,15295200.000000
1999-05-03,45.133650,45.317976,44.271265,45.028320,11109800.000000
1999-05-04,45.107307,45.818281,44.054014,44.317337,15428400.000000
1999-05-05,44.343676,45.660294,43.000726,45.660294,12642600.000000
1999-05-06,45.238959,45.633944,43.580022,44.001339,15173400.000000
1999-05-07,44.396348,44.765001,43.448383,44.633339,16430400.000000
1999-05-10,44.922988,45.383804,44.396341,45.080982,10604200.000000
1999-05-11,45.449630,46.028941,45.186306,45.791950,8800800.000000
1999-05-12,46.002620,46.897919,44.659670,46.739925,12507400.000000
1999-05-13,47.108553,47.187550,45.660275,45.870934,9864000.000000
1999-05-14,44.975655,45.502302,44.659667,45.001987,12205400.000000
1999-05-17,44.606994,45.949944,44.165927,45.811699,9906800.000000
1999-05-18,45.765626,46.028949,45.080985,45.607632,9267800.000000
1999-05-19,45.791944,46.265926,45.080970,46.239594,7985600.000000
