Date,Open,High,Low,Close,Volume
1993-01-29,24.070641,24.070641,23.950887,24.053534,1003200.000000
1993-02-01,24.070617,24.224586,24.070617,24.224586,480500.000000
1993-02-02,24.207488,24.293027,24.156165,24.275919,201300.000000
1993-02-03,24.310138,24.549647,24.293031,24.532539,529400.000000
1993-02-04,24.618085,24.686516,24.344361,24.635193,531500.000000
1993-02-05,24.618082,24.669405,24.481220,24.618082,492100.000000
1993-02-08,24.618082,24.703621,24.583867,24.618082,596100.000000
1993-02-09,24.532553,24.532553,24.395691,24.447014,122100.000000
1993-02-10,24.447014,24.498338,24.378583,24.481230,379600.000000
1993-02-11,24.515442,24.703627,24.515442,24.600981,19500.000000
1993-02-12,24.566753,24.566753,24.412783,24.412783,42500.000000
1993-02-16,24.344378,24.344378,23.762713,23.796928,374800.000000
1993-02-17,23.796912,23.831128,23.694265,23.779804,210900.000000
1993-02-18,24.053535,24.053535,23.437655,23.762703,378100.000000
1993-02-19,23.762701,23.848240,23.728485,23.848240,34900.000000
1993-02-22,23.916669,23.967992,23.848238,23.933777,513600.000000
1993-02-23,24.002209,24.019316,23.796915,23.916670,373700.000000
1993-02-24,23.933755,24.224586,23.933755,24.224586,26300.000000
1993-02-25,24.207488,24.293027,24.156165,24.275919,44500.000000
1993-02-26,24.327250,24.327250,24.190388,24.310143,66200.000000
1993-03-01,24.395683,24.395683,24.207497,24.241713,66500.000000
1993-03-02,24.258825,24.600981,24.224610,24.600981,182400.000000
1993-03-03,24.635192,24.720731,24.600976,24.703623,280100.000000
1993-03-04,24.737825,24.737825,24.566748,24.566748,89500.000000
1993-03-05,24.600972,24.703619,24.481218,24.498325,40000.000000
1993-03-08,24.549662,25.045788,24.549662,25.045788,50800.000000
1993-03-09,24.994449,25.011557,24.908910,24.960234,169300.000000
1993-03-10,24.960245,25.011568,24.857598,25.011568,194400.000000
1993-03-11,25.028685,25.097116,24.908930,24.943146,70900.000000
1993-03-12,24.737841,24.754949,24.532548,24.686518,643600.000000
1993-03-15,24.669401,24.806263,24.669401,24.806263,310800.000000
