Date,Close,Open,High,Low,Volume
2001-08-01,99.714121,,,,
2001-08-02,105.485410,,,,
2001-08-03,101.492198,,,,
2001-08-06,96.044738,,,,
2001-08-07,91.583141,,,,
2001-08-08,88.460085,,,,
2001-08-09,81.187034,,,,
2001-08-10,81.689233,,,,
2001-08-13,87.572181,,,,
2001-08-14,88.627949,,,,
2001-08-15,78.233795,,,,
2001-08-16,75.235645,,,,
2001-08-17,67.299381,,,,
2001-08-20,69.506733,,,,
2001-08-21,64.244885,,,,
2001-08-22,70.232283,,,,
2001-08-23,71.290213,,,,
2001-08-24,80.510637,,,,
2001-08-27,85.898685,,,,
2001-08-28,79.861532,,,,
2001-08-29,71.486849,,,,
2001-08-30,65.698777,,,,
2001-08-31,66.677003,,,,
2001-09-04,61.330488,,,,
2001-09-05,55.014396,,,,
2001-09-06,47.361612,,,,
2001-09-07,48.397831,,,,
2001-09-10,48.257793,,,,
2001-09-17,34.990572,,,,
2001-09-18,35.586116,,,,
2001-09-19,26.608074,,,,
2001-09-20,21.460590,,,,
2001-09-21,18.347488,,,,
2001-09-24,23.821990,,,,
2001-09-25,21.924640,,,,
2001-09-26,20.064378,,,,
2001-09-27,18.249814,,,,
2001-09-28,19.775528,,,,
2001-10-01,17.795907,,,,
2001-10-02,16.816855,,,,
2001-10-03,21.640146,,,,
2001-10-04,25.416818,,,,
2001-10-05,25.879410,,,,
2001-10-08,28.995487,,,,
2001-10-09,25.055903,,,,
2001-10-10,29.334889,,,,
2001-10-11,37.139958,,,,
2001-10-12,35.229095,,,,
2001-10-15,33.012502,,,,
2001-10-16,36.067654,,,,
2001-10-17,31.660339,,,,
2001-10-18,28.203451,,,,
2001-10-19,28.873046,,,,
2001-10-22,33.139121,,,,
2001-10-23,32.716426,,,,
2001-10-24,35.800888,,,,
2001-10-25,40.442697,,,,
2001-10-26,40.904902,,,,
2001-10-29,34.132718,,,,
2001-10-30,27.963111,,,,
2001-10-31,31.055727,,,,
2001-11-01,36.784672,,,,
2001-11-02,37.856058,,,,
2001-11-05,42.387887,,,,
2001-11-06,45.934962,,,,
2001-11-07,46.926652,,,,
2001-11-08,43.112685,,,,
2001-11-09,44.161482,,,,
2001-11-12,46.735149,,,,
2001-11-13,52.955341,,,,
2001-11-14,53.747985,,,,
2001-11-15,52.146987,,,,
2001-11-16,51.586681,,,,
2001-11-19,50.941353,,,,
2001-11-20,42.269779,,,,
2001-11-21,43.861423,,,,
2001-11-23,46.049511,,,,
2001-11-26,51.616493,,,,
2001-11-27,51.771428,,,,
2001-11-28,44.851896,,,,
2001-11-29,48.532015,,,,
2001-11-30,46.625724,,,,
2001-12-03,44.790646,,,,
2001-12-04,51.413950,,,,
2001-12-05,63.709310,,,,
2001-12-06,62.449502,,,,
2001-12-07,55.736270,,,,
2001-12-10,52.168781,,,,
2001-12-11,53.841696,,,,
2001-12-12,53.369643,,,,
2001-12-13,45.794344,,,,
2001-12-14,48.612078,,,,
2001-12-17,51.836177,,,,
2001-12-18,53.037424,,,,
2001-12-19,44.832276,,,,
2001-12-20,38.033323,,,,
2001-12-21,40.911890,,,,
2001-12-24,40.004045,,,,
2001-12-26,41.464183,,,,
2001-12-27,43.389464,,,,
2001-12-28,44.487350,,,,
2001-12-31,41.256013,,,,
2002-01-02,46.281235,,,,
2002-01-03,56.915136,,,,
2002-01-04,56.319324,,,,
2002-01-07,52.609657,,,,
2002-01-08,53.022732,,,,
2002-01-09,52.148691,,,,
2002-01-10,50.376814,,,,
2002-01-11,49.574505,,,,
2002-01-14,46.670992,,,,
2002-01-15,47.052080,,,,
2002-01-16,41.083200,,,,
2002-01-17,44.043110,,,,
2002-01-18,40.674904,,,,
2002-01-22,35.202931,,,,
2002-01-23,38.343118,,,,
2002-01-24,40.126231,,,,
2002-01-25,41.297202,,,,
2002-01-28,43.482376,,,,
2002-01-29,40.480551,,,,
2002-01-30,43.594417,,,,
2002-01-31,44.620917,,,,
2002-02-01,43.288870,,,,
2002-02-04,40.867485,,,,
2002-02-05,39.102183,,,,
2002-02-06,38.748846,,,,
2002-02-07,34.973468,,,,
2002-02-08,37.266837,,,,
2002-02-11,41.588557,,,,
2002-02-12,40.891122,,,,
2002-02-13,43.613164,,,,
2002-02-14,42.912567,,,,
2002-02-15,39.821982,,,,
2002-02-19,34.585995,,,,
2002-02-20,36.705140,,,,
2002-02-21,29.891328,,,,
2002-02-22,30.271026,,,,
2002-02-25,35.042901,,,,
2002-02-26,33.504039,,,,
2002-02-27,33.048204,,,,
2002-02-28,29.995689,,,,
2002-03-01,38.338089,,,,
2002-03-04,45.895453,,,,
2002-03-05,48.233314,,,,
2002-03-06,47.936263,,,,
2002-03-07,49.159019,,,,
2002-03-08,54.493340,,,,
2002-03-11,51.232262,,,,
2002-03-12,45.778354,,,,
2002-03-13,42.041404,,,,
2002-03-14,41.699454,,,,
2002-03-15,43.543292,,,,
2002-03-18,45.090775,,,,
2002-03-19,45.939114,,,,
2002-03-20,41.186136,,,,
2002-03-21,44.358859,,,,
2002-03-22,42.869912,,,,
2002-03-25,39.359072,,,,
2002-03-26,41.213446,,,,
2002-03-27,41.408102,,,,
2002-03-28,43.663209,,,,
2002-04-01,46.918143,,,,
2002-04-02,42.791918,,,,
2002-04-03,40.074459,,,,
2002-04-04,40.490435,,,,
2002-04-05,39.478125,,,,
2002-04-08,39.100638,,,,
2002-04-09,36.457960,,,,
2002-04-10,36.864568,,,,
2002-04-11,34.652689,,,,
2002-04-12,35.202686,,,,
2002-04-15,37.505409,,,,
