Date,Open,High,Low,Close,Volume
1998-12-22,12.042657,12.077496,11.810398,11.909108,601000.000000
1998-12-23,12.170399,12.193624,11.949752,12.193624,676600.000000
1998-12-24,12.193621,12.193621,12.100717,12.147169,487400.000000
1998-12-28,12.332984,12.332984,12.112338,12.182015,618600.000000
1998-12-29,12.240084,12.269116,12.077502,12.216858,247600.000000
1998-12-30,12.147178,12.315566,12.106532,12.170403,191200.000000
1998-12-31,12.170397,12.228462,12.019428,12.123945,154400.000000
1999-01-04,12.135558,12.472334,12.112332,12.263301,1301200.000000
1999-01-05,12.286528,12.646531,12.286528,12.576853,590400.000000
1999-01-06,12.890402,12.983306,12.785886,12.948467,1249400.000000
1999-01-07,12.820721,13.018141,12.739430,12.907818,1069200.000000
1999-01-08,13.192340,13.215566,12.814918,12.960080,1065600.000000
1999-01-11,13.331692,13.331692,12.948463,13.087819,995800.000000
1999-01-12,13.192333,13.215559,12.733621,12.733621,972000.000000
1999-01-13,11.891686,13.064597,11.891686,12.727820,1096600.000000
1999-01-14,12.762661,12.867177,12.472336,12.553627,732600.000000
1999-01-15,12.634911,12.931042,12.576847,12.925236,1307800.000000
1999-01-19,13.238791,13.378147,13.012338,13.372340,874600.000000
1999-01-20,13.703312,13.929765,13.471052,13.494278,2264400.000000
1999-01-21,13.471050,13.494276,13.052983,13.145886,2985800.000000
1999-01-22,12.913627,13.157499,12.780077,12.913627,2582000.000000
1999-01-25,13.076207,13.145885,12.855561,13.140079,1893200.000000
1999-01-26,13.285251,13.680092,13.285251,13.668479,1427800.000000
1999-01-27,13.842662,13.929759,13.378143,13.378143,2733800.000000
1999-01-28,13.656855,13.854275,13.604596,13.848469,1807200.000000
1999-01-29,13.889120,14.063315,13.726538,14.051702,1867200.000000
1999-02-01,14.179441,14.260732,13.958795,14.063312,1826000.000000
1999-02-02,14.121379,14.121379,13.610408,13.825248,2518400.000000
1999-02-03,13.772991,14.144606,13.680087,13.923960,2668200.000000
1999-02-04,14.028471,14.028471,13.331693,13.447823,3891800.000000
1999-02-05,13.378143,13.459434,12.913624,13.122658,3664800.000000
1999-02-08,13.285242,13.563953,13.052982,13.343307,2629200.000000
1999-02-09,13.378151,13.389764,12.751050,12.820728,4171000.000000
1999-02-10,12.878788,13.157499,12.727819,12.913627,2803600.000000
1999-02-11,13.145883,13.482659,13.018141,13.459434,5333400.000000
1999-02-12,13.145882,13.296851,12.855558,12.925236,5834800.000000
1999-02-16,13.285251,13.308477,12.820732,12.867184,3452800.000000
1999-02-17,12.542014,12.994920,12.472336,12.576853,5567000.000000
1999-02-18,12.751047,12.785886,12.391045,12.646530,4151200.000000
1999-02-19,12.867179,12.960083,12.692984,12.762662,3347200.000000
1999-02-22,12.855559,13.250400,12.762655,13.215561,4736000.000000
1999-02-23,13.378147,13.552342,13.215565,13.389760,4131000.000000
1999-02-24,13.517501,13.540726,13.018143,13.018143,5001000.000000
1999-02-25,12.774274,13.052985,12.681370,13.052985,5132400.000000
1999-02-26,13.029755,13.052981,12.542010,12.658140,4685200.000000
1999-03-01,12.495555,12.704589,12.425877,12.600072,2184200.000000
1999-03-02,12.704594,12.820724,12.263301,12.263301,4960400.000000
1999-03-03,12.449104,12.530395,12.216845,12.472330,3215600.000000
1999-03-04,12.774266,12.809105,12.309748,12.600072,6398200.000000
1999-03-05,12.960083,13.006534,12.733630,12.890405,3753800.000000
