Date,Open,High,Low,Close,Volume
2001-07-13,19.776378,20.129235,19.305902,19.872114,603300.000000
2001-07-16,19.516517,19.571224,18.720539,18.720539,180000.000000
2001-07-17,18.586504,19.489161,18.572828,19.489161,287100.000000
2001-07-18,18.901061,19.040562,18.682236,18.682236,301800.000000
2001-07-19,19.803725,19.885785,19.475487,19.475487,405000.000000
2001-07-20,19.078860,19.393422,19.078860,19.379745,360000.000000
2001-07-23,19.489154,19.489154,18.791647,18.791647,195300.000000
2001-07-24,18.682238,18.682238,18.271940,18.285616,150300.000000
2001-07-25,18.217227,18.559141,17.957371,17.957371,179100.000000
2001-07-26,18.750625,19.817400,18.682242,19.625929,281700.000000
2001-07-27,19.831080,20.296083,19.831080,20.079992,121500.000000
2001-07-30,20.183923,20.389072,20.047158,20.214012,7800.000000
2001-07-31,20.624310,20.624310,20.214012,20.214012,152100.000000
2001-08-01,20.993588,21.526977,20.993588,21.267122,28500.000000
2001-08-02,21.800507,21.868889,21.650063,21.677418,64800.000000
2001-08-03,21.677415,21.677415,21.267117,21.403881,9600.000000
2001-08-06,20.938879,21.102999,20.897850,21.020939,21900.000000
2001-08-07,20.679022,20.695433,20.514902,20.695433,18600.000000
2001-08-08,20.607903,20.938877,20.460196,20.460196,18900.000000
2001-08-09,19.694311,19.899460,19.694311,19.899460,3000.000000
2001-08-10,19.858429,19.967840,19.858429,19.940487,12600.000000
2001-08-13,20.378138,20.460198,20.268727,20.419168,24300.000000
2001-08-14,20.569618,20.569618,20.501234,20.501234,4200.000000
2001-08-15,20.172991,20.172991,19.699781,19.699781,6300.000000
2001-08-16,19.147241,19.448128,18.955770,19.448128,13500.000000
2001-08-17,19.147253,19.147253,18.764309,18.764309,1500.000000
2001-08-20,18.873725,18.996814,18.750636,18.969461,32700.000000
2001-08-21,18.955770,18.955770,18.490765,18.490765,4200.000000
2001-08-22,18.652153,19.065187,18.463417,19.065187,8400.000000
2001-08-23,19.177333,19.418041,19.128096,19.160921,3000.000000
2001-08-24,19.494632,20.090932,19.420780,19.986990,1200.000000
2001-08-27,20.104606,20.621581,20.104606,20.432844,12300.000000
