Date,baseline,v5
2001-08-02,100000000.0,100000000.0
2001-08-03,99992507.53925107,99992507.53925107
2001-08-06,99577872.14528735,99577872.14528735
2001-08-07,98660927.51560338,98660927.51560338
2001-08-08,97756338.82002956,97756338.82002956
2001-08-09,94634608.02269919,94634608.02269919
2001-08-10,94940573.11443102,94946604.15059778
2001-08-13,97504502.45605719,97946433.83314624
2001-08-14,97677437.35517314,98208089.38472426
2001-08-15,96273801.1164815,96804453.14603262
2001-08-16,95164497.06430542,95695149.09385654
2001-08-17,91440111.4818356,91970763.51138672
2001-08-20,93028241.77201244,93558893.80156355
2001-08-21,90421164.74148637,90951816.77103749
2001-08-22,94846631.4589731,95377283.48852421
2001-08-23,95360697.20863514,95891349.23818626
2001-08-24,97997143.02831161,98527795.05786273
2001-08-27,98746570.2076848,99277222.23723592
2001-08-28,98739077.7562431,99269729.78579421
2001-08-29,97940894.07501216,98471546.10456328
2001-08-30,96374308.79077242,96904960.82032354
2001-08-31,96810697.21671292,97347432.52441463
2001-09-04,95324991.2101482,95367424.32103483
2001-09-05,92327821.03796637,91123293.02746736
2001-09-06,86961926.27093771,84246539.24732177
2001-09-07,87944564.4661237,85393030.70879088
2001-09-10,87839110.89652473,85393030.70879088
2001-09-17,75084673.68660837,85393030.70879088
2001-09-18,75853706.50573976,85393030.70879088
2001-09-19,67914984.8919475,85393030.70879088
2001-09-20,60394348.898029745,85393030.70879088
2001-09-21,54029618.110225484,85393030.70879088
2001-09-24,68893684.53370942,85393030.70879088
2001-09-25,66310865.25907917,85393030.70879088
2001-09-26,62463194.51478633,85393030.70879088
2001-09-27,57587896.457170576,85393030.70879088
2001-09-28,62078576.46318613,85393030.70879088
2001-10-01,58402691.90793935,85393030.70879088
2001-10-02,55673984.93266352,85393030.70879088
2001-10-03,70488748.39448476,85393030.70879088
2001-10-04,75782613.04309438,85393030.70879088
2001-10-05,76140636.2802704,85393030.70879088
2001-10-08,78083582.12470913,85393030.70879088
2001-10-09,76717321.1252825,85393030.70879088
2001-10-10,81525383.3595998,85393030.70879088
2001-10-11,84639694.73698597,85393030.70879088
2001-10-12,84632202.24610001,85393030.70879088
2001-10-15,84148291.88632566,85393030.70879088
2001-10-16,85932402.27057232,85393030.70879088
2001-10-17,85924909.78581654,85393030.70879088
2001-10-18,85094342.58653307,85393030.70879088
2001-10-19,85539217.17156166,85393030.70879088
2001-10-22,86940349.03416519,85393030.70879088
2001-10-23,86932856.54502927,85393030.70879088
2001-10-24,87631039.6850707,85393030.70879088
2001-10-25,87631039.6850707,85393030.70879088
2001-10-26,87631039.6850707,85393030.70879088
2001-10-29,87623547.20998353,85393030.70879088
2001-10-30,86256768.97585845,85393030.70879088
2001-10-31,88305908.19577478,85393030.70879088
2001-11-01,90118930.24452953,85393030.70879088
2001-11-02,90118930.24452953,85393030.70879088
2001-11-05,90118930.24452953,85393030.70879088
2001-11-06,90118930.24452953,85393030.70879088
2001-11-07,90118930.24452953,85393030.70879088
2001-11-08,90111437.77493744,85393030.70879088
2001-11-09,90286031.40432176,85393030.70879088
2001-11-12,90286031.40432176,85393030.70879088
2001-11-13,90286031.40432176,85393030.70879088
2001-11-14,90286031.40432176,85393030.70879088
2001-11-15,90278538.92301282,85393030.70879088
2001-11-16,90190541.68798722,85393030.70879088
2001-11-19,89996600.15650383,85393030.70879088
2001-11-20,86193298.23802608,85393030.70879088
2001-11-21,87718924.91223857,85393030.70879088
2001-11-23,89096865.53346089,85393030.70879088
2001-11-26,91887238.66782641,85393030.70879088
2001-11-27,91887238.66782641,85393030.70879088
2001-11-28,91879746.20116153,85393030.70879088
2001-11-29,92486399.2392717,85393030.70879088
2001-11-30,92478906.76294321,85393030.70879088
2001-12-03,92176528.2182531,85393030.70879088
2001-12-04,94331924.62289417,85393030.70879088
2001-12-05,94331924.62289417,85393030.70879088
2001-12-06,94324432.11679693,85393030.70879088
2001-12-07,93506510.98589034,85393030.70879088
2001-12-10,92266728.6737046,85393030.70879088
2001-12-11,93230220.74774027,85393030.70879088
2001-12-12,93054399.94982588,85393030.70879088
2001-12-13,88991129.82701162,85393030.70879088
2001-12-14,91402780.33618829,85393030.70879088
2001-12-17,93187770.27748719,85393030.70879088
2001-12-18,93522711.90729558,85393030.70879088
2001-12-19,92628298.27947901,85393030.70879088
2001-12-20,89960995.7127313,85393030.70879088
2001-12-21,92017792.7381478,85393030.70879088
2001-12-24,91629500.84278,85393030.70879088
2001-12-26,92567468.34735882,85393030.70879088
2001-12-27,93270809.23242842,85393030.70879088
2001-12-28,93427118.36695251,85393030.70879088
2001-12-31,93043890.04783438,85393030.70879088
2002-01-02,95085191.35519233,85393030.70879088
2002-01-03,95085191.35519233,85393030.70879088
2002-01-04,95077698.85543595,85393030.70879088
2002-01-07,94571692.0647675,85393030.70879088
2002-01-08,94714724.71352153,85393030.70879088
2002-01-09,94547821.03255984,85393030.70879088
2002-01-10,93960179.1820767,85393030.70879088
2002-01-11,93533333.31912282,85393030.70879088
2002-01-14,91554412.69743182,85393030.70879088
2002-01-15,91977820.08803153,85393030.70879088
2002-01-16,87210237.19812627,85393030.70879088
2002-01-17,90762023.68973613,85393030.70879088
2002-01-18,87988047.40958995,85393030.70879088
2002-01-22,81277529.33555934,85393030.70879088
2002-01-23,86216591.02368842,85393030.70879088
2002-01-24,88147968.82999209,85393030.70879088
2002-01-25,88921766.95921431,85393030.70879088
2002-01-28,90080543.49496205,85393030.70879088
2002-01-29,88769758.74503507,85393030.70879088
2002-01-30,92529592.89174645,85393030.70879088
2002-01-31,92718092.94757612,85393030.70879088
2002-02-01,92710600.46437539,85393030.70879088
2002-02-04,92279017.08977635,85393030.70879088
2002-02-05,91426578.2327364,85393030.70879088
2002-02-06,91177265.03517963,85393030.70879088
2002-02-07,87412639.98523013,85393030.70879088
2002-02-08,90817755.14901471,85393030.70879088
2002-02-11,95202199.91979934,85393030.70879088
2002-02-12,95062895.10030456,85393030.70879088
2002-02-13,96059876.24238041,85393030.70879088
2002-02-14,96052383.74894293,85393030.70879088
2002-02-15,95500283.19453971,85393030.70879088
2002-02-19,92931685.61258174,85393030.70879088
2002-02-20,94718749.0320851,85393030.70879088
