combo,start,cagr,mdd,rec,uw,worst_year,calmar,ulcer,r10_cagr,r10_mdd,oos_cagr,oos_mdd,min_corr
basket SOXL,2002-05-22,0.17400547033349212,-0.27796048226045245,401,896,-0.10408414698109547,0.626007945152602,0.09539883493444601,0.20242412429022294,-0.27796048226045245,0.24298458359073694,-0.23075867153066343,
SOXL 80 + bearGLD 20,2005-09-02,0.1525794325663583,-0.20969537568589092,387,876,-0.07909801286614149,0.7276242123474944,0.07617898419350386,0.17315367991245667,-0.20969537568589092,0.20980411344062477,-0.1855362489132355,0.005005570981136019
SOXL 70 + bearGLD 30,2005-09-02,0.1396900582002274,-0.17912025536065046,373,812,-0.06660494580866316,0.7798674578649291,0.06580272208824653,0.15813122611114805,-0.17504648480006568,0.19275324012202,-0.1639741740405244,0.005005570981136084
SOXL 80 + GLD상시 20,2005-09-02,0.16835719328046883,-0.21708030704809012,457,826,-0.07006908260883338,0.7755525849849311,0.07378098181249436,0.18235991692701337,-0.21708030704809012,0.22667641318019238,-0.16879703961085402,0.051317960616247604
SOXL 70 + GLD상시 30,2005-09-02,0.16303383420470907,-0.18925107672600083,373,826,-0.06011223894347262,0.8614684630870064,0.0647722121681002,0.17162605816039123,-0.18597049198738658,0.2178796631039932,-0.14839103074909699,0.05131796061624783
SOXL 50 + UPRO 30 + GLD상시 20,2005-09-02,0.14106524238989104,-0.20078739862868455,360,743,-0.08486532076490505,0.7025602371130995,0.06080363385562375,0.1453276783691113,-0.20078739862868455,0.16943395001275063,-0.17397720700709718,0.04120658236516236
SOXL 50 + TQQQ 30 + GLD상시 20,2005-09-02,0.15166054335664692,-0.2093739411070118,371,729,-0.09094680067937477,0.724352527132938,0.0670711996214579,0.15832399098547967,-0.2093739411070118,0.1970293918591115,-0.1718659087894514,0.043871227677819105
SOXL 60 + UPRO 40,2002-05-22,0.14128706771314237,-0.2566929635422117,333,812,-0.10559041663708435,0.5504127022551146,0.07769551190020872,0.1536625026090126,-0.2566929635422117,0.16735725927858236,-0.23610986097903763,0.6030943636952758
SOXL 40+TQQQ 20+UPRO 20+GLD 20,2005-09-02,0.13903680052881628,-0.19829914458159714,313,679,-0.09467585426202063,0.701146748878711,0.06135758486073154,0.14162807430110602,-0.19829914458159714,0.1686691103578426,-0.16905623897082933,0.04120657550655219
