symbol,side,kind,limit,qty,sleeves
SOXL,BUY,LOC,121.46,2490,basket
SOXL,SELL,LOC,123.67,117,basket
SOXL,SELL,LOC,124.04,1072,basket
SOXL,SELL,LOC,129.38,54,basket
SOXL,SELL,LOC,138.34,46,basket
