정책,횟수,회전액_배,CAGR,MDD,회복일,최악연도,Calmar,Ulcer,IS_Calmar,OOS_CAGR,OOS_MDD
none,0,0.0,0.16850955539769208,-0.18843512317059363,373,-0.0756100067657246,0.8942576763947421,0.07000061927218769,0.6487626207756887,0.23230625198691324,-0.18673367963606047
yearly,21,3.6,0.16299687457625578,-0.18925107672600083,373,-0.06019071641479956,0.8612731689354872,0.06477706903783523,0.6496929108496882,0.21784773532085477,-0.1483911413817237
semiannual,42,6.5,0.16368227183073536,-0.18925107672600083,373,-0.06025442665167491,0.8648947982880743,0.06448408020228917,0.6526645059264468,0.2187174818478277,-0.1482404427988644
quarterly,84,7.7,0.16259434090020686,-0.18939634748037337,373,-0.05799846259718455,0.8584872045489477,0.06380362320296053,0.6447468949908823,0.21811741679145968,-0.14343283363726878
monthly,252,14.1,0.16345872839367082,-0.18788824350214883,462,-0.05913024798471944,0.8699784794773568,0.06294391462096117,0.655440714791118,0.2187131747096991,-0.14054824483142814
band 3%,54,9.5,0.16449491266853333,-0.1907572435869329,457,-0.05532645485191545,0.862325904775243,0.06317272482201243,0.6535115709592662,0.21904090819371325,-0.14726683698198184
band 5%,16,4.7,0.1628503779192061,-0.18647799459746572,457,-0.061144143994884104,0.8732954162808187,0.06353636469887294,0.6557919885103124,0.2183899415678554,-0.1432855354431618
band 10%,5,1.7,0.16583275531495634,-0.19473520804327404,457,-0.06339829626051152,0.8515807540981751,0.06674183414064382,0.653916872191589,0.21807930547828192,-0.15721623882433755
band 15%,3,2.4,0.16794791824783384,-0.18956085407321177,379,-0.0699695478145409,0.8859841820662475,0.06878224890698256,0.6789134023321356,0.22135709091653166,-0.1568680277998693
