symbol,side,kind,limit,qty,sleeves
SOXL,BUY,LOC,121.46,2490,basket_soxl
SOXL,SELL,LOC,123.67,117,basket_soxl
SOXL,SELL,LOC,124.04,1072,basket_soxl
SOXL,SELL,LOC,129.38,54,basket_soxl
SOXL,SELL,LOC,138.34,46,basket_soxl
