combo,cagr,mdd,rec,uw,worst_year,calmar,ulcer,is_calmar,oos_cagr,oos_mdd,avg_weights
GLD30 fixed,0.16303383420470907,-0.18925107672600083,373,826,-0.06011223894347262,0.8614684630870064,0.0647722121681002,0.6498878041192787,0.2178796631039932,-0.14839103074909699,"{'soxl_balanced_cache': 0.7, 'gld_always': 0.3}"
GLD risk-parity,0.14640045744901586,-0.18925107672600083,394,959,-0.06263602231465537,0.7735779366844796,0.06686877766305738,0.5556975258453802,0.2045487244724069,-0.14773858969311549,"{'soxl_balanced_cache': 0.5, 'gld_always': 0.5}"
GLD risk-parity cap60,0.14637587822842657,-0.18925107672600083,394,959,-0.0626360223146546,0.7734480604321776,0.06665934621093489,0.5560327771326118,0.20430973412955233,-0.14573158543714604,"{'soxl_balanced_cache': 0.5, 'gld_always': 0.5}"
GLD20+TLT20 fixed,0.14130653953774308,-0.15553124446180844,373,489,-0.1135526507476321,0.9085411746476554,0.053306651282991904,0.7443092924249773,0.17529754481736703,-0.15044181454815164,"{'soxl_balanced_cache': 0.6, 'gld_always': 0.2, 'tlt_always': 0.2}"
GLD+TLT risk-parity,0.11358251687982457,-0.20165903604032753,213,769,-0.14012817887588158,0.5632404037531473,0.05168442702300993,0.6581379028207511,0.1286461630294249,-0.20165903604032753,"{'soxl_balanced_cache': 0.33, 'gld_always': 0.31, 'tlt_always': 0.36}"
GLD+TLT risk-parity cap50,0.11288350583502726,-0.20165903604032742,213,769,-0.14012817887588114,0.5597741021257933,0.0516726207166883,0.6508878089631025,0.12856823262916572,-0.20165903604032742,"{'soxl_balanced_cache': 0.33, 'gld_always': 0.31, 'tlt_always': 0.36}"
