combo,cagr,mdd,rec,uw,worst_year,calmar,ulcer,is_calmar,oos_cagr,oos_mdd,corr_first_two
basket 100,0.17763336952899822,-0.27796048226045245,401,896,-0.10408414698109547,0.6390597975814185,0.09775294459076607,0.4675876707047707,0.24298458359073694,-0.23075867153066343,
v5 fixed 100,0.08497863636245806,-0.17317286020430167,240,863,-0.14112435467940032,0.49071567139449,0.056787966542367084,0.4927011288333818,0.08392367126223133,-0.08863152659776086,
v5 compound 100,0.09293408013826698,-0.33429966692489765,532,987,-0.19354801213243233,0.27799632884212583,0.14054775956644727,0.21015281670518843,0.12422860986553097,-0.32419212759869775,
basket 70 + GLD 30,0.16303383420470907,-0.18925107672600083,373,826,-0.06011223894347262,0.8614684630870064,0.0647722121681002,0.6498878041192787,0.2178796631039932,-0.14839103074909699,0.05131796061624783
basket 50 + v5c 20 + GLD 30,0.14710049853846008,-0.18664723764005142,301,869,-0.06577354006980174,0.788120415808901,0.06584743364032541,0.5971414522053529,0.1960349129043777,-0.16039006337739214,0.720052923784813
basket 40 + v5c 30 + GLD 30,0.1389027153458715,-0.2000854923444254,364,910,-0.07675215590471907,0.6942168256095529,0.06886194182265581,0.5271846054294782,0.18485117369111315,-0.1664113758325494,0.7200248756181472
basket 35 + v5 fixed 35 + GLD 30,0.13107464119130796,-0.17758728520168232,379,601,-0.06385407765765538,0.7380857308700289,0.048439075338235875,0.6042157361195389,0.16311627705840337,-0.10775597586858987,0.624447782653096
basket 50 + v5c 50,0.13721037491460475,-0.27235547223695833,499,868,-0.13861178731340862,0.5037915110999758,0.10124735616838026,0.3737598291547325,0.18576763840253552,-0.2673707110269302,0.7209882924683035
v5c 70 + GLD 30,0.10473335448583754,-0.2538283293769664,593,1078,-0.12070719417675502,0.4126149147453733,0.0945370655381295,0.3160723154600789,0.1387909007725694,-0.196360260875714,0.03297117552740582
