date,basket,side,kind,qty,price,value,fee,pnl,reason
2011-01-13,1,BUY,LOC,3400.805310697573,0.918618,3124.040972902383,3.124040972902383,,first_slice
2011-01-13,2,BUY,LOC,3400.805310697573,0.918618,3124.040972902383,3.124040972902383,,first_slice
2011-01-13,3,BUY,LOC,3400.805310697573,0.918618,3124.040972902383,3.124040972902383,,first_slice
2011-01-14,1,SELL,LOC,3400.805310697573,0.993691,3379.3496299923822,3.379349629992382,251.92930746000684,lot_tp
2011-01-14,2,SELL,LOC,3400.805310697573,0.993691,3379.3496299923822,3.379349629992382,251.92930746000684,lot_tp
2011-01-14,3,SELL,LOC,3400.805310697573,0.993691,3379.3496299923822,3.379349629992382,251.92930746000684,lot_tp
2011-01-18,4,BUY,LOC,3144.812317600887,0.982012,3088.2434336318825,3.0882434336318827,,first_slice
2011-01-19,1,BUY,LOC,3221.6494845360826,0.913613,2943.340850515464,2.943340850515464,,dip_slice
2011-01-19,2,BUY,LOC,3221.6494845360826,0.913613,2943.340850515464,2.943340850515464,,dip_slice
2011-01-19,3,BUY,LOC,3221.6494845360826,0.913613,2943.340850515464,2.943340850515464,,dip_slice
2011-01-19,4,BUY,LOC,3221.6494845360844,0.913613,2943.3408505154657,2.9433408505154657,,dip_slice
2011-01-20,1,BUY,LOC,3473.766118274789,0.880399,3058.300216763006,3.0583002167630062,,dip_slice
2011-01-20,2,BUY,LOC,3473.766118274789,0.880399,3058.300216763006,3.0583002167630062,,dip_slice
2011-01-20,3,BUY,LOC,3473.766118274789,0.880399,3058.300216763006,3.0583002167630062,,dip_slice
2011-01-20,4,BUY,LOC,3473.766118274791,0.880399,3058.300216763008,3.058300216763008,,dip_slice
2011-01-21,1,BUY,LOC,3607.711844839529,0.865232,3121.5077349341955,3.1215077349341955,,dip_slice
2011-01-21,2,BUY,LOC,3607.711844839529,0.865232,3121.5077349341955,3.1215077349341955,,dip_slice
2011-01-21,3,BUY,LOC,3607.711844839529,0.865232,3121.5077349341955,3.1215077349341955,,dip_slice
2011-01-21,4,BUY,LOC,3607.7118448395313,0.865232,3121.5077349341973,3.1215077349341973,,dip_slice
2011-01-24,1,SELL,LOC,3607.711844839529,0.927717,3346.9356095589933,3.3469356095589933,222.08093901523898,lot_tp
2011-01-24,1,SELL,LOC,3473.766118274789,0.927717,3222.6718819475323,3.2226718819475324,161.14899330257867,lot_tp
2011-01-24,1,SELL,LOC,1030.3127447650402,0.927717,955.8386486351887,0.9558386486351887,13.5756923035309,upday_sell
2011-01-24,2,SELL,LOC,3607.711844839529,0.927717,3346.9356095589933,3.3469356095589933,222.08093901523898,lot_tp
2011-01-24,2,SELL,LOC,3473.766118274789,0.927717,3222.6718819475323,3.2226718819475324,161.14899330257867,lot_tp
2011-01-24,2,SELL,LOC,1030.3127447650402,0.927717,955.8386486351887,0.9558386486351887,13.5756923035309,upday_sell
2011-01-24,3,SELL,LOC,3607.711844839529,0.927717,3346.9356095589933,3.3469356095589933,222.08093901523898,lot_tp
2011-01-24,3,SELL,LOC,3473.766118274789,0.927717,3222.6718819475323,3.2226718819475324,161.14899330257867,lot_tp
2011-01-24,3,SELL,LOC,1030.3127447650402,0.927717,955.8386486351887,0.9558386486351887,13.5756923035309,upday_sell
2011-01-24,4,SELL,LOC,3607.7118448395313,0.927717,3346.9356095589956,3.3469356095589955,222.08093901523944,lot_tp
2011-01-24,4,SELL,LOC,3473.766118274791,0.927717,3222.6718819475345,3.2226718819475346,161.14899330257913,lot_tp
2011-01-24,4,SELL,LOC,1344.7939765251294,0.927717,1247.5882335199635,1.2475882335199635,-27.71682435899811,upday_sell
