profile,period,cagr,total,mdd,rec,worst_year,worst_month,expo,bh_total,bh_mdd
defensive,full 2002~2026-09,0.1130798050605677,12.5453348625728,-0.2750866655089865,383,-0.11643897007144732,-0.15163368161964141,0.12100909638046593,3.4613935233422124,-0.9959772951846454
defensive,real 2011~,0.13352215862261718,6.160361600021397,-0.2750866655089865,383,-0.11643897007144732,-0.15163368161964141,0.13160223882193278,158.54434073624935,-0.9046051582487771
defensive,OOS 2018~,0.1864642878811842,3.4329374285777448,-0.1453065438830432,278,-0.05965766516253779,-0.11496657959911472,0.11559663265719704,12.023589262083652,-0.9046051582487771
defensive,2026-07-24~,0.19056338568709275,0.027103832528836636,-0.05133294189194426,9,0.027103832528836636,0.01483573677909078,0.09094750293837528,-0.09604561210504514,-0.33260741986806186
balanced,full 2002~2026-09,0.16611286071689535,41.02603403115696,-0.3667208633747352,430,-0.1798026080490056,-0.21536410367898007,0.17192329090259392,3.4613935233422124,-0.9959772951846454
balanced,real 2011~,0.20021563531402609,16.576381566735,-0.3667208633747352,430,-0.1798026080490056,-0.21536410367898007,0.1818993884864001,158.54434073624935,-0.9046051582487771
balanced,OOS 2018~,0.28620951822024665,7.953793202876309,-0.17816617584981642,41,-0.12764986022942837,-0.16669103468880642,0.16149039796414236,12.023589262083652,-0.9046051582487771
balanced,2026-07-24~,0.45430657606979596,0.0591033826092382,-0.06759950605232312,6,0.0591033826092382,0.022001787065153433,0.1258360024439715,-0.09604561210504514,-0.33260741986806186
aggressive,full 2002~2026-09,0.21106634068829622,104.46949811308345,-0.5219639678208918,532,-0.35688681235278086,-0.3372557775793923,0.22996010670857708,3.4613935233422124,-0.9959772951846454
aggressive,real 2011~,0.24755853439579756,31.27259225109141,-0.5219639678208918,532,-0.35688681235278086,-0.3372557775793923,0.24274258874883037,158.54434073624935,-0.9046051582487771
aggressive,OOS 2018~,0.36490292117227585,14.018107870187102,-0.3640405553816912,183,-0.1456102159645486,-0.21844033421481324,0.22746152815649168,12.023589262083652,-0.9046051582487771
aggressive,2026-07-24~,0.7623742095739738,0.09076621428044862,-0.0972388865475653,6,0.09076621428044862,0.042723478717927144,0.17943502938034855,-0.09604561210504514,-0.33260741986806186
