initial_capital,baskets.budget_mode,baskets.count,baskets.slices,entry.first_slice_mult,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,,0.001,0.2478388594986205,0.0837715271407482,-0.2970898662616026,307,907,0.6697012153780851,0.2819736943399582,-0.1487224308710975,-0.1579773189819128,0.08811380744995322,0.03995396251233147,0.11819010136103374,337,0.7833827893175074,19200,0.2478388594986205,-0.5717766186516514,0.38127737824952973,-0.38552878472227214,0.1711198095207873,0.08689262255797958,-0.2970898662616026,0.2924792543461117,0.6145200319664713,0.10225328741397985,0.07622857168232944,-0.09885052731249733,0.7711498740046896,0.9590804877866388
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,40,True,2,0.02,20,,0.001,0.24724550072583346,0.08367945025119705,-0.2704185420774473,264,918,0.652491979647078,0.3094442030799479,-0.15746760828701156,-0.15024438621092717,0.09350906653384068,0.0631371259454127,0.12330764345606422,439,0.8223234624145785,18709,0.24724550072583346,-0.567942886297015,0.39930736089918173,-0.3798829953293103,0.1605990582848085,0.08371006355968302,-0.2704185420774473,0.30955741021526784,0.5803058646175372,0.11216024284147623,0.08180507811324711,-0.09928211989245217,0.8239658681932139,1.0209555199375913
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.001,0.24421319434959002,0.08320604773608586,-0.33067837870116357,356,887,0.67937874142565,0.2516222804251734,-0.1907287776736869,-0.16033314169776747,0.09013358617688362,0.0583689575797435,0.11107481064235754,327,0.7675840978593272,17230,0.24421319434959002,-0.5687849445337517,0.3901555153507722,-0.38552878472227214,0.16007534654593342,0.08354801901965558,-0.33067837870116357,0.25265643114561936,0.6056699277936108,0.10943582594063579,0.08029310815018453,-0.10052139656736103,0.798766341217502,1.0341267047056546
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,0.15,0.001,0.24116863656840867,0.08272585963704793,-0.2885059007361441,292,914,0.6814363580796341,0.2867388827263733,-0.1336907716379161,-0.15692685380916926,0.09455274389578984,0.03995396251233147,0.10920045095617618,320,0.7875,17650,0.24116863656840867,-0.578339002807382,0.3885048634620294,-0.3840771307658738,0.1567161537461604,0.08250012828002484,-0.2885059007361441,0.2859564676823582,0.608888606150318,0.1108214923553304,0.08106410810935039,-0.10302377246124617,0.7868485707009397,0.9853995069962528
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,40,True,1,0.02,20,0.15,0.001,0.2380855179076098,0.08223450794906872,-0.2710328860913096,441,1041,0.6794788574262602,0.3034115495540432,-0.17124051356587333,-0.1386971300699129,0.09446862390986165,0.07037158829332456,0.1078706031480656,421,0.7885985748218527,16000,0.2380855179076098,-0.602736237190606,0.408436089914621,-0.3798829953293103,0.14047317503537443,0.0772127080740379,-0.2710328860913096,0.2848831711441295,0.576403288302308,0.1252630263857324,0.08886203703183759,-0.10446717900833946,0.8506215815853884,1.0860955232685165
100000000,fixed,4,4,2.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,,0.001,0.23743471759262183,0.0821301269611252,-0.30849484987039044,299,916,0.6558963060844084,0.2662285188735921,-0.14579247965538977,-0.15086109400794478,0.09161065336074539,0.04274909569220651,0.11896356255527767,332,0.7650602409638554,19441,0.23743471759262183,-0.556502148307007,0.38073025064211263,-0.36836278449882326,0.15507616028466856,0.08198310489504701,-0.30849484987039044,0.26575194020091747,0.5839636664647154,0.10934424486048885,0.08024200469568732,-0.1001618506407812,0.8011234235623892,0.9927423049249722
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,40,True,1,0.02,20,,0.001,0.2355312209724211,0.08182348157399622,-0.3393043057885464,320,958,0.6352660911248802,0.2411507315942769,-0.2047491303172625,-0.16113472558345143,0.09926749011812235,0.07185136468267017,0.12145586345520186,422,0.8033175355450237,16850,0.2355312209724211,-0.5488715832749402,0.3935151353285849,-0.3798829953293103,0.14478234319784294,0.07865270497674981,-0.3393043057885464,0.23180579684646258,0.5494560297984395,0.11829546964760042,0.08515262266573709,-0.1062716086078982,0.8012734895160745,1.0179129877630884
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.15,0.001,0.23522826261682475,0.08177448992585123,-0.30841758775122574,301,953,0.6803524826412021,0.26514210983263303,-0.16573958054088522,-0.1589870283149074,0.0964621471981816,0.0654390003288392,0.10617405140951369,319,0.7648902821316614,16399,0.23522826261682475,-0.587145538602846,0.3883917788428944,-0.38552878472227275,0.14757682529287314,0.07957174844583315,-0.30841758775122574,0.25800003503696717,0.5960542061690982,0.11548776959559341,0.08363035726226431,-0.10655551324537105,0.7848524653030786,1.0146509308108425
100000000,fixed,4,4,2.0,0.25,1.0,0.1,,0.2,60,True,2,0.02,20,0.15,0.001,0.23283368863337844,0.08138544130329417,-0.3248083955161847,496,1096,0.6695542377919301,0.25056446331677057,-0.18618669657482356,-0.1474201510875195,0.10334810151057221,0.062479447550147976,0.11031024816048379,311,0.7813504823151125,17819,0.23283368863337844,-0.747712335918479,0.38962375062973714,-0.38247317256843866,0.14307602420939944,0.07808585880971175,-0.3248083955161847,0.24040591280166235,0.5808418909102562,0.11826016541506625,0.0851335814544616,-0.10733917586540331,0.7931268408583073,1.0106620985428358
100000000,fixed,4,4,3.0,0.25,1.0,0.1,,0.2,40,True,2,0.02,20,0.15,0.001,0.23250210303419594,0.08133131174607056,-0.37533919299582963,510,1414,0.6398884601071478,0.21668750096922126,-0.19685754815613232,-0.15015820786323142,0.1102165424789219,0.06330154554422887,0.11882808515146565,421,0.8171021377672208,16993,0.23250210303419594,-0.8078480580499027,0.4006321182316283,-0.3798829953293103,0.1359884914789804,0.07568358964914612,-0.37533919299582963,0.20164051892653545,0.5421838175973821,0.12549434070337634,0.0889835605931879,-0.10944590459932024,0.8130369146196501,1.0152984460581063
