regime.ref_vol_bear_abs,regime.ref_vol_bear_rel,regime.bear_max_baskets,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
0.04,2.2,1,1.8631504558462915,0.16716116680544135,-0.3667208633747361,430,896,0.8702523278798203,0.4558267159036071,-0.1798026080490056,-0.21536410367897996,0.11382557624502035,0.12533799904564977,0.16527192895382498,325,0.7907692307692308,18001,1.863342094178893,-3.4030874381652754,4.891702431646585,-3.4030874381652754,0.23247323381003213,0.10098579409414032,-0.3667208633747361,0.2753750991007767,0.5922218983235078,0.9883368305938436,0.2966590934409499,-0.17816617584981598,1.6650696577279445,1.3319343146922265
0.04,,1,1.8631504558462915,0.16716116680544135,-0.3667208633747361,430,896,0.8702523278798203,0.4558267159036071,-0.1798026080490056,-0.21536410367897996,0.11382557624502035,0.12533799904564977,0.16527192895382498,325,0.7907692307692308,18001,1.863342094178893,-3.4030874381652754,4.891702431646585,-3.4030874381652754,0.23247323381003213,0.10098579409414032,-0.3667208633747361,0.2753750991007767,0.5922218983235078,0.9883368305938436,0.2966590934409499,-0.17816617584981598,1.6650696577279445,1.3319343146922265
0.04,1.8,1,1.716567827777145,0.1634227951890037,-0.3667207437818292,430,896,0.8566150719103346,0.4456328090516412,-0.1798026080490056,-0.21536410367897996,0.1135891548969684,0.1256561157944966,0.16377771531016305,325,0.7692307692307693,17853,1.716744389039431,-3.282717007060095,4.4734112340854875,-3.282717007060095,0.23131548873220673,0.10071867219030683,-0.3667207437818292,0.2746467820490317,0.5909648228034503,0.9073974965491676,0.2853632909667201,-0.17609515072915471,1.6205062421373917,1.3006011701923574
,,1,1.6865232335261766,0.16611286071689535,-0.3667208633747352,430,896,0.8459265149932856,0.45296812182499757,-0.1798026080490056,-0.21536410367898007,0.12015949065442123,0.14719817023362194,0.17192329090259392,320,0.790625,18031,1.6866008671353392,-3.1762051342569664,4.286789810755317,-3.1762051342569664,0.22646071117569544,0.10170974655342668,-0.3667208633747352,0.2773492231051337,0.5858880382503726,0.913273488635829,0.28620951822024665,-0.17816617584981642,1.6064189336448709,1.2544453795203458
,2.2,1,1.6865232335261766,0.16611286071689535,-0.3667208633747352,430,896,0.8459265149932856,0.45296812182499757,-0.1798026080490056,-0.21536410367898007,0.12015949065442123,0.14719817023362194,0.17192329090259392,320,0.790625,18031,1.6866008671353392,-3.1762051342569664,4.286789810755317,-3.1762051342569664,0.22646071117569544,0.10170974655342668,-0.3667208633747352,0.2773492231051337,0.5858880382503726,0.913273488635829,0.28620951822024665,-0.17816617584981642,1.6064189336448709,1.2544453795203458
0.04,1.5,1,1.6287141027827132,0.1610359118028677,-0.3667207437818292,430,896,0.8608025285466958,0.43912408701557326,-0.1798026080490056,-0.21536410367897996,0.11345715741072761,0.1256561157944966,0.16194229360403284,323,0.7678018575851393,17620,1.6288816276618567,-3.126589258505085,4.221368575308259,-3.126589258505085,0.23131548873220673,0.10071867219030683,-0.3667207437818292,0.2746467820490317,0.5909648228034503,0.8562725572957773,0.27781313424364384,-0.18111732984300755,1.53388488271361,1.3380567010891853
,1.5,1,1.5843109174928502,0.16319303662248053,-0.3667207437818284,430,896,0.8596468054642233,0.44500628718065716,-0.1798026080490056,-0.21536410367898007,0.11784638125392012,0.14752491422970104,0.16699386931781215,319,0.7711598746081505,17560,1.5843838460906396,-2.965153083485074,4.003405312531244,-2.965153083485074,0.22531644911674698,0.1014311957929972,-0.3667207437818284,0.27658974168459155,0.584610592565918,0.8562725572957866,0.2778131342436452,-0.18111732984300666,1.5338848827136249,1.3380567010891897
,1.8,1,1.5595567497498368,0.16245943774450455,-0.3667207437818284,430,896,0.8350460954105217,0.4430058579973754,-0.1798026080490056,-0.21536410367898007,0.12031323764013983,0.14752491422970104,0.17018009435946205,321,0.7694704049844237,17815,1.5596285388700635,-2.788751092709389,3.9342601051578323,-2.788751092709389,0.22531644911674698,0.1014311957929972,-0.3667207437818284,0.27658974168459155,0.584610592565918,0.841483361868321,0.2755634458065568,-0.17609515072915505,1.5648553901997562,1.2337583222167698
0.035,2.2,1,1.5322185919661044,0.15820258888351701,-0.3667208633747364,430,896,0.8335013707356476,0.43139784147447463,-0.17980260804900716,-0.21536410367897985,0.1134296695680051,0.12527821939586645,0.16388583851015998,325,0.7815384615384615,17681,1.5323761915927068,-3.10827968510174,3.9406037955708673,-3.10827968510174,0.23439681841398677,0.10138305753180998,-0.3667208633747364,0.27645838472029055,0.5942268389577476,0.7904704098015162,0.2675596560334488,-0.1781661758498161,1.5017421503113266,1.2306194235962766
0.035,,1,1.5322185919661044,0.15820258888351701,-0.3667208633747364,430,896,0.8335013707356476,0.43139784147447463,-0.17980260804900716,-0.21536410367897985,0.1134296695680051,0.12527821939586645,0.16388583851015998,325,0.7815384615384615,17681,1.5323761915927068,-3.10827968510174,3.9406037955708673,-3.10827968510174,0.23439681841398677,0.10138305753180998,-0.3667208633747364,0.27645838472029055,0.5942268389577476,0.7904704098015162,0.2675596560334488,-0.1781661758498161,1.5017421503113266,1.2306194235962766
