baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,risk.vol_target_annual,risk.dd_scale_start,risk.dd_scale_floor,risk.dd_scale_min_mult,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,,,0.3,0.25,0.001,3.3644647831999066,0.2001757421973407,-0.4692172818149025,777,1198,0.7681986126377078,0.42661630326801625,-0.3092911248388788,-0.3357164885353995,0.18424239065401718,0.2990792502466294,0.2501594950103036,317,0.750788643533123,17361,0.2552702674773364,0.10840455215897382,-0.4692172818149025,0.23103273549446415,0.5162481112063801,1.6954831104528292,0.37767324933090496,-0.34933856556905296,1.0811095211194228,1.1330763310122773
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,,0.1,0.3,0.25,0.001,0.2920006487433076,0.09016160830005293,-0.3887984435728391,6408,6482,0.6049663364367198,0.23189806901364737,-0.32158079224465963,-0.2655877840628966,0.27348955999018604,0.700427490956922,0.07276963018497794,313,0.7603833865814696,15141,0.017520638431299286,0.01560898123257326,-0.3887984435728391,0.04014671738172483,0.18885785234722086,0.61831489751009,0.23978862510645116,-0.2529599922679796,0.947931026391023,1.0705900279703462
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.3,,0.3,0.25,0.001,0.7812349146585779,0.13166688849897223,-0.330759377288813,399,1014,0.7509863280017192,0.39807454463793823,-0.15466028044743263,-0.15573833461411812,0.12955134528041046,0.15011509371917134,0.18234159682847934,305,0.7508196721311475,14472,0.17181489155074323,0.08709816578217211,-0.330759377288813,0.26332788051574907,0.5528077238730682,0.48562538069443795,0.21127947594780805,-0.25073459793339714,0.8426418918219272,1.0533546291530425
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.3,0.1,0.3,0.25,0.001,0.19459135352153956,0.07468673621633992,-0.31825786507984866,1811,3589,0.5825263393235911,0.23467365432619094,-0.15159443660344463,-0.1371961648793294,0.18658887825119322,0.40381453469253537,0.10688210802622661,306,0.738562091503268,15551,0.015883437602132608,0.014290822868243458,-0.31825786507984866,0.04490328264050282,0.1763117982041478,0.41196419760185166,0.19295777437154715,-0.14732336102464783,1.309756803194739,1.1468561944285314
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.45,,0.3,0.25,0.001,1.7273744013125634,0.16808068071019266,-0.42487711345823964,454,1051,0.7634366499030334,0.3955983398167032,-0.20609388883224,-0.2380502189510605,0.16265165385422617,0.2405458730680697,0.2227567708953413,310,0.7516129032258064,16090,0.19850308838344083,0.09459015146495298,-0.42487711345823964,0.2226294344146877,0.5095715002990944,1.0318823378072293,0.3061775936655047,-0.23544281745270879,1.3004329330496724,1.1466503994291906
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.45,0.1,0.3,0.25,0.001,0.2632749833868326,0.08610536729472096,-0.3171218515590192,1796,6223,0.6291077302627408,0.27152139428870603,-0.2304408423228268,-0.15690452039797376,0.2233152198059124,0.6420585333771786,0.08838885660020503,310,0.7483870967741936,16076,0.00915308725327962,0.008592338036349512,-0.3171218515590192,0.02709475236130299,0.13668768702415315,0.628213279976132,0.24172808923850453,-0.18069677816107388,1.3377553916485831,1.124541096524648
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,,,0.3,0.25,0.001,3.3902835236597744,0.20055076872984157,-0.43132442117877456,441,1345,0.8022020983156855,0.46496502141416574,-0.28342802410232204,-0.3372559163203267,0.1749610356257565,0.2808286747780335,0.22822972823231927,319,0.7492163009404389,16521,0.28675186769068667,0.11510243613357862,-0.43132442117877456,0.2668581477928215,0.5649415273625028,1.55131919331517,0.36439104538986467,-0.36611528036079766,0.9952904588706765,1.132943898432499
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,,0.1,0.3,0.25,0.001,0.4890630118313585,0.11131001059804779,-0.31628813009038037,1767,6113,0.6752093392899978,0.3519259814342087,-0.24188267013102616,-0.2562934107255337,0.22676283734600275,0.6507727721144361,0.0934823443594372,316,0.740506329113924,16545,0.020803654766445828,0.018179273125302764,-0.31628813009038037,0.05747693762680243,0.21617058300956604,1.0017931533967699,0.30213183534134513,-0.24839531847305218,1.2163346604059395,1.1403851648387486
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,0.3,,0.3,0.25,0.001,0.5758354400213482,0.11829736030832905,-0.35706482993851374,441,1287,0.6983624883151401,0.331304991109597,-0.19211714302739313,-0.17631902502742447,0.14300236949570577,0.1954949029924367,0.1742590027820005,300,0.72,13882,0.14902655290318811,0.08004406704114242,-0.35706482993851374,0.22417236403519758,0.5272420383349204,0.38358977703796165,0.18529324369745437,-0.3446560402453164,0.5376178626249171,0.9505544017716112
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,0.3,0.1,0.3,0.25,0.001,0.17138501371223983,0.07009386193230482,-0.31610129690156996,2829,6104,0.5838914752616269,0.22174493625735167,-0.15159443660344463,-0.12181830228117896,0.20099429313025824,0.5146333442946399,0.09206034011650015,307,0.7231270358306189,15329,0.00384629504366996,0.003742265134984768,-0.31610129690156996,0.011838816137948537,0.08758205389752514,0.4432992079448716,0.20101099448526072,-0.1296839703967949,1.5500064801395734,1.153461553467056
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,0.45,,0.3,0.25,0.001,1.9838155751526398,0.17464152404079414,-0.49059821673327464,510,1110,0.8056599636773865,0.35597667925430343,-0.3016551409737025,-0.2645632993959377,0.16927168485314464,0.24958895100295955,0.20572945572158588,298,0.7483221476510067,15144,0.237768888496477,0.10440862578830656,-0.49059821673327464,0.21281900795222577,0.5680241421278467,1.0271731086767997,0.305550619698167,-0.22215519692492436,1.3753926260902438,1.147731029676331
