rules.ma_window,rules.exit_band,rules.mom_window,rules.trail_pct,rules.target_vol_annual,rules.cooldown_days,cagr,mdd,calmar,rec,uw,worst_year,expo,is_cagr,is_mdd,oos_cagr,oos_mdd,n_trades
100,0.0,20,0.15,0.25,5,0.04287517554748521,-0.48365372666292183,0.0886484961943996,497.0,1822,-0.2761417236218817,0.20364372319086452,0.015537548424806369,-0.48365372666292183,0.09509996272022314,-0.35031183701905033,402
100,0.0,20,0.15,0.25,20,0.02348514963815007,-0.558683237026778,0.042036610518572645,2467.0,4495,-0.23707457305282165,0.16662772066345086,0.007181708214244464,-0.558683237026778,0.05416257181405726,-0.3152477006896145,304
100,0.0,20,0.15,0.35,5,0.033207388759360024,-0.5864134192890289,0.05662794824787751,1638.0,3609,-0.3503040423786159,0.28415975932953424,-0.009972653023161082,-0.5864134192890289,0.11757235993358828,-0.44057265761304265,435
100,0.0,20,0.15,0.35,20,0.011590449528422031,-0.6771394435888887,0.017116783903462777,2733.0,4761,-0.3002154936473477,0.229254126219006,-0.01617102020425354,-0.6771394435888887,0.06467740032854441,-0.3974434009629918,326
100,0.0,20,0.15,0.5,5,0.04252690920574187,-0.6846120675315017,0.06211825824087601,700.0,3327,-0.4109236645445091,0.3805665893686023,-0.013183380759647534,-0.6846120675315017,0.1532936616325582,-0.5461575465655264,418
100,0.0,20,0.15,0.5,20,0.011366995350349463,-0.7866806602136807,0.014449313330344138,2773.0,6628,-0.4046725396767249,0.3061022016584604,-0.025220695443122332,-0.7866806602136807,0.08223420820753868,-0.47166384465014255,312
100,0.0,20,0.25,0.25,5,0.07443550683851696,-0.424393878719482,0.1753925081650806,344.0,3296,-0.18598034300877042,0.22991807803522213,0.03667497641271589,-0.424393878719482,0.14227017390440344,-0.30691543208464644,300
100,0.0,20,0.25,0.25,20,0.08604135890965425,-0.5169540472831032,0.16643908556640977,420.0,1339,-0.15119965140701996,0.21163504186616425,0.04164764610332772,-0.5169540472831032,0.16733773730014923,-0.26615144563204984,262
100,0.0,20,0.25,0.35,5,0.07542785981003419,-0.5213285795308928,0.1446839148506043,346.0,4459,-0.2584489325247723,0.319888131348255,0.023688496595044573,-0.5213285795308928,0.16997768559249904,-0.44158070832188867,344
100,0.0,20,0.25,0.35,20,0.08904306468422551,-0.6146067177969032,0.1448781181621412,495.0,2576,-0.23101759125208932,0.2928918837717787,0.029041764153969085,-0.6146067177969032,0.20095449274819321,-0.3793303010194795,297
100,0.0,20,0.25,0.5,5,0.08562831163135076,-0.6895671670616133,0.12417689780131283,1933.0,4562,-0.3366630893873682,0.4294754628937233,0.021073055836295262,-0.6895671670616133,0.20430765394377826,-0.580196086565163,331
