baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,0.25,0.001,2.4124601144643965,0.18400820763842796,-0.3976124461584226,441,971,0.7955816834207272,0.4627828163233922,-0.23802489922362446,0.20809653606015252,317,0.7602523659305994,16549,0.26608648350390246,0.110772836138892,-0.3976124461584226,0.2785949917039474,0.5683726381879672,1.1556357118994596,0.32189072213708436,-0.24696727473401947,1.3033739894638123,1.123573337310469
4,4,0.25,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,1.9096811047126225,0.17283069472461987,-0.3975461019111449,467,1055,0.7932455957644877,0.43474377913344264,-0.2631825621041147,0.1838064367787015,308,0.7694805194805194,16432,0.2134759156956185,0.09848669927461806,-0.3975461019111449,0.24773654879561796,0.5417628427460897,1.0999339843958191,0.3149932655075529,-0.19632159840636343,1.6044758603460054,1.158514938011169
4,6,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.25,0.001,1.4559952229491238,0.1600595700899492,-0.34499519538998014,447,958,0.830792493583208,0.4639472439870329,-0.226326528054543,0.16247147789749203,309,0.7766990291262136,17195,0.18839019963391707,0.09183889429029168,-0.34499519538998014,0.2662034008516485,0.560876342210329,0.9151583953688173,0.2899215448424637,-0.18748215208686347,1.5463954387942933,1.2278763662817762
4,6,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.001,1.3627400792309188,0.15697769385606497,-0.35937465878288466,411,930,0.8019210468973649,0.43680791068493974,-0.19012646500933206,0.17394411725923534,316,0.7689873417721519,17946,0.17730980632762666,0.08870340266925214,-0.35937465878288466,0.24682709395723446,0.5281238346374209,0.8930759351676023,0.2866647191623226,-0.18643346290190943,1.5376248163836828,1.2228779072406968
4,6,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,0.3,0.001,1.118891185939471,0.14788326434815846,-0.38016112532562363,413,1218,0.7813452645720298,0.38900154302071355,-0.19012646500933206,0.1625432483034627,311,0.7459807073954984,17296,0.12382988846206959,0.0713705988173976,-0.38016112532562363,0.18773776186680252,0.4576057286379891,0.9764822317953182,0.2986534372452174,-0.181379523378163,1.6465664463267276,1.280020254329079
4,4,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,1.1107385342931961,0.14754846335301086,-0.39116663482798564,538,1110,0.7622014842174744,0.3772010448127685,-0.2739514382000795,0.15706744796883032,303,0.7788778877887789,15891,0.15383861606664959,0.08159055462223863,-0.39116663482798564,0.208582602292033,0.5070309228453564,0.8035617738676393,0.27278314374969437,-0.19261046147430572,1.4162426155968881,1.127122813369999
4,4,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,,0.001,1.0530836712624894,0.1451138401627068,-0.37265949132636045,489,1043,0.7423128710466839,0.38940062856368207,-0.22091270097437743,0.16465861896147044,309,0.7702265372168284,16508,0.14247100564290974,0.0778838192853204,-0.37265949132636045,0.20899459452412775,0.4778521703360296,0.8097675712863128,0.2737831587027797,-0.19264943567050918,1.4211469540509558,1.1360181828399467
4,4,0.25,1.0,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.9470465935034613,0.140296429656382,-0.3877955336292438,448,1096,0.7272953078055803,0.3617793849851658,-0.26079146056675284,0.1598041349586987,310,0.7645161290322581,16199,0.11676269511302778,0.06874203005325863,-0.3877955336292438,0.17726359406444378,0.4379577265039305,0.8491568098765647,0.2799959214581942,-0.1922318824396625,1.456552981246901,1.160698878093137
4,6,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,0.3,0.001,0.7818059134586953,0.13169937456349978,-0.3193015491271428,409,962,0.771381417385225,0.41246080679382596,-0.20315062744266654,0.1473822581587655,310,0.7741935483870968,17209,0.13718873351760583,0.07609594924043317,-0.3193015491271428,0.2383200126916155,0.5121040050768662,0.5962260688460429,0.23537605736651268,-0.18872381938349958,1.2471984624697139,1.1675366382369592
4,6,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,,0.001,0.7772773929331441,0.13144113570499694,-0.34570803621046753,430,952,0.759995248785813,0.38020850526302313,-0.1886928409345472,0.15156512069595823,317,0.7760252365930599,17554,0.1383632659138892,0.07649725386150052,-0.34570803621046753,0.22127704840198997,0.5033335376122204,0.5871698951568358,0.2335319846481676,-0.18774163870504412,1.2439008536356895,1.16489405644873
