regime.mode,regime.fast_window,regime.slope_days,regime.eval_freq,regime.band_atr_mult,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,worst_month,ulcer_index,pct_days_dd_gt20,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,pnl_yr_cap,mdd_cap,test_pnl_yr_cap,test_mdd_cap,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
ma,50,0,daily,0.0,1.994594809495844,0.17400547033349256,-0.2779604822604499,401,896,0.9348220404109282,0.6260079451526094,-0.1040841469810948,-0.2191330712297508,0.09539883493444574,0.01519359581767685,0.1553224546945987,334,0.7425149700598802,16718,1.9946866241775507,-3.764824833822446,4.830984431980889,-3.764824833822446,0.39424674976577223,0.13436501240514542,-0.2779604822604499,0.48339609757636326,0.7885800679055448,0.6485535575307441,0.2429845835907376,-0.2307586715306642,1.052981376513293,1.147413785745701
ma,50,0,daily,1.0,2.684596972679975,0.18817724360706567,-0.28921912057232735,440,729,0.9615972367561695,0.6506390145806652,-0.15532525190700386,-0.19451924761546124,0.10074764279362074,0.10227087077274954,0.16593633157057872,317,0.7886435331230284,17684,2.6847205493660193,-5.011137123103663,6.778552734841299,-5.011137123103663,0.3834781611655797,0.1326380828383087,-0.28921912057232735,0.45860758644115585,0.7545330299284138,0.9320267883912521,0.2888819213845131,-0.17555774597095186,1.6455094008344813,1.2688711751401254
ma,50,0,daily,2.0,1.4759517458332336,0.1598987282291351,-0.3639240106861642,377,930,0.815868310108017,0.4393739449278228,-0.17980260804900627,-0.21536410367898007,0.12522821785464017,0.1601045580787453,0.1721705456482175,319,0.786833855799373,18085,1.476019686469153,-2.819498542899671,3.7426757089271723,-2.819498542899671,0.2007732998995822,0.09519412420838669,-0.3639240106861642,0.261576926537224,0.5526719096705215,0.8683576589128,0.2796290783704718,-0.19885497890061998,1.406196012372512,1.229035107546635
ma,50,0,weekly,0.0,2.248973403754436,0.17980143671898752,-0.2648882063610727,612,681,0.9015441645650601,0.678782340629759,-0.11234647844509738,-0.17083917677661953,0.0896481406392954,0.03236351748937561,0.16666458984558433,325,0.7723076923076924,17602,2.24907692792699,-4.277578910248354,5.509989368316016,-4.277578910248354,0.41146382705710194,0.13713614314119882,-0.2648882063610727,0.5177132837475847,0.7600963559769931,0.7168269250733224,0.25527054225324886,-0.24438330911544115,1.0445498228877195,1.1067439027117085
ma,50,0,weekly,1.0,2.5280969493135266,0.18539630730471246,-0.2747101899142589,299,826,0.9181389345999555,0.6748796153596537,-0.1226844899431564,-0.19054484619948064,0.09678560261435232,0.06145799280810722,0.16865214693225883,318,0.7955974842767296,17784,2.528213322030241,-4.7717665419884865,6.3101143869596905,-4.7717665419884865,0.3979884209664451,0.1350415395565674,-0.2747101899142589,0.4915781959115381,0.7472177589033703,0.8409114462023287,0.2754758307330383,-0.2516274459509874,1.0947765641856735,1.1654386958351717
ma,50,0,weekly,2.0,1.7434562756838017,0.1677587824152149,-0.3886156454234396,368,789,0.8349380230247989,0.4316830379600986,-0.15125371065600257,-0.17567513602653806,0.10528371034241646,0.09235044132069303,0.17258282771604053,318,0.7924528301886793,17956,1.7435365300203012,-3.356174071646519,4.284260516311812,-3.356174071646519,0.3098198927233543,0.11973272763596543,-0.3886156454234396,0.3081006363125278,0.6543412318050086,0.7055456553489594,0.25330354601589233,-0.2516274459509876,1.0066610383401149,1.111342158661018
ma,50,0,monthly,0.0,1.5462951620242287,0.16223502364413944,-0.44829648396844635,481,1104,0.7657848342699625,0.36189225087823457,-0.2230471764531572,-0.24246089643058755,0.13774903154239848,0.16584887144259078,0.18192939577167944,305,0.8032786885245902,18483,1.5463663406904173,-3.0242980402668427,3.777868739780834,-3.0242980402668427,0.2859548810689077,0.1150726274760745,-0.44829648396844635,0.25668866830589276,0.6092131479760792,0.6669969565119636,0.24639648033352324,-0.2975313325878688,0.828136244308844,0.9953019904013715
ma,50,0,monthly,1.0,2.002232908906425,0.1743772251754503,-0.44829648396844546,481,716,0.8273635840532428,0.3889774544556194,-0.22304717645315808,-0.24246089643058732,0.11672154273082924,0.12446843310435067,0.1769670076343949,300,0.8266666666666667,18213,2.002325075183184,-3.8929134279349076,4.939576715781087,-3.8929134279349076,0.3452529151139333,0.1263307558000184,-0.44829648396844546,0.28180179929519705,0.6751324673470678,0.7458053228974159,0.26021699123885056,-0.29753133258786946,0.8745868509898905,1.0456226867020484
ma,50,0,monthly,2.0,1.750912524370121,0.16804995773221854,-0.3541747614589835,356,904,0.7898881968483726,0.4744831535707272,-0.22014306277567675,-0.2424608964771039,0.12360133445088485,0.16552175335296043,0.18078228084640682,300,0.8,18350,1.7509931219307664,-3.414118340808018,4.344337429978716,-3.414118340808018,0.2890663309918295,0.11570623434885596,-0.3541747614589835,0.3266924889628414,0.6141933161185215,0.761957159415581,0.2629103757467053,-0.29421156090736045,0.8936099415532108,1.0491491567283169
ma,50,20,daily,0.0,1.3803835019316995,0.1568003423726645,-0.30096618179878953,470,1007,0.8686742284654223,0.520989904697974,-0.13164309147513753,-0.2202796144221837,0.09946842322338607,0.04558078745303055,0.14610627324278952,298,0.7885906040268457,16001,1.3804470433944869,-2.721799109580652,3.2885872206999753,-2.721799109580652,0.30195377825246456,0.11813756610701143,-0.30096618179878953,0.39252770992719743,0.7314304060791086,0.5536449696513572,0.2241800076923366,-0.27690996572301896,0.8095772469112728,1.0610307349734613
ma,50,20,daily,1.0,1.9462535899822526,0.1728461598045017,-0.29325149639438386,419,930,0.913132051459113,0.5894127120567079,-0.22496373178304985,-0.20655633133394358,0.09396547779929074,0.05995752328050972,0.15168577608985803,290,0.803448275862069,16476,1.94634317943322,-3.8052977015517464,4.849889741530223,-3.8052977015517464,0.31233335022634606,0.12014283762735212,-0.29325149639438386,0.40969215538384207,0.7298679390019523,0.7939941877072938,0.2681252013821893,-0.1951854453465045,1.3736946466792026,1.1690425210845845
ma,50,20,daily,2.0,1.2556592275427476,0.15244154421344414,-0.3706066951505439,510,1021,0.8150673474255558,0.4113297093877944,-0.2626054698332717,-0.23695319837305207,0.1152990382840488,0.09818657082176115,0.15461851901116622,293,0.7918088737201365,16761,1.2557170277294125,-2.4829835606786004,3.1363002264953517,-2.4829835606786004,0.19659039412951307,0.094077488098393,-0.3706066951505439,0.2538472438016206,0.5880853026267017,0.7410900176282742,0.2594222571213667,-0.21698807144358656,1.1955599927474,1.1341562079506067
ma,50,20,weekly,0.0,1.4615911728094944,0.15952988568971316,-0.27222769531031166,421,923,0.8387403653622422,0.586016369524289,-0.22019472730870582,-0.21138025988843545,0.09093808116370843,0.05165086629617522,0.1533877860390091,295,0.7864406779661017,16320,1.4616584524031635,-2.8744371411501057,3.5275690003871634,-2.8744371411501057,0.29303918521999356,0.11643999362063973,-0.27222769531031166,0.42773015246633916,0.6876610564089186,0.6071453714095005,0.23505036258921463,-0.22932064384843265,1.0249856212010682,1.0509390572690376
ma,50,20,weekly,1.0,1.668847564237678,0.16570908924285788,-0.3050509606204629,606,958,0.8545065080786869,0.5432177263294351,-0.2014994957791788,-0.20454764733938802,0.09437843544766143,0.04985289310232102,0.1570074008631166,283,0.7879858657243817,16644,1.6689243842049208,-3.1585277072330284,4.103900339258999,-3.1585277072330284,0.29437515080544396,0.11670738690070648,-0.3050509606204629,0.3825832466264908,0.6808307886434625,0.70401664158819,0.25303510800675055,-0.2331130847023507,1.0854607682354562,1.100820291333235
ma,50,20,weekly,2.0,1.3952094615931063,0.15737687357235552,-0.3352103861935981,524,1007,0.8175359701391149,0.46948686572457143,-0.21927963374130477,-0.2114931887214263,0.10363140582750432,0.05442955214122262,0.16049652932040986,287,0.794425087108014,16884,1.3952736855207037,-2.747461326615801,3.4281931022943724,-2.747461326615801,0.24717264313766155,0.10664059310451268,-0.3352103861935981,0.3181303369368849,0.6208579508589823,0.6772686339435956,0.24826589565028678,-0.2331130847023507,1.0650019751884965,1.1087033952674528
ma,50,20,monthly,0.0,1.5446114267470556,0.16218425380029133,-0.33956175040448033,538,970,0.7912472929777817,0.47762815925851526,-0.27094863114594536,-0.20319803112450252,0.1175498402711522,0.14327772325809618,0.16598194952220938,288,0.8263888888888888,17288,1.5446825279079694,-3.021090325221284,3.7766640363957795,-3.021090325221284,0.2824882620265069,0.11436046003326927,-0.33956175040448033,0.3367884041622621,0.6356538640332887,0.670383895228688,0.24701528341720658,-0.2944049318855583,0.8390324232517508,1.0092862449301978
ma,50,20,monthly,1.0,1.9890272730072958,0.17406383665784597,-0.33956175040448056,538,721,0.8546180432507118,0.5126132034909818,-0.27094863114594525,-0.20319803112450252,0.10073435983799157,0.08832188420019627,0.16296003414344218,286,0.8426573426573427,17197,1.989118831405577,-3.8677551280916296,4.902125782666851,-3.8677551280916296,0.34371684678439113,0.12605895443845383,-0.33956175040448056,0.3712401478914937,0.7107956054412022,0.7395538872019788,0.25916251527912104,-0.2944049318855585,0.8802927098376975,1.0526471292759587
ma,50,20,monthly,2.0,1.546817168473755,0.16225075327375027,-0.3395617504044809,538,970,0.7864976819964743,0.4778239983757876,-0.27094863114594614,-0.20319803112450252,0.11779708082912041,0.13689892051030422,0.16826975092317661,286,0.8181818181818182,17403,1.5468883711688117,-3.025292524355138,3.831254271296701,-3.025292524355138,0.25652701531337385,0.10880485119479055,-0.3395617504044809,0.32042728919021013,0.6072552380238938,0.7351202019256515,0.2584105052871546,-0.29440493188555783,0.8777383708626352,1.039173172704203
ma,50,60,daily,0.0,0.9040558382254301,0.13755509155012136,-0.34478940109163037,386,1016,0.7738434688396394,0.39895394439217424,-0.10030977458342005,-0.2367931719249613,0.11066505491311436,0.047377879431465444,0.1435984150050717,284,0.7676056338028169,15511,0.9040974534941739,-1.7784533978256059,2.112243324669723,-1.7784533978256059,0.21848897937059375,0.0997474256560702,-0.28006322344696966,0.3561603856029226,0.6266760661412143,0.4594631765290552,0.20301898707036115,-0.34478940109163037,0.5888202665963254,0.9811495616089165
ma,50,60,daily,1.0,1.4759020261875262,0.15989716549587718,-0.2615879697469211,133,909,0.8520452899810677,0.6112558067963643,-0.1939076324109934,-0.25190478360480484,0.09906880401732274,0.07253716712955399,0.14937220058663336,273,0.8021978021978022,16106,1.4759699645347635,-2.538638409472383,3.650094332913236,-2.538638409472383,0.2503252254651046,0.10729669175616041,-0.26134982963597786,0.4105481603168023,0.6576901895833765,0.7135844930991309,0.25470762425997395,-0.2615879697469211,0.9736977755758275,1.1240814104454668
ma,50,60,daily,2.0,0.9904310173473833,0.1416518468842225,-0.3464120575475267,504,1015,0.7649267709835614,0.40891142152229587,-0.22393885865836438,-0.2573410037559334,0.12086778182239574,0.1514458421826499,0.15193727223445044,279,0.7813620071684588,16424,0.9904766086164358,-1.8899105577048776,2.4657389843232282,-1.8899105577048776,0.15830721564662023,0.08299830196685987,-0.3464120575475267,0.2395941485249045,0.5285479388288228,0.6811790312492738,0.2489719407403148,-0.2685127603211017,0.9272257320008965,1.0980791653815392
ma,50,60,weekly,0.0,0.8787305356582176,0.1363536449940712,-0.31689831129265844,429,864,0.7400742960247345,0.43027570717518715,-0.17069085151574193,-0.2511102429154517,0.10348476375581159,0.07012095456031382,0.1498161829779153,279,0.7777777777777778,15819,0.8787709851590654,-1.8007516329424922,2.0446394214750865,-1.8007516329424922,0.21681425595473264,0.099380980198299,-0.25754161230489747,0.3858831949869297,0.6074903145082723,0.448834151928701,0.2004411871907128,-0.31689831129265844,0.63250948347782,0.92424608709248
ma,50,60,weekly,1.0,1.1269607041774123,0.14757630335968508,-0.2892183164018276,154,934,0.7739780349985154,0.5102591882688676,-0.16210912209378225,-0.26104862302252363,0.1016331288981835,0.06292906178489703,0.15339556353809655,272,0.7977941176470589,16156,1.1270125801463349,-2.154034639508489,2.7399378787739237,-2.154034639508489,0.2155888691812226,0.0990727774794451,-0.281170282096342,0.35235863740926276,0.5985539372487656,0.6042268724554003,0.23447607258703473,-0.2892183164018276,0.8107234545313641,1.0192570356969364
ma,50,60,weekly,2.0,0.9956684965798387,0.1419614702218719,-0.2892183164018286,154,951,0.753521809858331,0.49084536549419705,-0.16210912209378225,-0.2610486230225241,0.10366991604491613,0.05557371690094802,0.15516674076432582,278,0.7805755395683454,16389,0.9957143289392052,-1.8605581570710055,2.414497646976108,-1.8605581570710055,0.19353596427969122,0.09329868652956463,-0.2838484685221573,0.32869187921047993,0.5659619344642144,0.5780276672652006,0.22922620477415578,-0.2892183164018286,0.7925715342858087,1.0228157778216609
ma,50,60,monthly,0.0,1.1869151913706324,0.1500193043190039,-0.28412539501028256,453,958,0.7664263943774113,0.5280038565844305,-0.22361003844103755,-0.19102473981190915,0.10827020686727787,0.08112528622832843,0.15479579169933463,273,0.8131868131868132,16505,1.186969827149283,-2.1862266108558512,2.883478038330206,-2.1862266108558512,0.22777985823442762,0.10213911505277373,-0.28412539501028256,0.35948604681773444,0.5949572732851767,0.6105782454627205,0.23572324488466645,-0.2628658302002689,0.8967435771514184,1.0106966156387285
ma,50,60,monthly,1.0,1.437314627716878,0.15883738906890654,-0.2833723202294286,453,934,0.8132151734431708,0.5605254209031637,-0.2236100384410381,-0.19102473981190948,0.09681116107244989,0.06460582270199541,0.15237477511105232,272,0.8272058823529411,16408,1.437380789818789,-2.5538470582425687,3.516842139349765,-2.5538470582425687,0.2628490142606215,0.11019548354711617,-0.2833723202294286,0.3888717269841242,0.6490352722559505,0.6648441570962168,0.24600192329325488,-0.2628658302002693,0.9358459526893763,1.0417219487816973
