baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.lot_tp_sell_frac,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,1.0,1.0,0.0,,0.2,60,False,1,0.02,20,0.15,0.001,3.2672772125347884,0.19873918761483922,-0.43274163231741825,242,1348,0.7364303246204271,0.4592559919658088,-0.2677471279816408,0.2502488374670996,368,0.5896739130434783,9076,0.3270701016377715,0.12290274993442796,-0.43274163231741825,0.28400953538086704,0.5482910190618125,1.3173018393353877,0.34049878962026536,-0.41455596221504964,0.8213578398460777,1.0038665726460723
4,4,0.25,0.5,1.0,0.0,,0.2,60,True,1,0.02,20,0.15,0.001,2.3785214701574002,0.18332621573489694,-0.42334991587096205,327,1218,0.7742976198281819,0.4330370902702037,-0.24495530618921602,0.21353940793014575,314,0.6337579617834395,8688,0.5069760113795576,0.1504628505515473,-0.4172215765142425,0.3606305594466565,0.684629594595077,0.5924727979432233,0.23461431755674345,-0.42334991587096205,0.5541853411593789,0.8939866788931657
4,8,0.25,1.0,1.0,0.0,,0.1,60,True,1,0.02,20,,0.001,1.9166122602958588,0.17300276773379664,-0.41762567103550885,452,1265,0.7837732511881207,0.4142531930684093,-0.2540421742372502,0.2128294844401118,357,0.7927170868347339,10953,0.1922959233907075,0.09291348463549753,-0.41762567103550885,0.2224803001336513,0.5129412355327474,1.231553192561437,0.33087414900758727,-0.28307584928021157,1.16885332976626,1.184950151449125
4,4,0.25,1.0,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,1.9096811047126225,0.17283069472461987,-0.3975461019111449,467,1055,0.7932455957644877,0.43474377913344264,-0.2631825621041147,0.1838064367787015,308,0.7694805194805194,16432,0.2134759156956185,0.09848669927461806,-0.3975461019111449,0.24773654879561796,0.5417628427460897,1.0999339843958191,0.3149932655075529,-0.19632159840636343,1.6044758603460054,1.158514938011169
4,4,0.25,1.0,1.0,0.2,,0.2,60,True,1,0.02,20,,0.001,1.755846530771736,0.1688526104329129,-0.40825588642846655,434,1047,0.7651059744021521,0.4135950418500549,-0.23160589803671894,0.19563901127190633,314,0.7515923566878981,17169,0.19015468392232437,0.09232627361751566,-0.40825588642846655,0.2261480524511502,0.5019044168308383,1.106008427484505,0.3157588455926139,-0.1962174064267318,1.609229534437452,1.163735100887749
4,4,0.25,1.0,1.0,0.2,,0.1,40,True,1,0.02,20,,0.001,1.6372326467374407,0.16555573581315608,-0.40344201698065363,455,979,0.7494355836683205,0.41035818988852374,-0.25517173074680444,0.1956485141890087,449,0.7839643652561247,16708,0.20254263029069966,0.09566149092465204,-0.40344201698065363,0.23711335681042692,0.5202731497900068,0.9796064341237584,0.2990866100985432,-0.2932140607463013,1.0200281982974992,1.0819815661189955
4,4,0.25,1.0,1.0,0.2,,0.1,60,True,1,0.02,20,,0.001,1.6312952925574247,0.16538489393138756,-0.4002103048240585,480,993,0.7354799078122464,0.41324496630364,-0.22717420026632007,0.20059580421102174,377,0.7692307692307693,17186,0.20655071743701514,0.09670957755883092,-0.4002103048240585,0.24164689512766702,0.5165251815290973,0.9534414288715977,0.2954246213710572,-0.2956834529444453,0.999124632877455,1.051473291198977
4,8,0.25,0.5,1.0,0.0,,0.1,60,True,1,0.02,20,,0.001,1.4852107902379847,0.16098728937162443,-0.3880675411082196,405,910,0.8393901055840262,0.41484348036913044,-0.1603950879203544,0.1707674901394597,341,0.7800586510263929,11462,0.2214103975904069,0.10047250726006385,-0.3880675411082196,0.25890469213977696,0.590836432391032,0.8088789620640475,0.27364032986680153,-0.2738574849308275,0.999207050834923,1.2280774665028833
4,4,0.25,1.0,1.0,0.2,,0.2,40,True,1,0.02,20,,0.001,1.3211534843628978,0.15553956344407593,-0.42674700010359834,521,991,0.7089893949063237,0.3644772275055635,-0.25517173074680477,0.1968601923923535,412,0.7864077669902912,16886,0.1686080164598276,0.08614508872704918,-0.42674700010359834,0.20186454434626688,0.47625435129372223,0.90279624446522,0.28810598728679393,-0.29968241110654403,0.9613710268246793,1.052090425545767
4,4,0.25,1.0,1.0,0.2,,0.1,60,True,1,0.02,20,0.25,0.001,1.2785043232138784,0.15402030384807786,-0.3977411270706379,459,1047,0.7085580656498996,0.3872375607280969,-0.28036709657638637,0.1861001635771599,369,0.7804878048780488,16088,0.20573556987822428,0.09649760446303457,-0.3977411270706379,0.2426140971986958,0.526983426168518,0.7302455816441656,0.260494815043699,-0.3975748979046786,0.6552094119034508,0.9642495810299091
4,4,0.25,1.0,1.0,0.2,,0.1,40,True,1,0.02,20,0.25,0.001,1.254056512401716,0.15312805622734493,-0.4168066371723753,508,1020,0.7192979928925242,0.3673839199542713,-0.27320974661539454,0.18235469926780357,439,0.7949886104783599,15751,0.20691250094906494,0.09680346528893513,-0.4168066371723753,0.23225029703378,0.5385066452567133,0.7156651567461486,0.25793959896495067,-0.3951245675082047,0.6528057736111147,0.9746085975105008
4,8,0.25,1.0,1.0,0.0,,0.2,40,True,1,0.02,20,,0.001,1.2406079382712332,0.1526303302303469,-0.4441879883400299,543,1231,0.751456070528056,0.3436165187643638,-0.2723593559119222,0.19113500489660862,441,0.8049886621315193,10921,0.12584399043130937,0.07210278332888431,-0.4441879883400299,0.1623249282321632,0.44437160148567556,1.0530940601477412,0.30897382789104166,-0.2817272778584565,1.0967125023877673,1.196334111340347
4,8,0.25,0.5,1.0,0.0,,0.2,60,True,1,0.02,20,,0.001,1.2393852889098924,0.15258483258157773,-0.3300628225508987,587,951,0.8197468030063982,0.46229027371917286,-0.2147501395007544,0.17335229034779442,323,0.7801857585139319,11586,0.18452661112891222,0.09076047821756528,-0.3300628225508987,0.27497940396958576,0.5480484739881825,0.7782222785297491,0.26863708289792876,-0.18395310143804366,1.4603563669102209,1.265777928470997
4,4,0.25,0.5,1.0,0.5,,0.1,40,False,1,0.02,20,,0.001,1.231942587393946,0.1523069707675615,-0.4280614538424736,557,965,0.7010305618046387,0.35580632033177734,-0.243867214106682,0.17127192840286867,473,0.8816067653276956,19865,0.24965074539940618,0.10714432277573227,-0.4280614538424736,0.2503012635544646,0.5342753085984465,0.5959877459329642,0.23532779427389938,-0.2299760416556751,1.0232709136990759,1.0008249624633399
4,4,0.25,0.5,1.0,0.5,,0.2,60,False,1,0.02,20,,0.001,1.2304297207334352,0.15225029985752592,-0.44346258413284734,577,965,0.7035145836594577,0.34332163592840237,-0.28769559543359957,0.17003911703369318,335,0.8417910447761194,19973,0.2433412715379624,0.10570393775180675,-0.44346258413284734,0.23836044242267168,0.5327933204414977,0.6102115433606382,0.2381836311765766,-0.225593146459936,1.0558105816342989,1.004961046115472
4,4,0.25,0.5,1.0,0.5,,0.2,40,False,1,0.02,20,,0.001,1.2231696597930328,0.15197744077390452,-0.4465001134491938,570,971,0.7000577595396221,0.34037492084802723,-0.2585736865497701,0.17097394995524895,460,0.8717391304347826,19898,0.2396829454091392,0.10485605729549308,-0.4465001134491938,0.23483993427344202,0.5242418666780435,0.6141791750274992,0.23897144461938935,-0.23275042517712952,1.0267282839012022,1.023508483855099
4,8,0.25,1.0,1.0,0.0,,0.1,40,True,1,0.02,20,,0.001,1.206313479185737,0.15133808905263502,-0.4440419563696941,543,1093,0.7476408758067697,0.34081934574361733,-0.2540523411193023,0.1919996384097074,447,0.8053691275167785,10847,0.13692518960165356,0.07600560268938072,-0.4440419563696941,0.17116761512982134,0.4563213780512097,0.9590215262800375,0.29621217883333206,-0.2808660311127664,1.054638674743847,1.1895384302205758
4,8,0.25,0.5,1.0,0.0,,0.2,60,True,1,0.02,20,0.25,0.001,1.1752614609190672,0.15013830790810845,-0.3705378725817151,449,982,0.848727506246843,0.4051901816729902,-0.21743306233023607,0.15918736175258982,320,0.775,11311,0.16850539987740254,0.08611438872893173,-0.3705378725817151,0.23240374358748128,0.5587679327190762,0.7935045705559173,0.2711497900290978,-0.18595464011927887,1.458150169606799,1.2955864591650343
4,4,0.25,1.0,1.0,0.2,,0.2,40,True,1,0.02,20,0.25,0.001,1.083092121443656,0.14639596366288177,-0.4180927941449446,508,1020,0.6890934053597981,0.35015184598500676,-0.27320974661539443,0.183867518956004,409,0.7946210268948656,15998,0.1761656012476884,0.08837198396605905,-0.4180927941449446,0.2113693065358649,0.49738230239990655,0.6981650439782591,0.254819999046239,-0.4010497631903076,0.6353824947287673,0.9621465996897546
4,4,0.25,0.5,1.0,0.2,,0.1,60,True,1,0.02,20,,0.001,1.0360171808075687,0.14436955114118732,-0.39776185702781064,515,940,0.7048580922601265,0.3629547393507199,-0.25744899345556826,0.1781244413632284,356,0.7752808988764045,16719,0.16521204449249394,0.08512231558227645,-0.39776185702781064,0.21400321342607995,0.4944516804391544,0.7050059324800858,0.25604644511159935,-0.3075533574460989,0.8325269060230418,1.0110882615860592
4,4,0.25,0.5,1.0,0.2,,0.2,60,True,1,0.02,20,,0.001,1.0197834801009085,0.14365101726850105,-0.42838685121872677,523,1063,0.7143000517495864,0.3353301271031668,-0.24617326752379676,0.17481708817632144,312,0.7596153846153846,16744,0.13369835293753457,0.07489031668288848,-0.42838685121872677,0.1748193635491646,0.44862944069535154,0.8167645887600717,0.2749036035634256,-0.21118542354634973,1.3017167517865709,1.1223058521378209
4,4,0.25,0.5,1.0,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.9548482125988957,0.1406673697324894,-0.41968583378286495,535,1121,0.7115174427004588,0.33517302326975185,-0.2914146187218788,0.16556197148179774,304,0.7598684210526315,15967,0.12957185913801653,0.07343900250662982,-0.41968583378286495,0.17498565973667185,0.4516083468012525,0.7729449581652379,0.2677605832648735,-0.21062925950442246,1.2712411556441496,1.0920100749710113
4,8,0.25,0.5,1.0,0.0,,0.2,40,True,1,0.02,20,,0.001,0.8588258892032704,0.13589462243855333,-0.4046034642734042,501,1052,0.7653538451079545,0.3358711292366116,-0.25471746947247753,0.1619962055055405,446,0.8004484304932735,11336,0.12801243520881747,0.07288299627973349,-0.4046034642734042,0.18013438518283173,0.48471964973264764,0.6986906167506785,0.254914546373326,-0.28406609750796874,0.8973775772949288,1.1855321919925026
4,8,0.25,0.5,1.0,0.0,,0.1,40,True,1,0.02,20,,0.001,0.8579789271830616,0.1358503900995578,-0.4046034642734049,501,1052,0.7629914946898205,0.33576180654686355,-0.2547174694724783,0.16267635966524824,448,0.8035714285714286,11317,0.12347127150912725,0.07123946132527625,-0.4046034642734049,0.1760722969913506,0.4735376165013775,0.717652151290141,0.2582901341607944,-0.2840660975079683,0.9092606841390114,1.2010978467458606
4,8,0.25,0.5,1.0,0.0,,0.1,60,True,1,0.02,20,0.25,0.001,0.8334311585346456,0.13455072651176647,-0.3647365506250875,449,982,0.7674961675550446,0.36889839058129137,-0.23258559515730592,0.1554860834846202,336,0.7648809523809523,11089,0.17235644212283563,0.08725791561915308,-0.3647365506250875,0.2392354576737922,0.5544133940687518,0.5236873017989675,0.21998310098082174,-0.3256330750527806,0.67555515036415,1.098096827057971
4,8,0.25,1.0,1.0,0.0,,0.2,40,True,1,0.02,20,0.25,0.001,0.8039775836482077,0.13294437797694614,-0.3695468591841201,494,1201,0.7057514691853544,0.359749716911297,-0.18932586381711047,0.17034730200385162,423,0.789598108747045,10420,0.11132429701554616,0.06665297661533987,-0.3695468591841201,0.18036407280661318,0.4380139924196742,0.7184742393781076,0.25843494712551274,-0.34127283224343274,0.7572678593447748,1.0823056182721214
4,4,0.25,0.5,1.0,0.2,,0.1,40,True,1,0.02,20,,0.001,0.791217440059583,0.13223173862945847,-0.38804617156773313,496,1297,0.6625717915007183,0.3407628996705036,-0.2735628066049326,0.1768016408076493,435,0.8,16359,0.11403051601366598,0.0676999797124398,-0.38804617156773313,0.17446372280630223,0.41741073524208744,0.6923523943130631,0.2537707326089633,-0.2860656872972758,0.8871065069235237,1.0221446576505153
4,4,0.25,0.5,1.0,0.2,,0.2,40,True,1,0.02,20,,0.001,0.7875787602371812,0.13202660363625984,-0.44441070727693377,593,1065,0.6638502931027446,0.2970824092993504,-0.26423381838946247,0.17488475137883625,420,0.7785714285714286,16383,0.12308338351057584,0.07109735566438191,-0.44441070727693377,0.1599811941976405,0.4302163888211455,0.6489973477656793,0.24572750991735193,-0.2723524113455861,0.9022409924821632,1.0161960051331398
4,4,0.25,0.5,1.0,0.2,,0.1,60,True,1,0.02,20,0.25,0.001,0.7868191680285654,0.13198367181467652,-0.40871565707603874,389,1310,0.671834131695865,0.3229229649749431,-0.29134003200252434,0.16506885465855803,349,0.7822349570200573,15684,0.1553465856779716,0.08206860783948922,-0.3860904376179515,0.21256317132800545,0.4916865944741335,0.5433101516126045,0.22429321498830856,-0.40871565707603874,0.5487756857491279,0.9302833595178377
4,8,0.25,1.0,1.0,0.2,,0.2,60,False,1,0.02,20,,0.001,0.7829819222236813,0.13176621369799246,-0.37529932610118566,732,1123,0.7276810524855608,0.35109632374470756,-0.2762777761124897,0.14956865596577934,345,0.8492753623188406,24470,0.22896763515722116,0.10231644223077607,-0.37529932610118566,0.2726262348874834,0.5761328950636919,0.38218844257403334,0.18490485415587976,-0.17146616268494008,1.0783751806216866,1.0365192891310597
4,8,0.25,1.0,1.0,0.2,,0.1,60,False,1,0.02,20,,0.001,0.7773339626708426,0.13144437003190745,-0.40611497855581535,734,1127,0.7254372026981181,0.32366294515739485,-0.3115502155985681,0.14990881467345396,348,0.853448275862069,24538,0.22058018902057125,0.10026716251812084,-0.40611497855581535,0.24689353462086205,0.5660748463052332,0.3933733654959543,0.1879783840786089,-0.17146616268493964,1.096300174536533,1.0523716454334004
4,8,0.25,1.0,1.0,0.0,,0.1,40,True,1,0.02,20,0.25,0.001,0.764850113854295,0.13072537117351457,-0.36954685918412,488,1196,0.7013705999115046,0.35374504727797734,-0.18938164212697028,0.1689599923285678,428,0.7920560747663551,10335,0.11439531978153368,0.0678399774484999,-0.36954685918412,0.1835761169727595,0.43976034278396664,0.6661005841864132,0.24894737952874801,-0.3404519700597586,0.7312261388443456,1.0859658875683524
4,8,0.25,1.0,1.0,0.2,,0.2,40,False,1,0.02,20,,0.001,0.7320388718152185,0.12878348820071284,-0.38109823548848054,734,1127,0.7082642558963796,0.3379272749338289,-0.2847132166984595,0.15075168797334634,465,0.875268817204301,24270,0.2301677199052186,0.10260515502465362,-0.38109823548848054,0.26923545025900564,0.5751985608063089,0.35061188191518855,0.17588735132077749,-0.168107562408932,1.0462786373222204,0.9736494170417777
