baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,exit.basket_sl_pct,exit.basket_tp_pct,exit.max_hold_days,regime.enabled,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,regime.breaker_dd,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,,0.001,1.8196616845083387,0.1705410160837264,-0.44622196967869354,496,1234,0.7344899949685881,0.3821887483633451,-0.3128714730902439,0.21961024417308667,317,0.7634069400630915,17055,0.18645457965697304,0.09130056403979614,-0.44622196967869354,0.20460795353832084,0.4766550012227705,1.1647709545748772,0.32299637812922066,-0.24696727473401936,1.307850922666105,1.1347660149325
4,4,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,0.25,0.001,2.4124601144643965,0.18400820763842796,-0.3976124461584226,441,971,0.7955816834207272,0.4627828163233922,-0.23802489922362446,0.20809653606015252,317,0.7602523659305994,16549,0.26608648350390246,0.110772836138892,-0.3976124461584226,0.2785949917039474,0.5683726381879672,1.1556357118994596,0.32189072213708436,-0.24696727473401947,1.3033739894638123,1.123573337310469
4,4,0.25,0.5,0.1,,0.2,60,True,1,0.02,20,0.3,0.001,1.9072331122403183,0.17276978075133198,-0.4711249611293794,510,1040,0.7508992408380326,0.36671752720800177,-0.3499548883632779,0.20700989607426454,311,0.7652733118971061,16341,0.1981076393237441,0.09448444569352876,-0.4711249611293794,0.20055071051007553,0.4983877846388873,1.1556357118994638,0.32189072213708503,-0.24696727473401958,1.3033739894638146,1.1235733373104724
4,4,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,,0.001,1.0197834801009085,0.14365101726850105,-0.42838685121872677,523,1063,0.7143000517495864,0.3353301271031668,-0.24617326752379676,0.17481708817632144,312,0.7596153846153846,16744,0.13369835293753457,0.07489031668288848,-0.42838685121872677,0.1748193635491646,0.44862944069535154,0.8167645887600717,0.2749036035634256,-0.21118542354634973,1.3017167517865709,1.1223058521378209
4,4,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,0.25,0.001,0.9548482125988957,0.1406673697324894,-0.41968583378286495,535,1121,0.7115174427004588,0.33517302326975185,-0.2914146187218788,0.16556197148179774,304,0.7598684210526315,15967,0.12957185913801653,0.07343900250662982,-0.41968583378286495,0.17498565973667185,0.4516083468012525,0.7729449581652379,0.2677605832648735,-0.21062925950442246,1.2712411556441496,1.0920100749710113
4,4,0.25,0.5,0.2,,0.2,60,True,1,0.02,20,0.3,0.001,0.9544417000999911,0.14064811034851044,-0.40840621105735686,524,1112,0.7108323628759828,0.34438288777336373,-0.28671405656819593,0.1663677345835694,304,0.7598684210526315,16001,0.12949283877525117,0.07341092908210012,-0.40840621105735686,0.17974978610643666,0.4509255608431392,0.7729449581652434,0.2677605832648746,-0.21062925950442257,1.2712411556441543,1.092010074971012
4,4,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,,0.001,0.6288943413133841,0.1221192202039525,-0.37786722073022416,537,1096,0.6804021555048044,0.32318024296460135,-0.22902886764832675,0.14891398429245795,307,0.7719869706840391,15985,0.1013251220701632,0.06264862724931919,-0.37786722073022416,0.16579534771037144,0.419019727607094,0.5913876927459547,0.2343934282965756,-0.1794685562462065,1.3060417557213735,1.0773935317137726
4,4,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.25,0.001,0.6314686316633591,0.12229718385659005,-0.3978130702654191,581,1322,0.6916735240192979,0.30742374496391967,-0.27890414255410356,0.1420174708872241,298,0.7785234899328859,15303,0.10649910494349141,0.06474808366847662,-0.3978130702654191,0.16276007126984787,0.4395612762884561,0.5682049369934085,0.22960135406543603,-0.1794828060336543,1.2792387145005084,1.057966547712764
4,4,0.25,0.5,0.3,,0.2,60,True,1,0.02,20,0.3,0.001,0.5245489990532504,0.11429116802413741,-0.3908808749382474,495,1325,0.6503644509836486,0.2923938605136245,-0.26583293097543625,0.14197347290222928,302,0.7649006622516556,15346,0.07470528916575814,0.050767138022020486,-0.3908808749382474,0.1298787975493578,0.362107679501669,0.6037140979159387,0.23688526035906698,-0.1794685562424011,1.3199262607267839,1.0887544293096403
4,4,0.25,1.0,0.1,,0.2,60,True,1,0.02,20,,0.001,3.3644647831999066,0.2001757421973407,-0.4692172818149025,777,1198,0.7681986126377074,0.42661630326801625,-0.3092911248388788,0.2501594950103036,317,0.750788643533123,17361,0.2552702674773358,0.1084045521589736,-0.4692172818149025,0.23103273549446368,0.5162481112063788,1.6954831104528325,0.3776732493309054,-0.34933856556905274,1.0811095211194248,1.1330763310122776
