baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.lot_tp_sell_frac,exit.basket_sl_pct,exit.max_hold_days,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,0.5,1.0,,40,1,0.0,20,0.001,4.384423929546086,0.2132528989268867,-0.4431713352757266,295,1014,0.7960149959891142,0.4811974104647535,-0.29871458379727556,0.26851365099773383,430,0.7534883720930232,9417,0.5376608616054684,0.1543278333700726,-0.4431713352757266,0.3482351431282326,0.6601099303556279,1.1301141936935506,0.31876423283110933,-0.41546100908272376,0.7672542690224853,0.9865320303723896
4,4,0.25,0.5,1.0,0.25,40,1,0.0,20,0.001,2.9407582116323576,0.19359762425867832,-0.43227326525459164,385,865,0.7581552320625017,0.44785935152537615,-0.33159574019253957,0.24469449651681305,443,0.7291196388261851,9497,0.5006082104338272,0.1496364773209402,-0.4254627938370231,0.35170285037487825,0.659841370856756,0.7784854989874107,0.26868068106149257,-0.43227326525459164,0.6215528524607008,0.8915162005578056
4,8,0.25,0.5,1.0,,60,1,0.02,20,0.001,1.2393852889098924,0.15258483258157773,-0.3300628225508987,587,951,0.8197468030063982,0.46229027371917286,-0.2147501395007544,0.17335229034779442,323,0.7801857585139319,11586,0.18452661112891222,0.09076047821756528,-0.3300628225508987,0.27497940396958576,0.5480484739881825,0.7782222785297491,0.26863708289792876,-0.18395310143804366,1.4603563669102209,1.265777928470997
4,8,0.25,0.5,1.0,0.25,60,1,0.02,20,0.001,1.1863420636522144,0.1505697719122061,-0.3809177339053138,438,1007,0.8472012428908943,0.3952816015377058,-0.23765621250696667,0.1606256364089767,326,0.7791411042944786,11539,0.19335404145557442,0.09320196911989509,-0.3809177339053138,0.24467742198388343,0.587583034981782,0.7117290154425582,0.25724301853818243,-0.18395310143804366,1.3984163165893846,1.2565970802575248
4,8,0.25,0.5,1.0,0.25,60,0,0.02,20,0.001,1.069635170936507,0.14582511756794747,-0.386552480411122,464,1051,0.8269567457052313,0.377245328791717,-0.21782846133046574,0.14881777962760698,307,0.755700325732899,10386,0.1744825946346742,0.08788180705902371,-0.386552480411122,0.22734767337556877,0.5595777021353853,0.6938687531954857,0.25404509716530965,-0.18596477437316694,1.3660925732930962,1.2549965624643469
4,8,0.25,0.5,1.0,,60,0,0.02,20,0.001,0.960282421757708,0.14092410582755477,-0.3865524804111222,464,1051,0.7934964151519892,0.36456655426883655,-0.21782846133046585,0.15009632056649766,307,0.755700325732899,10410,0.1510017176884248,0.08068275540327652,-0.3865524804111222,0.20872393657250748,0.5132307872875634,0.6938687531954911,0.25404509716531076,-0.18596477437316683,1.3660925732931029,1.2549965624643504
4,8,0.25,0.5,1.0,,40,1,0.02,20,0.001,0.8588258892032704,0.13589462243855333,-0.4046034642734042,501,1052,0.7653538451079545,0.3358711292366116,-0.25471746947247753,0.1619962055055405,446,0.8004484304932735,11336,0.12801243520881747,0.07288299627973349,-0.4046034642734042,0.18013438518283173,0.48471964973264764,0.6986906167506785,0.254914546373326,-0.28406609750796874,0.8973775772949288,1.1855321919925026
4,8,0.25,0.5,1.0,,40,1,0.0,20,0.001,0.8549673697575857,0.1356927883243495,-0.3182775613111041,397,865,0.8197803769614759,0.42633476191466424,-0.22117630413623368,0.1483255739685723,444,0.7680180180180181,10658,0.21610276412227342,0.0991499539893832,-0.3182775613111041,0.3115204024466806,0.6680198163778949,0.4413095799728726,0.20051163399467065,-0.26432655409480466,0.7585754472581447,1.037649551585655
4,8,0.25,0.5,1.0,,60,1,0.0,20,0.001,0.7291750550532036,0.12861026830215283,-0.3469384919441325,418,1079,0.7464810856762958,0.37070048809361555,-0.20563333902119885,0.15641712313135434,319,0.7084639498432602,10794,0.17759830140675303,0.08878673308582852,-0.3469384919441325,0.25591491041624126,0.560358497313783,0.4370783310595698,0.19944441982434458,-0.23316664973218648,0.8553728419284018,1.0448476167012841
4,8,0.25,0.5,1.0,0.25,40,1,0.0,20,0.001,0.7194534926209789,0.12801761433392223,-0.34724804043263957,433,865,0.7936544463398567,0.3686633167876884,-0.2533883937284702,0.1406365709327292,449,0.77728285077951,10708,0.18723982685351828,0.0915194228925087,-0.34724804043263957,0.26355634081760054,0.6388192915213663,0.4113328120550972,0.19279121800865262,-0.3162182544375034,0.6096776998266411,1.0129402300936878
4,8,0.25,0.5,1.0,0.25,60,1,0.0,20,0.001,0.7040235253245852,0.12706188798002183,-0.38852688245757405,474,1007,0.7615911212219464,0.32703499736314023,-0.2355098783895796,0.14896430886389006,325,0.7046153846153846,10774,0.16970965480893263,0.08647387212821478,-0.38852688245757405,0.22256856869526256,0.5740174104163087,0.4370783310595712,0.19944441982434502,-0.23316664973218515,0.8553728419284086,1.0448476167012866
