baskets.count,baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.lot_tp_sell_frac,exit.basket_sl_pct,exit.max_hold_days,regime.bear_max_baskets,regime.ma_band,regime.cooldown_after_sl_days,costs.commission_pct,simple_annual,cagr,mdd,mdd_recover_days,max_underwater_days,sharpe,calmar,worst_year,avg_exposure,n_baskets_closed,basket_win_rate,n_trades,train_simple_annual,train_cagr,train_mdd,train_calmar,train_sharpe,test_simple_annual,test_cagr,test_mdd,test_calmar,test_sharpe
4,4,0.25,0.5,0.5,,40,0,0.0,20,0.001,7.8267913026076155,0.24247825780989496,-0.6381760015543851,464,2093,0.7245280561255629,0.3799551490800317,-0.4317843709743443,0.388533342232973,422,0.7061611374407583,5954,0.5336091085227588,0.15382820048466117,-0.6381760015543851,0.24104353675159623,0.5749581355453783,2.089220832065944,0.40969596603824554,-0.533667817452607,0.7676984682978921,0.9258926668133958
4,4,0.25,0.5,0.5,,40,0,0.02,20,0.001,13.162876246149937,0.2693760445152191,-0.6697589039733058,618,2088,0.7590014700582363,0.4021985268387794,-0.4196578785003606,0.43116130551950915,422,0.7440758293838863,6256,0.3688156503978161,0.13022308874780908,-0.6697589039733058,0.19443278465619218,0.5112203579574107,4.994735095673812,0.5551733340080833,-0.5173187953436282,1.0731744893191253,1.0921746824742276
4,4,0.25,0.5,0.5,,40,1,0.0,20,0.001,12.019045063986134,0.26462673195671615,-0.6310287283388027,474,2542,0.7561022765060134,0.41935766166043176,-0.36240825031786617,0.4475626059994839,436,0.7293577981651376,6619,0.590462449842743,0.16056606444682409,-0.6310287283388027,0.2544512749356402,0.5833826151471925,2.970938952691272,0.46619937756003105,-0.5671598374943312,0.821989405349406,0.9898276699388149
4,4,0.25,0.5,0.5,,40,1,0.02,20,0.001,18.446565381842245,0.28717458155803044,-0.6496919024052951,572,2275,0.7808161000761559,0.4420165627659052,-0.3681403590209814,0.4849559591439049,439,0.7517084282460137,6797,0.44804022441322977,0.14246058259090066,-0.6496919024052951,0.21927406215697293,0.5346873327334365,5.932962680720839,0.5861080646502683,-0.570383611609866,1.0275682062393434,1.1134917184916486
4,4,0.25,0.5,0.5,,60,0,0.0,20,0.001,10.22955991685443,0.2562519313113465,-0.6395506304731068,266,2206,0.747797040505612,0.4006749725534387,-0.4317843709743442,0.400261345903717,381,0.6850393700787402,5595,0.5559336708169903,0.15654268859312448,-0.6395506304731068,0.24476981357570116,0.5783517887911203,2.662429139651929,0.4482711008932023,-0.5783091835695023,0.775140899762883,0.9772669639868347
4,4,0.25,0.5,0.5,,60,0,0.02,20,0.001,29.676319449781573,0.31269786807781674,-0.7003030436003072,305,2024,0.830660167748678,0.44651793382221366,-0.4466047951783547,0.4474367088788328,378,0.7513227513227513,5896,0.6338754979371144,0.1653517336754884,-0.7003030436003072,0.23611454382006325,0.5874155622522295,7.0266948268487495,0.6172165615613758,-0.46944617457174087,1.3147759956174756,1.1625191268614143
4,4,0.25,0.5,0.5,,60,1,0.0,20,0.001,16.414989385856906,0.28099089169208,-0.6037442661114774,280,2253,0.7819459304140841,0.4654137645096855,-0.41992721299157865,0.4653700424547018,385,0.7064935064935065,6162,0.5763092947207233,0.15894150547277364,-0.6037442661114774,0.2632596521312985,0.5756269509358167,4.194517266128192,0.5245324815230854,-0.5241681865135923,1.0006949964131095,1.06383509562322
4,4,0.25,0.5,0.5,,60,1,0.02,20,0.001,39.89298031170192,0.3288433100645365,-0.6757314227783244,502,2071,0.8473774125440287,0.4866479476601378,-0.42249797293212754,0.5027404058136227,389,0.7660668380462725,6392,0.8186901505165648,0.18302620208622633,-0.6757314227783244,0.2708564318848741,0.6187928331144779,7.472864212954581,0.6287089135255817,-0.5418084639960121,1.1603896123893132,1.162130955206832
4,4,0.25,0.5,0.5,0.25,40,0,0.0,20,0.001,3.9690156259602087,0.2083159829025798,-0.6314602416693056,441,2088,0.6756530922797259,0.32989564370970237,-0.4103769703974314,0.3669517625139448,427,0.667447306791569,5998,0.3798968908476542,0.13205513891226106,-0.6314602416693056,0.20912660876821768,0.5311911412504191,1.3968675230138514,0.34898515909326333,-0.4966660887378572,0.7026555003586311,0.8698965551782465
4,4,0.25,0.5,0.5,0.25,40,0,0.02,20,0.001,3.9440382896187858,0.20800372091920272,-0.6412222879059026,307,2058,0.6646340298256119,0.3243862929320489,-0.3286204245433656,0.40025429753644703,430,0.6953488372093023,6306,0.33071674868922235,0.12357066535880312,-0.6412222879059026,0.19271112013644906,0.5016917426512525,1.574834439538103,0.36662509534810206,-0.46684459529659794,0.7853257787319484,0.8875162072241198
4,4,0.25,0.5,0.5,0.25,40,1,0.0,20,0.001,4.956005084990546,0.2193646561154965,-0.5560632872921629,2045,2571,0.692218492507563,0.39449584449951186,-0.3407434848329234,0.40816023631024995,462,0.683982683982684,6977,0.5145292029621965,0.1514319469244343,-0.5560632872921629,0.27232861867550334,0.5733557828334594,1.3305049770249295,0.34193533954869837,-0.4796010453595828,0.7129578695816456,0.853423089240736
4,4,0.25,0.5,0.5,0.25,40,1,0.02,20,0.001,4.632843457389605,0.2159970163154883,-0.6225706895936842,285,2072,0.6764197889600577,0.3469437606458104,-0.33717587006268634,0.4330862016048483,461,0.702819956616052,7165,0.495127151430129,0.14891816545240322,-0.6225706895936842,0.23919880576066546,0.5584471230621944,1.2838786032278457,0.3368093282842606,-0.5277198811459674,0.6382350567366613,0.8376993807614798
4,4,0.25,0.5,0.5,0.25,60,0,0.0,20,0.001,5.035488354806094,0.22016091969230422,-0.6337244275086018,266,2024,0.6941474223000252,0.34740797440590354,-0.41037697039743126,0.37790818904935836,386,0.6450777202072538,5619,0.4416795274238772,0.1415459904221006,-0.6337244275086018,0.22335574309257525,0.5528295530168265,1.5672649511814456,0.3659089706013763,-0.5567741411675302,0.6571946208458634,0.884198352989466
4,4,0.25,0.5,0.5,0.25,60,0,0.02,20,0.001,8.246758780719523,0.24515395282650543,-0.7003030436003068,305,1325,0.7321768184833554,0.3500683812055876,-0.41275195627986183,0.41548124432679134,389,0.6966580976863753,5975,0.5917601422762743,0.1607133693792029,-0.7003030436003068,0.22949117649548434,0.5870846544365976,2.003368690620015,0.4031710463671947,-0.535692588767334,0.7526164349126415,0.9315642297998089
4,4,0.25,0.5,0.5,0.25,60,1,0.0,20,0.001,3.8925160110825963,0.2073536288502178,-0.6067495367091176,459,2157,0.6615967077107632,0.34174501388968576,-0.39864069428398263,0.4218331717137224,412,0.6480582524271845,6496,0.34823887309736773,0.12670157499461565,-0.6067495367091176,0.20882022536320086,0.5104183019365527,1.4838468870042039,0.35782288494418335,-0.5347223953373816,0.6691750487061907,0.8653055370681842
4,4,0.25,0.5,0.5,0.25,60,1,0.02,20,0.001,6.224579845591616,0.23082960470060443,-0.6771902814076387,302,1325,0.6983755893448751,0.3408637292029523,-0.4341156755459771,0.45002931485474573,410,0.6951219512195121,6722,0.5468556299136611,0.15545008557772433,-0.6771902814076387,0.2295515600941565,0.5694181280421865,1.603878046025018,0.3693468161104554,-0.5387526498419917,0.685559163780966,0.8757112199122696
4,4,0.25,0.5,1.0,,40,0,0.0,20,0.001,2.9203081122706416,0.19325789150704775,-0.5264379459349495,458,932,0.7541130110547976,0.3671047898415136,-0.2902425077778561,0.22536722476179116,410,0.7317073170731707,8337,0.4519986563555905,0.14302440563725893,-0.41274027032754435,0.3465239907987582,0.6381551385074015,0.8561019828301918,0.28106809112306985,-0.5264379459349495,0.5339054551318393,0.9127171010397529
4,4,0.25,0.5,1.0,,40,0,0.02,20,0.001,3.6574125603378924,0.20427958676784663,-0.5498118236687888,448,1310,0.7505708823423066,0.3715445502876387,-0.3781084818865106,0.2564169943556822,407,0.7567567567567568,8897,0.17941229988912732,0.08930857455781238,-0.5498118236687888,0.1624348017142909,0.4430504463259196,2.4627877202060606,0.43570792756643284,-0.3890045586093266,1.1200586674975446,1.1920729849178444
4,4,0.25,0.5,1.0,,40,1,0.0,20,0.001,4.384423929546086,0.2132528989268867,-0.4431713352757266,295,1014,0.7960149959891142,0.4811974104647535,-0.29871458379727556,0.26851365099773383,430,0.7534883720930232,9417,0.5376608616054684,0.1543278333700726,-0.4431713352757266,0.3482351431282326,0.6601099303556279,1.1301141936935506,0.31876423283110933,-0.41546100908272376,0.7672542690224853,0.9865320303723896
