baskets.slices,entry.dip_vol_mult,exit.lot_tp_vol_mult,exit.upday_sell_frac,regime.bear_max_baskets,cagr,mdd,calmar,worst_year,is_calmar,is_mdd,oos25_cagr,oos25_mdd
4,0.0,0.5,0.0,0,0.03814782417927254,-0.4968339217543869,0.076781843004132,-0.2212131560293884,-0.05942394433103936,-0.4968339217543869,0.040072482079952065,-0.3832138403620987
4,0.0,0.5,0.0,1,0.03924819865303619,-0.4906650546793677,0.07998979808880725,-0.2270215744021381,-0.056350221562055026,-0.4906650546793677,0.044959113598853184,-0.3791318147620336
4,0.0,0.5,0.1,0,0.032558831229142715,-0.46014745939834945,0.0707573856252818,-0.14779725440108427,-0.05672994444594439,-0.46014745939834945,0.04192311508042401,-0.3106704139633203
4,0.0,0.5,0.1,1,0.033756322581445675,-0.43882249838830945,0.07692477643107318,-0.1508078623823229,-0.04549372343091511,-0.43882249838830945,0.03523819740699885,-0.30491033816710233
4,0.0,0.5,0.2,0,0.03150187207941402,-0.4122971744489963,0.07640574331248781,-0.1265087151884423,-0.05757925873955475,-0.4122971744489963,0.039568865616072424,-0.2501317445046466
4,0.0,0.5,0.2,1,0.03134439804512912,-0.42000104136832517,0.07462933411548676,-0.13635629153110085,-0.049249431611067096,-0.41193235374030834,0.03291918408088779,-0.3159991524489002
4,0.0,1.0,0.0,0,0.03592491250887053,-0.4968339217543869,0.07230768861758648,-0.22121315602939018,-0.05942394433103936,-0.4968339217543869,0.04006705626351037,-0.3832962306745491
4,0.0,1.0,0.0,1,0.040370417830439376,-0.4906650546793677,0.08227693707843127,-0.22702157440213921,-0.056350221562055026,-0.4906650546793677,0.04585574391193559,-0.37913047940423183
4,0.0,1.0,0.1,0,0.03583557969459661,-0.46014745939834945,0.07787846909217369,-0.14779725440108427,-0.05672994444594439,-0.46014745939834945,0.04210463090954919,-0.31067781032529873
4,0.0,1.0,0.1,1,0.03746241721015542,-0.4381782689216456,0.08549583552454627,-0.14974126391579978,-0.04519700931387009,-0.4381782689216456,0.03615175213736155,-0.30102480358911077
4,0.0,1.0,0.2,0,0.03521381812506297,-0.4122971744489963,0.08540882719393736,-0.1265087151884423,-0.05757925873955475,-0.4122971744489963,0.03922811412514493,-0.2501317445046466
4,0.0,1.0,0.2,1,0.03643854905937349,-0.41182472718592145,0.08848072166128827,-0.13635629153110207,-0.04772585432095045,-0.4085893140040694,0.034578311445050414,-0.3102776365151715
4,0.0,1.5,0.0,0,0.02434601195259578,-0.49344202441786134,0.0493391538374098,-0.22541730517298852,-0.05795943633859048,-0.49344202441786134,0.04046943971396599,-0.3891596050670494
4,0.0,1.5,0.0,1,0.02558821723167215,-0.49069455738075063,0.05214693508780284,-0.23453716070331065,-0.05477059209703168,-0.49069455738075063,0.039053142123639306,-0.3951233953717841
4,0.0,1.5,0.1,0,0.03868985283913062,-0.45313155440913455,0.08538326775671283,-0.1830822176934116,-0.05130825489359187,-0.45313155440913455,0.03508484264111811,-0.3433777135507411
4,0.0,1.5,0.1,1,0.03996256964893807,-0.42530249424681943,0.0939626975847131,-0.19164493814066652,-0.03414317637634469,-0.42530249424681943,0.029218223902000018,-0.3404863494462381
4,0.0,1.5,0.2,0,0.0336311381270904,-0.3989931528642836,0.08429001321366017,-0.13301393629068725,-0.04492807277236573,-0.3989931528642836,0.02813211886286182,-0.2845809534710978
4,0.0,1.5,0.2,1,0.03521092939222625,-0.40951347587912634,0.0859823460427936,-0.14085606317763044,-0.028863549892842393,-0.4037025542014331,0.02171288991832343,-0.31568687958961184
4,0.25,0.5,0.0,0,0.04020857799297173,-0.4671021061445947,0.08608091777801764,-0.19672255342199318,-0.07784227204991126,-0.4671021061445947,0.06059326712462365,-0.34058555552237557
4,0.25,0.5,0.0,1,0.039268875651883306,-0.46248702648739104,0.0849080588273624,-0.2004028061632246,-0.06690716166893375,-0.46248702648739104,0.05273186189209533,-0.3417860647494898
4,0.25,0.5,0.1,0,0.034596019859620686,-0.4267961162264676,0.08105982820439551,-0.13834847000201067,-0.06886623609013219,-0.4267961162264676,0.04977386448108145,-0.26703061119466387
4,0.25,0.5,0.1,1,0.03878881790052113,-0.3939698057384923,0.09845632161533775,-0.13323149807641577,-0.05324856014039179,-0.3939698057384923,0.04854858126619499,-0.24341712098100832
4,0.25,0.5,0.2,0,0.03507744619379216,-0.362050255315824,0.09688557231700712,-0.11160048386206745,-0.05891282638996296,-0.362050255315824,0.0444750311189539,-0.20845549403280494
